idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.022602,0.000000,2.312777,2.174532,-43.220420,-50.000000,10.000000,221.036344,0.000000,-22.737775,-22.701059,-18.680375,4.020684
1,R7,1.020172,0.000000,2.312777,4.051190,-26.648195,-50.000000,10.000000,221.036344,0.000000,-9.364680,-9.334490,-5.636384,3.698105
2,R8,0.955700,0.000000,2.312777,3.352547,-50.000000,-50.000000,10.000000,221.036344,0.000000,-36.026970,-36.017216,-32.151837,3.865379
3,L1,2.506340,0.000000,2.312777,1.090770,-3.582158,-50.000000,10.000000,221.036344,0.782852,-18.852965,-19.071668,-28.441506,-9.369838
4,L2,2.283195,0.000000,2.312777,2.154553,-3.650587,-50.000000,10.000000,221.036344,0.819669,-17.866486,-18.040472,-27.583870,-9.543398
5,L3,0.830750,0.000000,2.312777,1.473111,-2.347488,-50.000000,10.000000,221.036344,0.000000,-7.971661,-7.866837,-8.840127,-0.973290
6,L4,0.417400,0.000000,2.312777,4.217997,-48.579631,-50.000000,10.000000,221.036344,0.888485,-47.749437,-47.783422,-49.986715,-2.203293
7,L5,1.082879,0.000000,2.312777,1.298951,-42.844585,-50.000000,10.000000,221.036344,0.952996,-43.669774,-43.614737,-39.396713,4.218024
8,Mi1,0.545201,0.000000,2.312777,4.850090,-35.992686,-50.000000,10.000000,221.036344,0.000000,-42.432731,-42.323138,-40.085926,2.237212
9,Tm3,0.443976,0.000000,2.312777,3.675625,-38.098633,-50.000000,10.000000,221.036344,0.000000,-41.386369,-41.196120,-36.683677,4.512443
10,Mi4,1.075206,0.000000,2.312777,2.239439,-41.223706,-50.000000,10.000000,221.036344,0.000000,-26.835630,-26.658016,-23.766028,2.891988
11,Mi9,1.024500,0.000000,2.312777,3.477341,-41.384107,-50.000000,10.000000,221.036344,0.000000,-24.188019,-24.451543,-27.672347,-3.220805
12,T4a,0.974778,0.000000,2.312777,5.152562,-37.748637,-50.000000,10.000000,221.036344,0.000000,-30.653005,-30.455855,-28.140233,2.315622
13,T4b,0.950631,0.000000,2.312777,2.980897,-37.598191,-50.000000,10.000000,221.036344,0.000000,-35.071293,-34.575468,-28.832975,5.742494
14,T4c,1.023595,0.000000,2.312777,3.485202,-38.008719,-50.000000,10.000000,221.036344,0.000000,-44.911894,-44.969812,-43.950425,1.019387
15,T4d,0.972000,0.000000,2.312777,7.765554,-29.530971,-50.000000,10.000000,221.036344,0.000000,-24.041936,-23.826564,-22.270132,1.556433
16,Tm1,1.151426,0.000000,2.312777,0.689076,-38.290556,-50.000000,10.000000,221.036344,0.000000,-22.755607,-23.029491,-29.025111,-5.995620
17,Tm2,0.897990,0.000000,2.312777,2.568431,-35.761320,-50.000000,10.000000,221.036344,0.000000,-27.121598,-27.294761,-31.163637,-3.868876
18,Tm4,0.921447,0.000000,2.312777,1.978083,-45.445439,-50.000000,10.000000,221.036344,0.000000,-19.086237,-19.456153,-26.860635,-7.404483
19,Tm9,0.374839,0.000000,2.312777,3.290970,-34.841205,-50.000000,10.000000,221.036344,0.000000,-31.408184,-31.506135,-32.704960,-1.198825
20,T5a,0.975403,0.000000,2.312777,4.751998,-49.064637,-50.000000,10.000000,221.036344,0.000000,-1.634555,-2.403524,-13.571644,-11.168120
21,T5b,0.955068,0.000000,2.312777,3.521748,-36.106295,-50.000000,10.000000,221.036344,0.000000,-19.439066,-19.863929,-23.573530,-3.709601
22,T5c,0.992367,0.000000,2.312777,6.819199,-30.804341,-50.000000,10.000000,221.036344,0.000000,3.176830,3.012246,-0.257450,-3.269696
23,T5d,0.973315,0.000000,2.312777,10.000000,-32.294233,-50.000000,10.000000,221.036344,0.000000,29.427508,28.460700,17.910214,-10.550486
24,T1,0.950175,0.000000,2.312777,1.336605,-45.109502,-50.000000,10.000000,221.036344,0.000000,-58.629999,-58.556369,-58.098426,0.457943
25,T2,0.984276,0.000000,2.312777,3.109210,-41.604016,-50.000000,10.000000,221.036344,0.000000,-18.785324,-19.545580,-30.838883,-11.293303
26,T2a,1.026539,0.000000,2.312777,7.141789,-35.040688,-50.000000,10.000000,221.036344,0.000000,-27.251908,-27.650737,-31.354749,-3.704012
