idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.998520,10.000000,10000.000000,-0.444235,1.000000
1,R7,1.000000,5.000000,1.040114,10.000000,10000.000000,0.281056,1.000000
2,R8,1.000000,5.000000,1.032758,17.457101,10000.000000,-0.206045,1.000000
3,L1,1.000000,5.000000,1.012889,18.903169,259.092130,9.976263,5.000000
4,L2,1.000000,5.000000,0.982842,18.064637,282.598030,11.941358,5.000000
5,L3,1.000000,5.000000,1.040496,20.877422,10000.000000,14.644603,1.000000
6,L4,1.000000,1.085061,1.040375,10.000000,192.009024,7.476635,4.289695
7,L5,1.000000,2.535396,1.006282,10.834438,181.802062,-0.176750,0.572622
8,Mi1,1.000000,3.072956,1.016091,26.129142,10000.000000,7.244158,1.000000
9,Mi4,1.000000,5.000000,0.952253,10.000000,10000.000000,4.486931,1.000000
10,Mi9,1.000000,5.000000,0.963847,25.335450,9995.974094,3.485362,1.000000
11,T1,1.000000,3.658161,0.969587,10.000000,9909.081074,-12.907609,1.000000
12,T2,1.000000,5.000000,0.961716,20.305051,9879.168835,-0.471550,1.000000
13,T2a,1.000000,5.000000,0.969725,28.080192,9919.880664,10.039744,1.000000
14,T3,1.000000,5.000000,1.034335,100.000000,9908.057174,20.000000,1.000000
15,T4a,1.000000,5.000000,0.994765,10.000000,9929.005944,0.812520,1.000000
16,T4b,1.000000,4.111950,0.956094,10.000000,10000.000000,6.830486,1.000000
17,T4c,1.000000,5.000000,1.035613,11.780829,9949.669055,0.423305,1.000000
18,T4d,1.000000,0.811772,0.996075,53.419815,10000.000000,-0.099227,1.000000
19,T5a,1.000000,5.000000,0.950768,54.830610,10000.000000,20.000000,1.000000
20,T5b,1.000000,5.000000,0.976089,100.000000,9941.536015,-8.214028,1.000000
21,T5c,1.000000,5.000000,1.034484,29.914849,10000.000000,20.000000,1.000000
22,T5d,1.000000,2.157933,0.969847,75.169369,9994.509541,-0.106946,1.000000
23,Tm1,1.000000,2.016625,0.954912,26.360978,10000.000000,11.068066,1.000000
24,Tm2,1.000000,1.674883,1.031447,10.000000,9905.514970,1.520683,1.000000
25,Tm20,1.000000,5.000000,1.024503,93.340573,9923.814598,4.530786,1.000000
26,Tm21,1.000000,5.000000,0.968907,100.000000,10000.000000,-5.815042,1.000000
27,Tm3,1.000000,0.500000,1.029284,10.000000,10000.000000,-2.628176,1.000000
28,Tm4,1.000000,2.412056,0.985379,10.000000,10000.000000,-13.473798,1.000000
29,Tm9,1.000000,5.000000,0.953290,27.793841,9890.566921,20.000000,1.000000
30,C2,1.000000,4.057137,1.023673,10.000000,10000.000000,11.837017,1.000000
31,C3,1.000000,3.649046,1.024560,36.674708,10000.000000,-2.052946,1.000000
