trace_id,source_trace_id,cell_type,contrast,source_position,position,rf_side,color,source_width_led,source_width_deg,target_width_led,target_width_deg,depolarization_ratio,hyperpolarization_ratio,scale_factor,scale_source,time_ms,source_vm_mv,vm_mv
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-225.000000000,0.000000000,0.000000000
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-220.000000000,0.000000000,0.000000000
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-215.000000000,0.000000000,0.000000000
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-210.000000000,0.000000000,0.000000000
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-205.000000000,-0.084635000,-0.044157394
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-200.000000000,-0.216049000,-0.112721223
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-195.000000000,-0.242091000,-0.126308354
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-190.000000000,-0.268133000,-0.139895485
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-185.000000000,-0.270062000,-0.140901920
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-180.000000000,-0.260417000,-0.135869746
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-175.000000000,-0.254630000,-0.132850441
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-170.000000000,-0.261863000,-0.136624181
