trace_id,cell_type,cell_num,contrast,bar_val,width_led,duration_ms,position_led,extremum,response_mv,statistic,response_sd_mv,n_cells,response_sem_mv
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,-3.000000,depolarization,5.942692,mean,1.741354,7.000000,0.658170
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,-2.000000,depolarization,7.642862,mean,2.539969,12.000000,0.733226
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,-1.000000,depolarization,8.105232,mean,4.564743,15.000000,1.178612
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,0.000000,depolarization,9.987200,mean,4.405820,15.000000,1.137578
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,1.000000,depolarization,10.469322,mean,3.366985,15.000000,0.869352
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,2.000000,depolarization,10.961482,mean,3.676526,15.000000,0.949275
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,3.000000,depolarization,8.806901,mean,3.297272,12.000000,0.951840
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,4.000000,depolarization,7.047943,mean,2.958311,14.000000,0.790642
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,5.000000,depolarization,5.894860,mean,3.745508,10.000000,1.184434
B_T4_NC_w4_depolarization_mean,T4,,NC,0,4,160.000000,6.000000,depolarization,5.731009,mean,2.546615,8.000000,0.900364
B_T4_NC_w4_hyperpolarization_cell,T4,4.000000,NC,0,4,160.000000,-5.000000,hyperpolarization,-3.838152,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,6.000000,NC,0,4,160.000000,-5.000000,hyperpolarization,-3.493332,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,8.000000,NC,0,4,160.000000,-4.000000,hyperpolarization,-3.768048,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,10.000000,NC,0,4,160.000000,-4.000000,hyperpolarization,-4.016314,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,1.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-5.030660,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,3.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-7.067031,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,6.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-4.110339,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,7.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-4.054322,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,8.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-3.330711,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,9.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-2.625034,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,10.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-3.644106,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,15.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-2.513895,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,16.000000,NC,0,4,160.000000,-3.000000,hyperpolarization,-4.703211,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,1.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-6.742223,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,2.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.374084,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,3.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-8.154790,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,4.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.265017,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,6.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-7.405918,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,7.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.174010,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,8.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-2.176780,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,9.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.319427,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,10.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-2.933431,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,11.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.932925,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,12.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-6.540659,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,15.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-3.075568,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,16.000000,NC,0,4,160.000000,-2.000000,hyperpolarization,-5.502978,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,1.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-7.614257,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,3.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-7.088369,cell,,,
