cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.049415,10.724081,2.758505,2.022096,-8.802362,-41.419926,10.000000,197.615158,0.000000,10.668150,10.724081,17.534216,6.810135
1,R7,0.971020,-25.405382,2.758505,9.998395,-8.871751,-41.107498,10.000000,205.099426,0.000000,-24.580946,-25.405382,-25.463173,-0.057791
2,R8,1.034410,-0.831069,2.758505,8.509739,-16.327526,-33.357605,23.476652,192.907349,0.000000,-1.020565,-0.831069,5.368781,6.199850
3,L1,2.000000,-18.120380,2.758505,2.224162,-16.517595,-33.106335,10.805968,216.848282,0.992545,-17.827925,-18.120380,-37.960876,-19.840496
4,L2,2.000000,-31.675076,2.758505,4.912806,-22.308153,-27.941065,10.000000,226.185211,0.902290,-31.565075,-31.675076,-43.955303,-12.280228
5,L3,1.661086,-26.429691,2.758505,2.778502,-22.985985,-27.513477,28.682755,199.309448,0.000000,-26.489185,-26.429691,-26.638666,-0.208975
6,L4,0.957443,0.512226,2.758505,2.747232,0.541793,-50.398788,10.000000,218.065018,0.672244,0.510952,0.512226,-0.587585,-1.099811
7,L5,1.846591,-4.243138,2.758505,1.890567,-4.072079,-45.742447,12.458319,192.577362,0.994769,-3.915070,-4.243138,5.411213,9.654352
8,Mi1,2.000000,-34.151283,2.758505,2.456113,-15.970573,-34.503868,10.000000,207.023712,0.000000,-34.320477,-34.151283,-20.597721,13.553562
9,Tm3,1.921887,-31.042427,2.758505,1.404855,-17.601534,-31.903130,10.000000,207.489700,0.000000,-31.101515,-31.042427,-9.689711,21.352716
10,Mi4,2.000000,-5.753816,2.758505,2.044599,-4.723065,-45.741013,30.150826,196.022766,0.000000,-5.728613,-5.753816,-0.758376,4.995439
11,Mi9,2.000000,-27.903423,2.758505,3.767091,-22.125198,-27.602219,21.029583,206.202698,0.000000,-27.868990,-27.903423,-30.656637,-2.753214
12,T4a,1.030497,-13.293924,2.758505,0.546475,-14.719383,-35.442932,10.000000,200.087601,0.000000,-13.183508,-13.293924,2.398020,15.691944
13,T4b,0.917766,-4.376279,2.758505,0.441233,-5.363459,-44.352219,10.000000,196.755554,0.000000,-4.282516,-4.376279,9.355770,13.732049
14,T4c,0.875152,-2.036504,2.758505,0.100000,-3.117784,-47.134453,10.000000,192.941879,0.000000,-1.946520,-2.036504,11.172202,13.208706
15,T4d,0.815673,-7.058277,2.758505,0.100000,-7.901244,-42.554119,10.000000,195.740723,0.000000,-6.972128,-7.058277,5.026831,12.085108
16,Tm1,2.000000,-25.214102,2.758505,2.481443,-24.529104,-25.091068,16.938078,196.950211,0.000000,-25.182991,-25.214102,-25.716133,-0.502031
17,Tm2,2.000000,-21.842100,2.758505,2.242627,-22.676216,-27.411417,10.000000,205.614777,0.000000,-21.790529,-21.842100,-22.074776,-0.232676
18,Tm4,2.000000,-18.512152,2.758505,3.489908,-15.351165,-34.160435,10.000000,195.984497,0.000000,-18.511709,-18.512152,-21.911779,-3.399628
19,Tm9,0.954617,-5.789590,2.758505,1.821487,-0.755960,-49.551479,10.000000,205.993683,0.000000,-5.857769,-5.789590,-7.999626,-2.210036
20,T5a,1.027758,-16.716179,2.758505,2.507747,-9.165418,-40.683208,10.000000,206.028625,0.000000,-16.808123,-16.716179,-16.802366,-0.086187
21,T5b,0.961304,46.919250,2.758505,8.156613,5.989145,-55.640491,41.529358,197.295929,0.000000,46.899635,46.919250,46.051296,-0.867954
22,T5c,1.047468,62.832203,2.758505,7.622948,3.193303,-52.778141,25.730663,200.132019,0.000000,62.824703,62.832203,60.995705,-1.836498
23,T5d,1.000612,-14.088098,2.758505,0.100000,-4.464754,-45.863625,17.501305,202.678162,0.000000,-14.132347,-14.088098,-14.175838,-0.087741
24,T1,1.043274,-90.120277,2.758505,0.414274,-8.401455,-41.174976,23.540247,202.753387,0.000000,-90.923592,-90.120277,-134.053116,-43.932838
25,T2,0.988151,152.411606,2.758505,2.407004,-6.475081,-43.562828,10.000000,207.877304,0.000000,140.354416,152.411606,135.271408,-17.140198
26,T2a,1.007562,-6.767070,2.758505,4.827266,-0.070367,-49.621166,10.000000,205.049606,0.000000,-5.849821,-6.767070,-7.581422,-0.814352
27,T3,1.048019,7.000704,2.758505,0.853762,-10.553673,-39.238522,26.302671,205.216232,0.000000,7.087855,7.000704,1.131472,-5.869232
28,C2,0.951516,-36.388565,2.758505,1.227458,-4.867353,-45.353268,28.474119,194.280853,0.000000,-36.406326,-36.388565,-12.582458,23.806107
29,C3,1.019663,-28.693468,2.758505,2.336436,-1.543335,-48.140392,33.072842,208.973572,0.000000,-28.713337,-28.693468,-11.900898,16.792570
30,Lawf1,0.964429,52.756729,2.758505,0.457255,-14.291280,-35.608234,10.431800,190.475525,0.000000,44.031399,52.756729,85.571785,32.815056
31,Lawf2,1.043508,-11.975939,2.758505,6.188156,1.898951,-51.764133,10.000000,208.306961,0.000000,-10.043121,-11.975939,-13.000383,-1.024445
32,Dm3v,0.982464,11.544155,2.758505,4.124499,-6.846045,-43.649055,24.663918,196.087830,0.000000,11.592327,11.544155,11.047832,-0.496323
33,Lai,0.953820,-200.000000,2.758505,3.614973,0.455005,-50.514942,10.000000,194.716003,0.000000,-323.261047,-326.362488,-377.227417,-50.864929
34,Mi10,0.954277,61.964870,2.758505,1.271153,-14.626399,-34.996674,10.000000,205.154251,0.000000,51.569965,61.964870,94.500252,32.535381
35,Mi13,0.961072,-20.941399,2.758505,0.289802,-3.740992,-46.516720,10.000000,202.275818,0.000000,-18.737055,-20.941399,-19.940376,1.001022
36,Mi14,1.009999,36.206352,2.758505,7.886567,-0.265586,-50.046879,10.000000,202.680450,0.000000,34.916462,36.206352,47.926487,11.720135
37,Mi15,1.044224,-179.864029,2.758505,0.100000,-2.590729,-47.740662,14.933347,205.096512,0.000000,-177.545837,-179.864029,-200.889252,-21.025223
38,Mi2,1.031062,-16.771818,2.758505,4.971496,-9.436382,-40.159409,10.000000,200.076065,0.000000,-16.661739,-16.771818,1.545493,18.317311
39,Tm16,0.965061,-133.636703,2.758505,2.302895,-7.874772,-41.902195,12.148580,195.707550,0.000000,-132.900208,-133.636703,-146.022995,-12.386292
40,Tm20,1.024358,-44.008011,2.758505,2.509219,-15.327113,-35.021755,10.000000,207.509262,0.000000,-43.766888,-44.008011,-54.118210,-10.110199
41,Tm21,1.040234,-50.783558,2.758505,3.943418,-0.679952,-49.496922,25.390617,193.193161,0.000000,-51.992683,-50.783558,-54.159275,-3.375717
42,Tm27,1.038415,-56.208931,2.758505,4.049891,-25.417118,-24.553085,27.903582,191.529541,0.000000,-56.117054,-56.208931,-29.005308,27.203623
43,Tm5a,0.972292,-15.983452,2.758505,2.480586,1.307450,-51.530148,10.000000,208.865570,0.000000,-15.829527,-15.983452,-16.807955,-0.824503
44,Tm5b,0.975510,-14.753081,2.758505,4.264833,-6.369081,-43.198593,10.000000,206.184677,0.000000,-22.482327,-14.753081,-1.233512,13.519570
45,Tm5c,1.023148,12.066505,2.758505,5.829996,4.525557,-54.951317,21.507452,199.162979,0.000000,11.867594,12.066505,11.833837,-0.232669
46,Tm5f,0.980505,27.604330,2.758505,4.913727,-2.009989,-48.345158,10.000000,203.141403,0.000000,27.856604,27.604330,26.433111,-1.171219
47,TmY10,0.957533,-27.411428,2.758505,6.392395,-0.807978,-48.827522,11.883774,209.891830,0.000000,-27.188572,-27.411428,-31.324560,-3.913132
48,TmY11,0.971511,-11.482258,2.758505,7.284961,-1.730342,-48.183243,10.000000,200.297012,0.000000,-15.657439,-11.482258,-23.972998,-12.490740
49,TmY14,1.046091,63.404339,2.758505,1.739056,-8.351165,-41.588665,10.000000,199.794067,0.000000,58.373875,63.404339,55.845909,-7.558430
50,TmY15,1.045658,22.606344,2.758505,2.017468,-1.436165,-49.054340,10.000000,195.985229,0.000000,24.301302,22.606344,20.238451,-2.367893
51,TmY3,0.974253,176.724258,2.758505,3.650924,-8.179821,-42.224014,11.226552,197.841003,0.000000,176.232391,176.724258,171.941315,-4.782944
52,TmY4,0.986004,74.291687,2.758505,9.986327,3.540065,-53.318497,17.164484,197.067078,0.000000,46.309898,74.291687,586.603394,512.311707
53,TmY5a,1.008735,34.117851,2.758505,4.843282,-20.183193,-29.625225,20.424204,206.845581,0.000000,32.507290,34.117851,45.799252,11.681400
54,TmY9q,1.036802,80.100433,2.758505,6.623253,5.570645,-55.779945,10.000000,200.231964,0.000000,75.252235,80.100433,99.794739,19.694305
55,TmY9q__perp,1.027929,111.478233,2.758505,5.216068,-1.855764,-47.927170,26.022732,207.243896,0.000000,108.466415,111.478233,122.634300,11.156067
