cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Dm3v,720575940641195765,7,5,"1, 1, 1, 1, 1",1,-12.0,-10,-14,11.6,13,11,11.6,13.0,11.0,-6.2,-3.5,-8.5
Dm3v,720575940617991313,6,6,"2, 1, 1, 1, 1",2,-9.0,-8,-10,15.667,16,15,15.667,16.0,15.0,-1.167,0.0,-2.5
Dm3v,720575940608616796,7,5,"3, 1, 1",3,12.6,14,12,-11.8,-11,-12,-11.8,-11.0,-12.0,6.7,8.5,6.0
Dm3v,720575940613102962,15,13,"4, 3, 2, 1, 1, 1, 1",5,-8.923,-6,-12,2.0,2,2,2.0,2.0,2.0,-7.923,-5.0,-11.0
Dm3v,720575940636606894,12,9,"3, 3, 2, 1",6,0.111,2,-1,4.0,4,4,4.0,4.0,4.0,2.111,4.0,1.0
Dm3v,720575940627617673,11,5,"3, 1, 1",14,14.2,15,14,-0.8,0,-1,-0.8,0.0,-1.0,13.8,14.5,13.5
Dm3v,720575940620512603,12,9,"4, 3, 1, 1",16,5.556,7,4,4.111,5,4,4.111,5.0,4.0,7.611,9.5,6.0
Dm3v,720575940614811794,13,6,"1, 1, 1, 1, 1, 1",17,3.833,5,2,-3.167,-2,-4,-3.167,-2.0,-4.0,2.25,3.5,1.0
Dm3v,720575940608640370,10,7,"3, 1, 1, 1, 1",18,13.286,15,12,-9.714,-9,-10,-9.714,-9.0,-10.0,8.429,10.0,7.0
Dm3v,720575940620259419,10,8,"3, 2, 1, 1, 1",21,-10.75,-9,-12,3.125,4,3,3.125,4.0,3.0,-9.188,-7.0,-10.5
Dm3v,720575940631880040,10,10,"4, 3, 2, 1",29,0.7,2,-1,1.0,1,1,1.0,1.0,1.0,1.2,2.5,-0.5
Dm3v,720575940620827840,15,11,"3, 3, 2, 2, 1",34,-3.182,-1,-5,-11.545,-11,-12,-11.545,-11.0,-12.0,-8.955,-7.0,-10.5
Dm3v,720575940612476122,11,8,"3, 2, 2, 1",35,12.75,14,11,-2.0,-2,-2,-2.0,-2.0,-2.0,11.75,13.0,10.0
Dm3v,720575940606729150,7,6,"3, 2, 1",36,2.167,5,1,-12.0,-12,-12,-12.0,-12.0,-12.0,-3.833,-1.0,-5.0
Dm3v,720575940620586331,9,9,"3, 3, 1, 1, 1",37,-1.222,1,-3,-3.0,-3,-3,-3.0,-3.0,-3.0,-2.722,-0.5,-4.5
