cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY5a,720575940633825166,30,14,"5, 2, 2, 1, 1, 1, 1, 1",1,-11.714,-10,-13,10.929,12,10,10.929,12.0,10.0,-6.25,-4.5,-7.5
TmY5a,720575940626927887,44,18,"5, 4, 3, 2, 2, 1, 1",3,12.444,14,11,-11.722,-11,-13,-11.722,-11.0,-13.0,6.583,8.0,5.5
TmY5a,720575940617548884,24,3,"2, 1",6,-0.333,0,-1,4.333,5,4,4.333,5.0,4.0,1.833,2.0,1.5
TmY5a,720575940619329414,34,15,"5, 3, 2, 2, 1, 1, 1",8,-17.4,-16,-18,8.533,11,6,8.533,11.0,6.0,-13.133,-12.0,-15.0
TmY5a,720575940618971515,28,10,"5, 2, 1, 1, 1",9,0.1,1,-1,-9.5,-9,-11,-9.5,-9.0,-11.0,-4.65,-4.0,-5.5
TmY5a,720575940632410439,35,9,"3, 2, 1, 1, 1, 1",10,13.222,14,12,-11.222,-10,-12,-11.222,-10.0,-12.0,7.611,8.5,6.5
TmY5a,720575940620758363,18,7,"2, 2, 2, 1",11,13.571,14,13,-13.857,-13,-15,-13.857,-13.0,-15.0,6.643,7.5,5.5
TmY5a,720575940636600036,13,5,"2, 1, 1, 1",11,13.6,14,13,-14.4,-14,-15,-14.4,-14.0,-15.0,6.4,7.0,5.5
TmY5a,720575940632399976,30,13,"5, 2, 2, 1, 1, 1, 1",12,-11.154,-10,-12,13.077,14,12,13.077,14.0,12.0,-4.615,-3.5,-6.0
TmY5a,720575940639610019,51,17,"5, 4, 2, 2, 1, 1, 1, 1",17,3.529,5,2,-3.294,-2,-5,-3.294,-2.0,-5.0,1.882,3.0,1.0
TmY5a,720575940625564362,28,9,"5, 2, 1, 1",18,12.778,14,12,-9.889,-9,-10,-9.889,-9.0,-10.0,7.833,9.0,7.0
TmY5a,720575940620003188,28,13,"5, 4, 2, 1, 1",19,-14.923,-14,-16,13.154,14,12,13.154,14.0,12.0,-8.346,-7.5,-10.0
TmY5a,720575940624271911,52,22,"8, 6, 3, 2, 1, 1, 1",20,9.364,11,8,-6.818,-6,-8,-6.818,-6.0,-8.0,5.955,7.0,5.0
TmY5a,720575940609360174,45,14,"4, 3, 2, 2, 1, 1, 1",22,-1.929,-1,-3,1.429,2,0,1.429,2.0,0.0,-1.214,0.0,-2.5
TmY5a,720575940627776058,31,7,"3, 2, 1, 1",24,3.857,5,3,2.286,3,1,2.286,3.0,1.0,5.0,6.0,4.5
TmY5a,720575940622506376,24,11,"3, 3, 3, 1, 1",25,-10.364,-9,-12,17.0,18,16,17.0,18.0,16.0,-1.864,-0.5,-3.5
TmY5a,720575940623272268,29,13,"3, 3, 2, 2, 1, 1, 1",27,13.462,15,12,-1.154,0,-2,-1.154,0.0,-2.0,12.885,14.0,12.0
TmY5a,720575940644439456,31,10,"4, 3, 1, 1, 1",27,12.6,14,12,-0.5,0,-1,-0.5,0.0,-1.0,12.35,13.5,11.5
TmY5a,720575940617862100,8,3,"1, 1, 1",28,2.0,3,1,-10.333,-10,-11,-10.333,-10.0,-11.0,-3.167,-2.5,-4.0
TmY5a,720575940611433336,48,14,"5, 3, 2, 1, 1, 1, 1",29,1.357,3,0,0.643,2,-2,0.643,2.0,-2.0,1.679,2.5,0.5
TmY5a,720575940612922163,25,15,"4, 3, 3, 2, 1, 1, 1",30,-2.333,-1,-4,-11.6,-10,-13,-11.6,-10.0,-13.0,-8.133,-7.5,-9.0
TmY5a,720575940624658184,27,9,"4, 2, 2, 1",31,-7.556,-7,-8,-0.111,1,-1,-0.111,1.0,-1.0,-7.611,-7.0,-8.0
TmY5a,720575940628782065,26,10,"3, 2, 2, 1, 1, 1",36,2.3,4,1,-12.5,-12,-14,-12.5,-12.0,-14.0,-3.95,-3.0,-5.0
TmY5a,720575940649444729,4,4,"3, 1",36,2.25,3,2,-12.25,-12,-13,-12.25,-12.0,-13.0,-3.875,-3.5,-4.0
TmY5a,720575940626745118,29,12,"6, 2, 1, 1, 1, 1",37,-0.667,1,-2,-3.083,-2,-4,-3.083,-2.0,-4.0,-2.208,-1.0,-3.0
TmY5a,720575940607700060,55,16,"5, 5, 2, 2, 1, 1",38,1.25,2,0,-0.375,1,-1,-0.375,1.0,-1.0,1.062,2.0,0.0
TmY5a,720575940617447483,42,21,"6, 4, 4, 3, 1, 1, 1, 1",39,-10.095,-8,-12,-0.381,1,-1,-0.381,1.0,-1.0,-10.286,-8.0,-12.5
TmY5a,720575940630430508,39,13,"5, 3, 2, 1, 1, 1",40,0.923,2,0,3.615,4,3,3.615,4.0,3.0,2.731,4.0,1.5
TmY5a,720575940614269607,35,13,"4, 3, 1, 1, 1, 1, 1, 1",43,-13.538,-12,-16,9.846,11,9,9.846,11.0,9.0,-8.615,-7.0,-11.0
TmY5a,720575940627529049,56,18,"5, 5, 3, 2, 1, 1, 1",44,10.333,11,9,-9.889,-9,-11,-9.889,-9.0,-11.0,5.389,6.5,4.5
TmY5a,720575940640960501,24,11,"4, 2, 1, 1, 1, 1, 1",46,-11.818,-10,-13,9.091,10,8,9.091,10.0,8.0,-7.273,-5.5,-8.5
TmY5a,720575940633919083,47,16,"5, 4, 3, 3, 1",50,-11.5,-11,-12,2.625,4,2,2.625,4.0,2.0,-10.188,-9.0,-11.0
TmY5a,720575940629111707,37,16,"6, 4, 3, 2, 1",51,9.812,11,9,-0.562,0,-1,-0.562,0.0,-1.0,9.531,10.5,8.5
TmY5a,720575940639471413,29,12,"4, 3, 3, 1, 1",53,-2.25,-2,-3,-10.417,-9,-13,-10.417,-9.0,-13.0,-7.458,-6.5,-8.5
TmY5a,720575940613046499,17,7,"3, 1, 1, 1, 1",55,1.857,3,1,7.429,8,6,7.429,8.0,6.0,5.571,6.5,5.0
TmY5a,720575940616471126,36,14,"6, 3, 1, 1, 1, 1, 1",56,7.929,9,7,-2.5,-1,-3,-2.5,-1.0,-3.0,6.679,8.0,5.5
TmY5a,720575940607853323,46,15,"4, 4, 2, 2, 1, 1, 1",59,-2.8,-1,-4,4.2,5,3,4.2,5.0,3.0,-0.7,0.5,-1.5
TmY5a,720575940612330446,31,17,"4, 4, 2, 2, 2, 1, 1, 1",60,-12.176,-11,-14,15.941,17,15,15.941,17.0,15.0,-4.206,-2.5,-6.5
TmY5a,720575940623189272,38,12,"5, 3, 2, 1, 1",61,-2.167,-1,-4,8.167,9,7,8.167,9.0,7.0,1.917,3.0,0.0
