cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY9q,720575940609809476,19,4,"1, 1, 1, 1",1,-12.0,-11,-13,10.75,12,10,10.75,12.0,10.0,-6.625,-5.0,-8.0
TmY9q,720575940647073412,6,1,1,5,-9.0,-9,-9,2.0,2,2,2.0,2.0,2.0,-8.0,-8.0,-8.0
TmY9q,720575940616513695,21,6,"1, 1, 1, 1, 1, 1",12,-10.833,-10,-11,12.833,15,10,12.833,15.0,10.0,-4.417,-3.0,-6.0
TmY9q,720575940635911416,30,9,"2, 2, 2, 2, 1",20,9.111,10,8,-6.778,-5,-9,-6.778,-5.0,-9.0,5.722,7.5,3.5
TmY9q,720575940613626777,39,11,"3, 2, 1, 1, 1, 1, 1, 1",23,5.0,6,4,5.909,9,3,5.909,9.0,3.0,7.955,9.5,5.5
TmY9q,720575940641610203,5,4,"2, 1, 1",32,-6.0,-6,-6,-0.75,1,-2,-0.75,1.0,-2.0,-6.375,-5.5,-7.0
TmY9q,720575940618696016,12,7,"2, 1, 1, 1, 1, 1",33,-6.286,-6,-7,-5.714,-4,-7,-5.714,-4.0,-7.0,-9.143,-8.0,-10.5
TmY9q,720575940639809880,16,6,"1, 1, 1, 1, 1, 1",34,-2.5,-1,-4,-11.667,-11,-13,-11.667,-11.0,-13.0,-8.333,-6.5,-9.5
TmY9q,720575940613115545,18,9,"2, 2, 1, 1, 1, 1, 1",37,-0.556,0,-1,-2.778,-1,-4,-2.778,-1.0,-4.0,-1.944,-1.0,-3.0
TmY9q,720575940638755910,15,5,"2, 1, 1, 1",38,0.8,1,0,0.2,1,-1,0.2,1.0,-1.0,0.9,1.5,0.0
TmY9q,720575940639210037,11,4,"2, 1, 1",41,-16.5,-16,-17,6.25,7,6,6.25,7.0,6.0,-13.375,-12.5,-14.0
TmY9q,720575940627523371,11,3,"2, 1",42,-7.667,-7,-8,3.0,5,2,3.0,5.0,2.0,-6.167,-4.5,-7.0
TmY9q,720575940637771583,20,7,"2, 2, 1, 1, 1",47,-8.286,-7,-11,17.143,18,16,17.143,18.0,16.0,0.286,1.5,-2.0
