type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
R1-6,720575940611082564,1,1,1,1,-12.0,-12,-12,11.0,11,11,11.0,11.0,11.0,-6.5,-6.5,-6.5
R1-6,720575940629731856,1,1,1,3,12.0,12,12,-12.0,-12,-12,-12.0,-12.0,-12.0,6.0,6.0,6.0
R1-6,720575940640391075,2,2,2,4,6.0,6,6,9.0,9,9,9.0,9.0,9.0,10.5,10.5,10.5
R1-6,720575940626097241,1,1,1,6,0.0,0,0,4.0,4,4,4.0,4.0,4.0,2.0,2.0,2.0
R1-6,720575940610871876,2,2,2,11,14.0,14,14,-14.0,-14,-14,-14.0,-14.0,-14.0,7.0,7.0,7.0
R1-6,720575940611748984,1,1,1,13,12.0,12,12,2.0,2,2,2.0,2.0,2.0,13.0,13.0,13.0
R1-6,720575940619745438,1,1,1,15,4.0,4,4,-5.0,-5,-5,-5.0,-5.0,-5.0,1.5,1.5,1.5
R1-6,720575940627275537,2,1,1,15,4.0,4,4,-5.0,-5,-5,-5.0,-5.0,-5.0,1.5,1.5,1.5
R1-6,720575940635628479,1,1,1,15,4.0,4,4,-5.0,-5,-5,-5.0,-5.0,-5.0,1.5,1.5,1.5
R1-6,720575940628043834,1,1,1,16,6.0,6,6,4.0,4,4,4.0,4.0,4.0,8.0,8.0,8.0
R1-6,720575940619257152,1,1,1,18,13.0,13,13,-10.0,-10,-10,-10.0,-10.0,-10.0,8.0,8.0,8.0
R1-6,720575940632074255,4,1,1,20,9.0,9,9,-7.0,-7,-7,-7.0,-7.0,-7.0,5.5,5.5,5.5
R1-6,720575940636826743,1,1,1,23,5.0,5,5,6.0,6,6,6.0,6.0,6.0,8.0,8.0,8.0
R1-6,720575940618063065,1,1,1,24,4.0,4,4,2.0,2,2,2.0,2.0,2.0,5.0,5.0,5.0
R1-6,720575940630704896,1,1,1,26,3.0,3,3,-3.0,-3,-3,-3.0,-3.0,-3.0,1.5,1.5,1.5
R1-6,720575940610887886,1,1,1,28,2.0,2,2,-10.0,-10,-10,-10.0,-10.0,-10.0,-3.0,-3.0,-3.0
R1-6,720575940618266001,1,1,1,28,2.0,2,2,-10.0,-10,-10,-10.0,-10.0,-10.0,-3.0,-3.0,-3.0
R1-6,720575940609853653,1,1,1,29,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.5,1.5,1.5
R1-6,720575940617885243,2,2,2,30,-2.0,-2,-2,-12.0,-12,-12,-12.0,-12.0,-12.0,-8.0,-8.0,-8.0
R1-6,720575940624167827,3,3,"2, 1",30,-1.667,-1,-2,-12.333,-12,-13,-12.333,-12.0,-13.0,-7.833,-7.5,-8.0
R1-6,720575940614627759,1,1,1,33,-6.0,-6,-6,-6.0,-6,-6,-6.0,-6.0,-6.0,-9.0,-9.0,-9.0
R1-6,720575940620768647,1,1,1,33,-6.0,-6,-6,-6.0,-6,-6,-6.0,-6.0,-6.0,-9.0,-9.0,-9.0
R1-6,720575940622636894,1,1,1,33,-6.0,-6,-6,-6.0,-6,-6,-6.0,-6.0,-6.0,-9.0,-9.0,-9.0
R1-6,720575940623885448,3,2,2,34,-3.0,-3,-3,-12.0,-12,-12,-12.0,-12.0,-12.0,-9.0,-9.0,-9.0
