cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Mi14,720575940633901101,23,13,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1",226,-3.769,0,-7,-11.308,-8,-13,-11.308,-8.0,-13.0,-9.423,-6.5,-11.5
Mi14,720575940627038982,30,15,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1",231,9.6,12,8,-7.733,-6,-9,-7.733,-6.0,-9.0,5.733,7.5,4.5
Mi14,720575940621839121,25,10,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1",232,-9.6,-6,-11,6.7,9,5,6.7,9.0,5.0,-6.25,-3.0,-8.0
Mi14,720575940609930052,5,3,"1, 1, 1",235,-0.667,0,-1,-8.667,-8,-9,-8.667,-8.0,-9.0,-5.0,-4.5,-5.5
Mi14,720575940631155031,36,20,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",238,-5.8,-3,-8,15.1,17,13,15.1,17.0,13.0,1.75,4.0,0.0
Mi14,720575940625701680,12,5,"1, 1, 1, 1, 1",241,11.4,13,10,-5.0,-4,-6,-5.0,-4.0,-6.0,8.9,10.5,7.0
Mi14,720575940623283725,37,22,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",247,4.409,8,1,6.864,10,4,6.864,10.0,4.0,7.841,10.0,5.5
Mi14,720575940622126597,19,9,"2, 1, 1, 1, 1, 1, 1, 1",253,-3.222,-2,-5,-10.222,-9,-13,-10.222,-9.0,-13.0,-8.333,-6.5,-10.5
Mi14,720575940626459394,17,10,"2, 2, 1, 1, 1, 1, 1, 1",256,14.7,18,13,-10.4,-9,-12,-10.4,-9.0,-12.0,9.5,13.0,7.0
Mi14,720575940640532824,19,12,"2, 2, 2, 1, 1, 1, 1, 1, 1",262,7.5,9,6,-3.5,-2,-5,-3.5,-2.0,-5.0,5.75,7.0,4.5
Mi14,720575940638447706,33,16,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",264,2.312,5,0,2.25,5,0,2.25,5.0,0.0,3.438,5.5,2.0
