cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940620831323,72,54,"8, 7, 7, 7, 7, 4, 3, 2, 2, 2, 2, 1, 1, 1",605,-3.907,-2,-6,-6.852,-5,-9,-6.852,-5.0,-9.0,-7.333,-6.0,-9.0
TmY3,720575940659869313,53,40,"7, 6, 6, 5, 5, 5, 2, 1, 1, 1, 1",606,9.175,11,7,1.15,3,-1,1.15,3.0,-1.0,9.75,11.0,8.0
TmY3,720575940635367263,46,35,"7, 6, 5, 4, 4, 2, 2, 1, 1, 1, 1, 1",607,-7.771,-6,-10,-1.771,0,-3,-1.771,0.0,-3.0,-8.657,-7.0,-10.5
TmY3,720575940619058517,74,58,"9, 8, 8, 7, 7, 6, 5, 5, 2, 1",609,-2.121,-1,-4,4.276,6,3,4.276,6.0,3.0,0.017,1.0,-1.5
TmY3,720575940623591914,58,47,"8, 7, 7, 6, 4, 3, 3, 2, 2, 2, 1, 1, 1",614,2.298,4,0,4.043,6,2,4.043,6.0,2.0,4.319,6.0,2.5
TmY3,720575940645361431,44,34,"8, 7, 5, 3, 3, 2, 2, 2, 1, 1",615,-2.618,-1,-6,12.912,15,12,12.912,15.0,12.0,3.838,5.5,1.5
TmY3,720575940627010642,59,43,"8, 7, 7, 6, 4, 2, 2, 2, 1, 1, 1, 1, 1",616,-10.326,-8,-12,4.791,7,3,4.791,7.0,3.0,-7.93,-6.0,-9.5
TmY3,720575940613662826,47,33,"7, 7, 5, 5, 2, 2, 2, 2, 1",617,7.303,9,6,2.788,4,1,2.788,4.0,1.0,8.697,10.0,7.5
TmY3,720575940636726926,24,18,"4, 3, 3, 2, 2, 1, 1, 1, 1",620,7.056,9,3,-15.389,-14,-16,-15.389,-14.0,-16.0,-0.639,1.0,-4.0
TmY3,720575940650925945,56,41,"7, 7, 7, 6, 4, 4, 2, 1, 1, 1, 1",622,-14.634,-13,-16,9.732,11,8,9.732,11.0,8.0,-9.768,-8.0,-11.0
TmY3,720575940631338552,59,45,"7, 6, 6, 4, 4, 4, 4, 3, 3, 2, 1, 1",624,10.289,12,9,-2.667,-1,-5,-2.667,-1.0,-5.0,8.956,10.0,7.5
TmY3,720575940638314037,64,47,"9, 7, 6, 6, 6, 5, 5, 1, 1, 1",625,-14.234,-13,-16,3.83,6,2,3.83,6.0,2.0,-12.319,-11.5,-13.5
TmY3,720575940626451462,49,40,"8, 7, 7, 6, 3, 2, 2, 1, 1, 1, 1, 1",626,-1.075,1,-3,9.525,11,8,9.525,11.0,8.0,3.688,6.5,2.0
TmY3,720575940606742206,55,39,"7, 6, 6, 4, 4, 3, 3, 2, 2, 2",628,-0.103,1,-1,0.41,2,-2,0.41,2.0,-2.0,0.103,1.0,-1.0
TmY3,720575940606849481,53,37,"6, 6, 5, 4, 3, 3, 2, 2, 2, 2, 1, 1",629,-8.216,-6,-10,-8.081,-6,-10,-8.081,-6.0,-10.0,-12.257,-11.0,-13.5
TmY3,720575940632855889,43,33,"7, 6, 5, 5, 5, 3, 1, 1",635,9.061,10,8,-11.848,-10,-13,-11.848,-10.0,-13.0,3.136,4.0,1.5
TmY3,720575940620039663,33,29,"7, 7, 6, 4, 1, 1, 1, 1, 1",636,-3.138,-2,-4,-0.414,1,-2,-0.414,1.0,-2.0,-3.345,-2.0,-4.5
TmY3,720575940625159882,58,42,"8, 8, 8, 6, 4, 4, 2, 1, 1",639,-12.929,-12,-14,6.738,9,5,6.738,9.0,5.0,-9.56,-8.5,-10.5
