type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Lawf1,720575940621824091,19,1,1,4,6.0,6,6,9.0,9,9,9.0,9.0,9.0,10.5,10.5,10.5
Lawf1,720575940627594585,18,1,1,14,14.0,14,14,-1.0,-1,-1,-1.0,-1.0,-1.0,13.5,13.5,13.5
Lawf1,720575940620992165,18,1,1,22,-2.0,-2,-2,1.0,1,1,1.0,1.0,1.0,-1.5,-1.5,-1.5
Lawf1,720575940627793480,33,4,"1, 1, 1, 1",23,5.0,6,4,6.0,7,5,6.0,7.0,5.0,8.0,8.5,7.0
Lawf1,720575940614907902,39,1,1,39,-10.0,-10,-10,0.0,0,0,0.0,0.0,0.0,-10.0,-10.0,-10.0
Lawf1,720575940639970749,43,5,"1, 1, 1, 1, 1",40,0.8,2,-1,3.6,5,2,3.6,5.0,2.0,2.6,3.5,1.5
Lawf1,720575940629890064,43,4,"1, 1, 1, 1",49,6.0,7,5,-8.25,-8,-9,-8.25,-8.0,-9.0,1.875,3.0,1.0
Lawf1,720575940622995224,38,3,"1, 1, 1",57,11.667,12,11,-12.667,-11,-14,-12.667,-11.0,-14.0,5.333,6.5,4.0
Lawf1,720575940637876080,45,6,"2, 1, 1, 1, 1",77,4.667,7,3,-4.5,-3,-6,-4.5,-3.0,-6.0,2.417,4.0,1.0
Lawf1,720575940644671944,33,1,1,78,-8.0,-8,-8,-4.0,-4,-4,-4.0,-4.0,-4.0,-10.0,-10.0,-10.0
Lawf1,720575940628052755,34,3,"2, 1",85,15.333,16,15,-8.667,-8,-10,-8.667,-8.0,-10.0,11.0,11.0,11.0
Lawf1,720575940624513476,27,4,"2, 1, 1",86,-1.75,0,-3,9.25,10,8,9.25,10.0,8.0,2.875,4.0,2.0
Lawf1,720575940615553467,43,7,"2, 1, 1, 1, 1, 1",91,-4.0,-2,-5,1.857,3,1,1.857,3.0,1.0,-3.071,-1.0,-4.0
Lawf1,720575940640690264,62,14,"4, 2, 2, 1, 1, 1, 1, 1, 1",99,-3.357,-2,-6,-8.714,-5,-11,-8.714,-5.0,-11.0,-7.714,-6.5,-9.0
Lawf1,720575940621102502,44,3,"1, 1, 1",105,-8.0,-7,-9,-6.0,-6,-6,-6.0,-6.0,-6.0,-11.0,-10.0,-12.0
Lawf1,720575940646445678,34,4,"2, 1, 1",108,2.75,3,2,5.75,6,5,5.75,6.0,5.0,5.625,6.0,5.0
Lawf1,720575940634623388,43,7,"2, 1, 1, 1, 1, 1",112,-5.857,-4,-7,10.714,12,9,10.714,12.0,9.0,-0.5,1.0,-1.5
Lawf1,720575940623813523,38,3,"2, 1",116,2.667,3,2,2.0,2,2,2.0,2.0,2.0,3.667,4.0,3.0
Lawf1,720575940640102717,38,5,"2, 1, 1, 1",117,-7.2,-6,-9,16.4,17,16,16.4,17.0,16.0,1.0,2.0,-0.5
Lawf1,720575940610229973,46,8,"3, 1, 1, 1, 1, 1",121,-10.25,-9,-11,16.375,18,15,16.375,18.0,15.0,-2.062,-1.0,-3.5
Lawf1,720575940618735394,12,2,2,125,1.0,1,1,-11.0,-11,-11,-11.0,-11.0,-11.0,-4.5,-4.5,-4.5
Lawf1,720575940614735015,41,4,"1, 1, 1, 1",127,-7.0,-5,-9,-0.75,0,-2,-0.75,0.0,-2.0,-7.375,-6.0,-9.0
Lawf1,720575940616675259,36,4,"1, 1, 1, 1",142,6.5,8,5,4.25,5,4,4.25,5.0,4.0,8.625,10.0,7.5
Lawf1,720575940613271961,31,3,"1, 1, 1",152,11.333,13,10,-7.0,-7,-7,-7.0,-7.0,-7.0,7.833,9.5,6.5
Lawf1,720575940640135331,38,4,"2, 1, 1",152,10.5,11,10,-7.25,-7,-8,-7.25,-7.0,-8.0,6.875,7.5,6.0
Lawf1,720575940639220541,56,4,"2, 1, 1",158,5.75,7,5,-6.25,-5,-8,-6.25,-5.0,-8.0,2.625,3.0,2.5
Lawf1,720575940631098617,43,3,"2, 1",164,0.333,1,0,1.667,2,1,1.667,2.0,1.0,1.167,1.5,1.0
Lawf1,720575940636344431,34,3,"2, 1",175,-2.333,-2,-3,11.0,11,11,11.0,11.0,11.0,3.167,3.5,2.5
Lawf1,720575940622211766,38,4,"1, 1, 1, 1",181,2.0,4,0,-2.0,0,-6,-2.0,0.0,-6.0,1.0,2.0,0.0
Lawf1,720575940622473498,31,1,1,185,8.0,8,8,-5.0,-5,-5,-5.0,-5.0,-5.0,5.5,5.5,5.5
Lawf1,720575940629462827,43,5,"2, 1, 1, 1",191,4.6,6,4,1.2,2,0,1.2,2.0,0.0,5.2,6.0,4.5
Lawf1,720575940612332750,42,3,"1, 1, 1",196,-5.0,-4,-6,2.0,2,2,2.0,2.0,2.0,-4.0,-3.0,-5.0
Lawf1,720575940613409945,5,1,1,198,5.0,5,5,-12.0,-12,-12,-12.0,-12.0,-12.0,-1.0,-1.0,-1.0
Lawf1,720575940622897432,31,2,2,199,6.0,6,6,0.0,0,0,0.0,0.0,0.0,6.0,6.0,6.0
Lawf1,720575940627731722,40,4,"1, 1, 1, 1",202,-14.0,-13,-15,0.75,3,-1,0.75,3.0,-1.0,-13.625,-13.5,-14.0
Lawf1,720575940622913279,51,5,"1, 1, 1, 1, 1",203,4.4,7,3,-6.6,-5,-7,-6.6,-5.0,-7.0,1.1,3.5,-0.5
Lawf1,720575940617633819,39,6,"1, 1, 1, 1, 1, 1",212,9.833,11,8,-4.5,-3,-6,-4.5,-3.0,-6.0,7.583,8.5,6.5
Lawf1,720575940622782847,35,3,"2, 1",218,-3.333,-3,-4,-3.333,-2,-4,-3.333,-2.0,-4.0,-5.0,-5.0,-5.0
Lawf1,720575940606745778,45,5,"1, 1, 1, 1, 1",219,8.2,10,6,-11.8,-10,-14,-11.8,-10.0,-14.0,2.3,3.5,1.0
Lawf1,720575940627996657,49,3,"1, 1, 1",231,10.0,11,9,-8.333,-8,-9,-8.333,-8.0,-9.0,5.833,6.5,5.0
Lawf1,720575940634985847,51,2,"1, 1",233,11.5,12,11,-9.0,-9,-9,-9.0,-9.0,-9.0,7.0,7.5,6.5
Lawf1,720575940609437909,33,4,"2, 1, 1",234,0.25,1,0,-3.0,-2,-4,-3.0,-2.0,-4.0,-1.25,-1.0,-1.5
