cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5b,720575940622514134,8,3,"1, 1, 1",404,-11.333,-11,-12,1.667,2,1,1.667,2.0,1.0,-10.5,-10.0,-11.0
Tm5b,720575940619703606,6,3,"2, 1",405,-1.667,-1,-2,-6.0,-6,-6,-6.0,-6.0,-6.0,-4.667,-4.0,-5.0
Tm5b,720575940632594755,11,5,"2, 2, 1",409,2.2,3,2,-0.6,0,-1,-0.6,0.0,-1.0,1.9,2.5,1.5
Tm5b,720575940635565925,14,5,"2, 1, 1, 1",413,2.0,3,1,3.4,4,3,3.4,4.0,3.0,3.7,4.5,3.0
Tm5b,720575940636157673,14,4,"3, 1",416,6.75,7,6,-5.75,-5,-6,-5.75,-5.0,-6.0,3.875,4.0,3.5
Tm5b,720575940613757602,16,4,"2, 1, 1",419,2.5,3,2,5.25,6,5,5.25,6.0,5.0,5.125,5.5,4.5
Tm5b,720575940631979857,10,3,3,420,8.0,8,8,-13.0,-13,-13,-13.0,-13.0,-13.0,1.5,1.5,1.5
Tm5b,720575940638043206,8,3,"2, 1",422,-4.667,-4,-5,13.667,14,13,13.667,14.0,13.0,2.167,2.5,2.0
Tm5b,720575940612352741,6,3,"1, 1, 1",425,-7.333,-7,-8,-6.333,-6,-7,-6.333,-6.0,-7.0,-10.5,-10.0,-11.0
Tm5b,720575940626382692,11,2,"1, 1",427,13.5,14,13,-9.5,-9,-10,-9.5,-9.0,-10.0,8.75,9.0,8.5
Tm5b,720575940629830656,12,5,"3, 2",429,-9.0,-9,-9,4.4,5,4,4.4,5.0,4.0,-6.8,-6.5,-7.0
Tm5b,720575940620679533,12,2,"1, 1",431,3.5,4,3,4.0,4,4,4.0,4.0,4.0,5.5,6.0,5.0
Tm5b,720575940623736299,11,5,"3, 1, 1",434,-6.2,-6,-7,4.8,5,4,4.8,5.0,4.0,-3.8,-3.5,-4.5
Tm5b,720575940641464717,9,2,"1, 1",436,7.5,8,7,-1.0,-1,-1,-1.0,-1.0,-1.0,7.0,7.5,6.5
