cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5f,720575940615348107,14,6,"2, 2, 1, 1",2,-9.333,-9,-10,16.333,17,15,16.333,17.0,15.0,-1.167,-0.5,-1.5
Tm5f,720575940617334233,19,6,"4, 2",6,0.333,1,0,3.667,4,3,3.667,4.0,3.0,2.167,2.5,2.0
Tm5f,720575940631495499,13,5,"2, 1, 1, 1",7,-2.8,-2,-4,12.4,13,12,12.4,13.0,12.0,3.4,4.0,2.5
Tm5f,720575940630115090,14,3,"1, 1, 1",8,-16.667,-16,-17,8.333,9,8,8.333,9.0,8.0,-12.5,-12.0,-13.0
Tm5f,720575940639249853,8,3,"2, 1",11,14.333,15,14,-14.0,-14,-14,-14.0,-14.0,-14.0,7.333,8.0,7.0
Tm5f,720575940628137546,32,7,"3, 2, 1, 1",15,3.714,5,3,-4.857,-4,-5,-4.857,-4.0,-5.0,1.286,2.5,0.5
Tm5f,720575940624367869,15,6,"2, 2, 1, 1",17,4.167,5,3,-3.5,-3,-4,-3.5,-3.0,-4.0,2.417,3.0,1.5
Tm5f,720575940646704163,20,5,"2, 2, 1",18,12.6,13,12,-9.8,-9,-11,-9.8,-9.0,-11.0,7.7,8.0,7.5
Tm5f,720575940628801383,26,6,"2, 1, 1, 1, 1",20,8.667,9,8,-7.0,-6,-8,-7.0,-6.0,-8.0,5.167,6.0,4.5
Tm5f,720575940612202202,10,3,"2, 1",21,-11.0,-11,-11,3.333,4,3,3.333,4.0,3.0,-9.333,-9.0,-9.5
Tm5f,720575940619166667,23,9,"3, 2, 1, 1, 1, 1",22,-1.889,-1,-3,0.778,2,0,0.778,2.0,0.0,-1.5,-1.0,-2.5
Tm5f,720575940633761700,7,3,"1, 1, 1",25,-9.667,-9,-10,17.333,18,17,17.333,18.0,17.0,-1.0,-0.5,-1.5
Tm5f,720575940631425128,26,9,"4, 2, 1, 1, 1",26,3.0,4,2,-3.222,-2,-4,-3.222,-2.0,-4.0,1.389,2.0,0.5
Tm5f,720575940645605230,24,5,"2, 1, 1, 1",31,-7.6,-7,-8,0.4,1,0,0.4,1.0,0.0,-7.4,-6.5,-8.0
Tm5f,720575940628411976,19,8,"3, 2, 2, 1",32,-6.5,-6,-7,0.125,1,-1,0.125,1.0,-1.0,-6.438,-6.0,-7.0
Tm5f,720575940629201772,17,7,"3, 3, 1",33,-6.143,-6,-7,-6.286,-5,-7,-6.286,-5.0,-7.0,-9.286,-9.0,-9.5
Tm5f,720575940630646839,19,5,"4, 1",38,0.8,1,0,0.2,1,0,0.2,1.0,0.0,0.9,1.0,0.5
Tm5f,720575940613249199,14,4,"2, 1, 1",39,-10.25,-10,-11,-0.25,1,-1,-0.25,1.0,-1.0,-10.375,-10.0,-10.5
Tm5f,720575940607441097,15,3,"1, 1, 1",40,1.0,1,1,4.0,5,3,4.0,5.0,3.0,3.0,3.5,2.5
Tm5f,720575940632430050,14,5,"3, 1, 1",41,-16.8,-16,-17,6.0,7,5,6.0,7.0,5.0,-13.8,-13.5,-14.0
Tm5f,720575940639498997,16,5,"2, 1, 1, 1",49,6.0,7,5,-8.4,-8,-9,-8.4,-8.0,-9.0,1.8,2.5,1.0
Tm5f,720575940626552709,11,3,"2, 1",50,-11.667,-11,-12,2.667,3,2,2.667,3.0,2.0,-10.333,-10.0,-10.5
Tm5f,720575940632058179,18,5,"1, 1, 1, 1, 1",53,-2.2,-1,-3,-9.6,-9,-10,-9.6,-9.0,-10.0,-7.0,-6.0,-8.0
Tm5f,720575940619552216,16,5,"2, 1, 1, 1",54,-4.6,-4,-5,6.6,7,6,6.6,7.0,6.0,-1.3,-0.5,-2.0
Tm5f,720575940613430499,13,4,"2, 1, 1",61,-2.0,-1,-3,8.25,9,8,8.25,9.0,8.0,2.125,3.0,1.5
Tm5f,720575940618967717,18,7,"3, 1, 1, 1, 1",70,-14.143,-13,-15,6.857,8,6,6.857,8.0,6.0,-10.714,-10.0,-11.5
Tm5f,720575940614843390,18,1,1,72,14.0,14,14,0.0,0,0,0.0,0.0,0.0,14.0,14.0,14.0
Tm5f,720575940629907906,20,5,"2, 2, 1",74,4.4,5,4,1.2,2,1,1.2,2.0,1.0,5.0,5.5,4.5
Tm5f,720575940631822649,15,4,"2, 1, 1",75,-12.75,-12,-13,12.25,13,12,12.25,13.0,12.0,-6.625,-6.0,-7.0
Tm5f,720575940630514243,20,5,"2, 1, 1, 1",76,-0.6,0,-1,6.0,7,5,6.0,7.0,5.0,2.4,3.0,2.0
Tm5f,720575940628217524,17,3,"1, 1, 1",79,2.333,3,2,-5.0,-4,-6,-5.0,-4.0,-6.0,-0.167,0.0,-0.5
Tm5f,720575940613454888,12,4,"2, 1, 1",80,-2.25,-2,-3,-8.5,-8,-9,-8.5,-8.0,-9.0,-6.5,-6.0,-7.0
Tm5f,720575940617798118,17,6,"3, 1, 1, 1",81,6.667,7,6,-12.0,-11,-13,-12.0,-11.0,-13.0,0.667,1.0,0.0
Tm5f,720575940611671928,14,3,"2, 1",86,-1.333,-1,-2,9.333,10,9,9.333,10.0,9.0,3.333,3.5,3.0
Tm5f,720575940633895310,21,8,"4, 2, 1, 1",90,-6.25,-6,-7,7.0,8,6,7.0,8.0,6.0,-2.75,-2.0,-3.5
Tm5f,720575940608945163,18,6,"3, 2, 1",97,-5.833,-5,-6,9.5,10,9,9.5,10.0,9.0,-1.083,-0.5,-1.5
Tm5f,720575940615356566,16,8,"3, 2, 1, 1, 1",97,-6.5,-6,-7,10.375,11,9,10.375,11.0,9.0,-1.312,-0.5,-2.0
Tm5f,720575940623844103,9,5,"2, 1, 1, 1",101,-10.4,-10,-11,14.4,15,14,14.4,15.0,14.0,-3.2,-2.5,-4.0
Tm5f,720575940627729545,20,7,"2, 2, 1, 1, 1",101,-9.571,-9,-10,13.571,16,12,13.571,16.0,12.0,-2.786,-1.0,-3.5
Tm5f,720575940614426065,17,7,"1, 1, 1, 1, 1, 1, 1",102,-3.0,-2,-4,-7.0,-6,-8,-7.0,-6.0,-8.0,-6.5,-5.5,-7.5
Tm5f,720575940612504818,10,3,"1, 1, 1",105,-7.667,-7,-8,-5.667,-5,-6,-5.667,-5.0,-6.0,-10.5,-10.0,-11.0
Tm5f,720575940630996281,8,1,1,107,9.0,9,9,-16.0,-16,-16,-16.0,-16.0,-16.0,1.0,1.0,1.0
Tm5f,720575940621913215,20,6,"2, 2, 1, 1",108,2.833,4,2,6.333,7,5,6.333,7.0,5.0,6.0,6.5,5.5
Tm5f,720575940620804724,11,1,1,110,-7.0,-7,-7,14.0,14,14,14.0,14.0,14.0,0.0,0.0,0.0
Tm5f,720575940625881884,17,5,"1, 1, 1, 1, 1",113,-4.2,-3,-5,3.8,5,3,3.8,5.0,3.0,-2.3,-1.5,-3.0
Tm5f,720575940614168518,28,6,"3, 1, 1, 1",114,9.0,10,8,-5.167,-4,-6,-5.167,-4.0,-6.0,6.417,7.0,6.0
Tm5f,720575940631263685,15,4,"2, 1, 1",115,-4.75,-4,-5,7.75,8,7,7.75,8.0,7.0,-0.875,0.0,-1.5
Tm5f,720575940621996097,18,4,"2, 1, 1",116,3.5,4,3,1.75,2,1,1.75,2.0,1.0,4.375,5.0,4.0
Tm5f,720575940623702296,22,5,"2, 1, 1, 1",118,2.6,3,2,-6.6,-6,-8,-6.6,-6.0,-8.0,-0.7,0.0,-1.0
Tm5f,720575940616883385,19,4,"2, 2",120,0.5,1,0,1.0,1,1,1.0,1.0,1.0,1.0,1.5,0.5
Tm5f,720575940623436071,23,6,"3, 1, 1, 1",120,-0.333,0,-1,1.0,2,0,1.0,2.0,0.0,0.167,0.5,-0.5
Tm5f,720575940621951356,11,3,"2, 1",122,-9.0,-9,-9,9.333,10,9,9.333,10.0,9.0,-4.333,-4.0,-4.5
Tm5f,720575940614198971,8,2,"1, 1",123,-12.5,-12,-13,16.0,16,16,16.0,16.0,16.0,-4.5,-4.0,-5.0
Tm5f,720575940616952662,15,6,"3, 1, 1, 1",124,4.667,5,4,-3.0,-2,-4,-3.0,-2.0,-4.0,3.167,3.5,2.5
Tm5f,720575940623976967,9,3,"1, 1, 1",126,-2.667,-2,-3,-7.0,-6,-8,-7.0,-6.0,-8.0,-6.167,-5.5,-7.0
Tm5f,720575940619335326,16,5,"2, 1, 1, 1",127,-7.0,-6,-8,-0.8,0,-2,-0.8,0.0,-2.0,-7.4,-6.5,-8.0
Tm5f,720575940623955946,15,4,"2, 1, 1",127,-7.5,-7,-8,-0.75,0,-1,-0.75,0.0,-1.0,-7.875,-7.5,-8.5
Tm5f,720575940621345652,7,4,"2, 1, 1",130,-3.75,-3,-4,-3.75,-3,-5,-3.75,-3.0,-5.0,-5.625,-5.5,-6.0
Tm5f,720575940619711691,14,4,"2, 1, 1",133,-12.5,-12,-13,5.75,6,5,5.75,6.0,5.0,-9.625,-9.0,-10.0
Tm5f,720575940622303100,18,7,"2, 1, 1, 1, 1, 1",134,3.857,6,2,10.143,11,9,10.143,11.0,9.0,8.929,10.5,7.5
Tm5f,720575940621898928,29,7,"4, 1, 1, 1",139,7.857,9,7,-2.143,-2,-3,-2.143,-2.0,-3.0,6.786,8.0,5.5
Tm5f,720575940624055944,8,3,"1, 1, 1",141,17.0,18,16,-11.333,-11,-12,-11.333,-11.0,-12.0,11.333,12.5,10.0
Tm5f,720575940620300965,21,5,"2, 2, 1",142,7.4,8,7,4.4,5,4,4.4,5.0,4.0,9.6,10.0,9.0
Tm5f,720575940616938635,15,6,"2, 1, 1, 1, 1",143,-11.667,-11,-12,7.833,9,7,7.833,9.0,7.0,-7.75,-7.0,-8.5
Tm5f,720575940612645490,11,3,"1, 1, 1",150,-10.0,-9,-11,15.333,16,15,15.333,16.0,15.0,-2.333,-1.5,-3.0
Tm5f,720575940629898204,13,4,4,154,-8.0,-8,-8,16.0,16,16,16.0,16.0,16.0,0.0,0.0,0.0
Tm5f,720575940631890479,22,8,"4, 1, 1, 1, 1",157,2.875,4,2,0.625,1,0,0.625,1.0,0.0,3.188,4.0,2.0
Tm5f,720575940652685046,30,7,"3, 2, 1, 1",158,5.857,7,5,-7.429,-7,-9,-7.429,-7.0,-9.0,2.143,2.5,1.5
Tm5f,720575940611828758,4,3,"1, 1, 1",159,4.333,6,3,-15.333,-15,-16,-15.333,-15.0,-16.0,-3.333,-2.0,-4.5
Tm5f,720575940630823016,46,7,"2, 2, 1, 1, 1",161,10.857,12,10,-7.714,-7,-9,-7.714,-7.0,-9.0,7.0,8.0,6.5
Tm5f,720575940606813362,15,3,"2, 1",162,-3.333,-3,-4,8.333,9,8,8.333,9.0,8.0,0.833,1.0,0.5
Tm5f,720575940634324634,12,1,1,164,0.0,0,0,2.0,2,2,2.0,2.0,2.0,1.0,1.0,1.0
Tm5f,720575940611928213,16,5,"3, 1, 1",165,-3.8,-3,-4,-8.0,-7,-9,-8.0,-7.0,-9.0,-7.8,-7.5,-8.0
Tm5f,720575940614338513,12,4,"1, 1, 1, 1",166,-8.75,-8,-10,-0.25,1,-2,-0.25,1.0,-2.0,-8.875,-8.0,-9.5
Tm5f,720575940621364604,33,7,"3, 2, 1, 1",167,9.286,10,9,-0.714,0,-2,-0.714,0.0,-2.0,8.929,9.5,8.5
Tm5f,720575940635312491,26,3,"1, 1, 1",167,8.667,9,8,-1.333,-1,-2,-1.333,-1.0,-2.0,8.0,8.5,7.5
Tm5f,720575940628068008,18,6,"2, 1, 1, 1, 1",168,-8.833,-8,-10,1.5,2,1,1.5,2.0,1.0,-8.083,-7.0,-9.0
Tm5f,720575940619322246,11,3,"2, 1",170,-5.0,-5,-5,8.667,9,8,8.667,9.0,8.0,-0.667,-0.5,-1.0
Tm5f,720575940621247860,17,3,"1, 1, 1",175,-1.667,-1,-2,11.333,12,11,11.333,12.0,11.0,4.0,4.5,3.5
Tm5f,720575940626912389,19,4,"2, 1, 1",176,-8.25,-8,-9,2.75,3,2,2.75,3.0,2.0,-6.875,-6.5,-7.5
Tm5f,720575940610699896,17,4,"2, 1, 1",177,-0.75,0,-1,2.5,3,2,2.5,3.0,2.0,0.5,1.0,0.0
Tm5f,720575940626483460,18,3,"2, 1",178,-2.667,-2,-3,-5.333,-5,-6,-5.333,-5.0,-6.0,-5.333,-5.0,-5.5
Tm5f,720575940623201805,16,4,"2, 1, 1",182,11.75,12,11,-14.25,-14,-15,-14.25,-14.0,-15.0,4.625,5.0,4.0
Tm5f,720575940621367472,13,3,"1, 1, 1",184,-3.0,-2,-4,11.0,11,11,11.0,11.0,11.0,2.5,3.5,1.5
Tm5f,720575940621959039,20,5,"2, 1, 1, 1",186,-14.6,-14,-15,2.0,3,1,2.0,3.0,1.0,-13.6,-13.0,-14.5
Tm5f,720575940624542759,19,3,"1, 1, 1",187,-6.667,-6,-7,-6.667,-6,-7,-6.667,-6.0,-7.0,-10.0,-9.5,-10.5
