idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,2.054848,1.973006,-50.000000,1.025454,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-36.143896
1,R7,2.054848,0.493123,-50.000000,0.964729,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-35.635643
2,R8,2.054848,0.100000,-50.000000,1.034023,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-36.051139
3,L1,2.054848,4.116926,-50.000000,0.951509,0.000000,54.624442,48.930273,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-20.000000,-62.950238
4,L2,2.054848,3.704644,-50.000000,0.914235,0.000000,51.524679,44.587275,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-20.000000,-60.450779
5,L3,2.054848,1.946178,-50.000000,1.423042,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-20.000000,-21.455184
6,L4,2.054848,1.613199,-50.000000,3.904052,0.000000,51.456006,50.350745,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-49.324927
7,L5,2.054848,0.100000,-50.000000,2.480368,0.000000,42.729556,48.590326,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-47.081728
8,Mi1,2.054848,1.283348,-50.000000,1.607448,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-22.999609
9,Tm3,2.054848,0.333592,-50.000000,2.899362,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,1.249283
10,Mi4,2.054848,0.359985,-50.000000,0.757770,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-52.813786
11,Mi9,2.054848,0.846857,-50.000000,0.626807,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,6.429715
12,T4a,2.054848,0.100000,-50.000000,0.974551,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-55.553216
13,T4b,2.054848,0.686411,-50.000000,0.982587,0.000000,0.000000,0.000000,-48.022717,-0.200000,-54.712433,-49.336225,-0.224198,-45.994757,-50.000000,-16.619735
