cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.979325,60.522549,3.095201,1.399855,-9.160975,-40.855824,17.339176,202.394592,0.000000,-50.000000,1.000000,500.000000,10.497162,10.536765,13.089431,2.552666,60.522041,60.562241,63.115280,2.553040,60.522041,60.522549,60.596088,0.073540
1,R7,1.017565,34.412525,3.095201,10.000000,-34.335670,-15.207033,18.876703,198.536255,0.000000,-50.000000,1.000000,500.000000,-15.587841,-15.559439,-13.079100,2.480339,34.412159,34.440559,36.920902,2.480343,34.412159,34.412518,34.482403,0.069885
2,R8,1.046883,44.856525,3.095201,7.934887,-25.031931,-24.599249,45.134525,202.385406,0.000000,-50.000000,1.000000,500.000000,-5.143723,-5.123711,-3.716001,1.407710,44.856277,44.876286,46.283997,1.407711,44.856277,44.856518,44.893185,0.036667
3,L1,1.999979,35.524395,3.095201,3.184658,-18.369995,-31.081499,12.609957,223.292786,1.000000,-67.936684,0.716704,534.084839,-18.369995,-18.413448,-24.204113,-5.790665,35.524635,35.493496,31.343302,-4.150194,35.524635,35.524395,35.448563,-0.075832
4,L2,1.999419,27.599787,3.095201,2.286419,-19.145592,-31.182783,11.374480,231.230560,1.000000,-44.636288,1.082748,522.890381,-19.145594,-19.170050,-22.165529,-2.995480,27.600010,27.573523,24.357594,-3.215929,27.600010,27.599787,27.536997,-0.062790
5,L3,2.000000,14.083912,3.095201,3.579628,-22.685871,-26.971672,20.382795,196.777527,0.000000,-65.932693,0.318547,450.302032,-21.719795,-21.712812,-22.934496,-1.221684,14.083876,14.086100,13.696935,-0.389165,14.083876,14.083912,14.077114,-0.006798
6,L4,0.834597,57.486744,3.095201,0.502210,-4.447481,-45.545849,11.771403,230.586288,0.958795,-58.077209,1.063925,533.287781,-4.044509,-4.046672,-5.090333,-1.043661,57.486744,57.484447,56.374065,-1.110382,57.486744,57.486744,57.470360,-0.016384
7,L5,1.999846,3.342786,3.095201,3.902320,-25.049612,-24.912926,10.187125,206.669586,0.947020,-32.267166,0.693898,497.828552,-27.449856,-27.428196,-19.833803,7.594393,3.342721,3.357753,8.627488,5.269735,3.342721,3.342786,3.429404,0.086618
8,Mi1,2.000000,1.938843,3.095201,0.582031,-11.699087,-38.769482,18.064371,199.635895,0.000000,-34.728634,0.197605,491.448364,-24.916588,-24.941471,-19.660501,5.280970,1.938913,1.933996,2.977545,1.043548,1.938913,1.938843,1.950583,0.011740
9,Tm3,1.740359,4.951534,3.095201,0.100000,-6.271097,-43.566154,10.000000,206.171463,0.000000,-34.605354,0.229751,470.769745,-13.053223,-13.077244,-6.710731,6.366513,4.951619,4.946101,6.408812,1.462711,4.951619,4.951534,4.968546,0.017012
10,Mi4,1.999810,0.482510,3.095201,8.317756,-25.035938,-24.902935,10.839522,202.995728,0.000000,-32.842583,0.190340,507.253967,-30.545927,-30.706154,-24.421192,6.284962,0.482797,0.460663,1.632317,1.171654,0.482797,0.482510,0.492414,0.009904
11,Mi9,1.999782,11.665899,3.095201,2.660300,-19.749044,-30.168926,19.660660,202.975769,0.000000,-40.777634,0.514542,508.080017,-18.105721,-18.067524,-18.760237,-0.692713,11.665653,11.685308,11.328877,-0.356430,11.665653,11.665898,11.664281,-0.001617
12,T4a,0.977248,45.368015,3.095201,0.100000,-2.344922,-47.791622,15.780087,191.692993,0.000000,-50.000000,1.000000,500.000000,-4.711783,-4.710037,-5.087650,-0.377613,45.367878,45.379658,45.012688,-0.366970,45.367878,45.368011,45.366676,-0.001335
13,T4b,1.026773,52.281261,3.095201,1.904906,-2.092663,-47.646622,10.929935,204.495453,0.000000,-50.000000,1.000000,500.000000,1.378417,1.183177,1.038669,-0.144507,52.283298,52.128967,52.014805,-0.114162,52.283298,52.281258,52.272964,-0.008293
14,T4c,0.958304,18.930319,3.095201,3.451553,-15.271496,-35.044666,10.009007,191.720947,0.000000,-50.000000,1.000000,500.000000,-61.256580,-61.888802,-61.757790,0.131012,18.931820,18.818245,18.906107,0.087862,18.931820,18.930317,18.924828,-0.005489
15,T4d,0.988920,46.057049,3.095201,7.568731,4.942460,-54.750805,14.335522,196.461014,0.000000,-50.000000,1.000000,500.000000,-17.576391,-18.030193,-18.032784,-0.002590,46.060139,45.816650,45.757252,-0.059399,46.060139,46.057049,46.042412,-0.014637
16,Tm1,1.999548,24.873615,3.095201,0.135508,-12.608546,-37.479214,10.125515,207.420151,0.000000,-52.013985,0.559787,462.458862,-7.580536,-7.538746,-8.090041,-0.551295,24.873268,24.896662,24.588053,-0.308609,24.873268,24.873613,24.870508,-0.003105
17,Tm2,1.978588,35.585369,3.095201,0.159444,-11.764517,-38.146515,10.000000,206.657211,0.000000,-70.578995,0.523358,440.090149,-2.585077,-2.559629,-3.608674,-1.049045,35.585155,35.598469,35.049442,-0.549026,35.585155,35.585369,35.576336,-0.009033
18,Tm4,1.983331,9.295408,3.095201,2.713280,-18.741632,-35.222019,10.000000,201.728363,0.000000,-31.128836,0.675189,466.332550,-17.363117,-17.264772,-17.820364,-0.555592,9.294456,9.360856,8.985729,-0.375127,9.294456,9.295408,9.295867,0.000459
19,Tm9,1.724873,9.220058,3.095201,0.236959,-12.720613,-49.803783,28.879030,198.107452,0.000000,-32.322525,0.458190,474.827240,-12.199924,-12.187156,-12.483143,-0.295987,9.219982,9.225833,9.090215,-0.135618,9.219982,9.220059,9.219505,-0.000554
