idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.964117,0.000000,2.775909,2.264752,-50.000000,-50.000000,10.000000,249.064865,0.000000,-29.040954,-29.009719,-25.180666,3.829054
1,R7,1.021524,0.000000,2.775909,3.178059,-20.808816,-50.000000,10.000000,249.064865,0.000000,-4.332277,-4.313316,-0.987208,3.326108
2,R8,0.958206,0.000000,2.775909,2.365804,-50.000000,-50.000000,10.000000,249.064865,0.000000,-36.934460,-36.925734,-33.081368,3.844366
3,L1,2.000000,0.000000,2.775909,1.115161,-17.423010,-50.000000,10.000000,249.064865,0.811135,-26.027860,-26.178532,-33.827190,-7.648658
4,L2,2.000000,0.000000,2.775909,2.791142,-10.506245,-50.000000,10.000000,249.064865,0.831448,-21.696242,-21.839248,-30.235968,-8.396720
5,L3,0.997177,0.000000,2.775909,0.878007,-3.493940,-50.000000,10.000000,249.064865,0.000000,-12.190055,-11.838163,-11.563803,0.274360
6,L4,0.958370,0.000000,2.775909,2.982816,-45.873259,-50.000000,10.000000,249.064865,0.960190,-45.154971,-45.208789,-50.262386,-5.053597
7,L5,1.175475,0.000000,2.775909,1.293714,-42.549038,-50.000000,10.000000,249.064865,0.886020,-45.027172,-44.969949,-40.608599,4.361350
8,Mi1,0.582308,0.000000,2.775909,4.272136,-34.103083,-50.000000,10.000000,249.064865,0.000000,-41.932297,-41.851182,-39.612284,2.238898
9,Tm3,0.593570,0.000000,2.775909,2.603533,-36.347940,-50.000000,10.000000,249.064865,0.000000,-39.118043,-39.007049,-33.113903,5.893146
10,Mi4,1.091495,0.000000,2.775909,1.746820,-41.207747,-50.000000,10.000000,249.064865,0.000000,-23.082432,-22.862977,-20.210328,2.652649
11,Mi9,0.972838,0.000000,2.775909,3.816200,-36.403963,-50.000000,10.000000,249.064865,0.000000,-25.954111,-26.103623,-28.604429,-2.500805
12,T4a,1.017170,0.000000,2.775909,4.877331,-37.871477,-50.000000,10.000000,249.064865,0.000000,-32.701845,-32.544154,-30.372181,2.171973
13,T4b,0.998096,0.000000,2.775909,3.237981,-39.128389,-50.000000,10.000000,249.064865,0.000000,-29.846791,-29.195100,-22.557166,6.637934
