idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,0.100000,1.097644,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
1,R2,0.128705,1.193022,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
2,R3,0.100000,1.896212,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
3,R4,0.100000,1.222519,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
4,R5,0.100000,1.538682,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
5,R6,0.100000,1.020257,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
6,R7,0.855797,0.100000,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
7,R8,0.100000,1.078539,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
8,L1,3.012529,1.500335,53.495681,48.565175,6.413732,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
9,L2,3.559730,1.328353,45.676924,46.269045,6.217162,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
10,L3,0.543121,2.848948,0.340010,0.076950,1.882736,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
11,L4,2.204428,1.196449,0.296537,0.138881,3.114787,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
12,L5,0.100000,0.380624,49.453523,49.689126,0.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
13,Lawf1,0.100000,0.100000,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
14,Lawf2,0.768991,0.761500,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
15,Am,1.267702,1.178258,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
16,C2,0.100000,0.100000,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
17,C3,1.671824,2.132956,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
18,CT1(Lo1),0.100000,0.100000,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
19,CT1(M10),2.990855,1.871540,0.000000,0.000000,1.000000,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
20,Mi1,3.075016,1.487944,0.000000,0.000000,0.194583,-46.202125,-0.200000,-49.766154,-46.624503,-0.200000,-49.462437
