idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,1.019302,10.000000,10000.000000,-0.448110,1.000000
1,R7,1.000000,5.000000,1.030579,10.000000,10000.000000,-0.355715,1.000000
2,R8,1.000000,5.000000,1.010790,10.000000,10000.000000,-0.404682,1.000000
3,L1,1.000000,5.000000,1.015525,10.000000,168.311120,8.915701,5.000000
4,L2,1.000000,5.000000,1.015722,10.000000,188.496269,11.339050,5.000000
5,L3,1.000000,5.000000,1.042070,10.000000,10000.000000,2.290239,1.000000
6,L4,1.000000,0.989940,1.034314,10.000000,173.780483,-0.490365,5.000000
7,L5,1.000000,2.719657,1.044406,10.000000,170.805797,-0.105591,0.964508
8,Mi1,1.000000,5.000000,0.950992,11.666942,10000.000000,-0.699797,1.000000
9,Mi4,1.000000,5.000000,1.025187,10.000000,10000.000000,5.261151,1.000000
10,Mi9,1.000000,5.000000,0.994559,10.000000,9990.794481,3.144430,1.000000
11,T1,1.000000,3.893459,0.962337,41.605843,9991.105421,-8.822427,1.000000
12,T2,1.000000,5.000000,0.994422,59.245356,9960.970027,-6.621010,1.000000
13,T2a,1.000000,5.000000,1.008292,65.490256,9945.515498,5.476193,1.000000
14,T3,1.000000,5.000000,0.996279,87.080389,9937.057666,20.000000,1.000000
15,T4a,1.000000,5.000000,1.008902,19.483394,9987.658087,-0.704992,1.000000
16,T4b,1.000000,5.000000,0.954152,23.505886,9998.433749,-0.201007,1.000000
17,T4c,1.000000,5.000000,1.003844,10.000000,9990.879620,5.574768,1.000000
18,T4d,1.000000,3.477434,0.951301,34.150080,9992.555625,3.770925,1.000000
19,T5a,1.000000,4.324191,1.028304,40.854696,9996.160428,-3.474461,1.000000
20,T5b,1.000000,5.000000,0.999758,76.967657,9979.151528,3.533273,1.000000
21,T5c,1.000000,4.959772,0.980748,55.740566,10000.000000,14.713680,1.000000
22,T5d,1.000000,5.000000,0.969562,63.192710,9997.248951,5.113798,1.000000
23,Tm1,1.000000,4.499995,0.965393,10.000000,10000.000000,12.987210,1.000000
24,Tm2,1.000000,2.550391,0.953007,10.000000,9958.142846,10.751272,1.000000
25,Tm20,1.000000,5.000000,1.021789,21.267691,9964.599550,1.078559,1.000000
26,Tm21,1.000000,5.000000,0.961716,10.000000,9978.475372,11.953584,1.000000
27,Tm3,1.000000,0.500000,0.953505,10.000000,10000.000000,-0.330095,1.000000
28,Tm4,1.000000,5.000000,0.956995,10.000000,10000.000000,11.016721,1.000000
29,Tm9,1.000000,1.703342,1.002421,10.000000,9961.795714,5.107246,1.000000
30,C2,1.000000,3.801490,1.037156,64.073262,9960.577277,2.109279,1.000000
31,C3,1.000000,0.523981,0.953198,54.529899,9994.862104,-1.376257,1.000000
