cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
34,Mi10,1.020752,-2.513684,0.981954,0.982563,-0.449853,-50.000000,-50.000000,0.988769,348.141388,10.000000,198.086166,0.000000,-2.506498,-2.513684,-2.516711,-0.003026
35,Mi13,1.015083,0.201178,0.981954,1.010349,0.009182,-50.000000,-50.000000,1.031795,347.683380,10.000000,198.086166,0.000000,0.203197,0.201178,0.197909,-0.003269
36,Mi14,1.032910,4.276974,0.981954,1.046222,-0.185920,-50.000000,-50.000000,1.015162,351.614868,10.000000,198.086166,0.000000,4.264443,4.276974,4.281024,0.004050
37,Mi15,0.981473,-2.369063,0.981954,0.999759,-0.442841,-50.000000,-50.000000,0.957823,350.128815,10.000000,198.086166,0.000000,-2.357054,-2.369063,-2.412342,-0.043279
38,Mi2,0.956572,2.655051,0.981954,1.001423,0.494846,-50.000000,-50.000000,1.026989,352.239288,10.000000,198.086166,0.000000,2.652164,2.655051,2.653301,-0.001749
39,Tm16,0.956310,-4.911795,0.981954,0.970084,0.045646,-50.000000,-50.000000,0.981918,347.754395,10.000000,198.086166,0.000000,-4.895129,-4.911795,-4.918044,-0.006249
40,Tm20,1.036511,0.711031,0.981954,0.997768,-0.034267,-50.000000,-50.000000,0.974282,352.091736,10.000000,198.086166,0.000000,0.730413,0.711031,0.646420,-0.064611
41,Tm21,0.970542,3.563432,0.981954,0.952078,-0.234728,-50.000000,-50.000000,1.037032,350.296539,10.000000,198.086166,0.000000,3.560000,3.563432,3.555916,-0.007517
42,Tm27,0.999184,1.862878,0.981954,1.025556,-0.050875,-50.000000,-50.000000,1.012841,351.707764,10.000000,198.086166,0.000000,1.856662,1.862878,1.869651,0.006773
43,Tm5a,0.999233,-1.875567,0.981954,0.953109,-0.445778,-50.000000,-50.000000,0.999391,352.149780,10.000000,198.086166,0.000000,-1.865150,-1.875567,-1.938575,-0.063008
44,Tm5b,1.023500,-1.671105,0.981954,1.015892,0.163576,-50.000000,-50.000000,0.979545,348.176971,10.000000,198.086166,0.000000,-1.659860,-1.671105,-1.709446,-0.038341
45,Tm5c,1.025590,1.212150,0.981954,1.004305,-0.186149,-50.000000,-50.000000,0.966740,351.832825,10.000000,198.086166,0.000000,1.218628,1.212150,1.164804,-0.047345
