idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,1.035079,0.000000,2.307009,2.156400,-26.096008,-50.000000,10.000000,239.218206,0.000000,-6.108109,-6.057269
1,R7,1.047218,0.000000,2.307009,4.173275,-25.594568,-50.000000,10.000000,239.218206,0.000000,-6.701658,-6.648078
2,R8,0.950524,0.000000,2.307009,2.595095,-29.561772,-50.000000,10.000000,239.218206,0.000000,-9.947280,-9.884562
3,L1,2.927404,0.000000,2.307009,1.582353,-23.315446,-50.000000,10.000000,239.218206,0.934239,-31.645759,-31.798684
4,L2,3.299383,0.000000,2.307009,1.862678,-23.209210,-50.000000,10.000000,239.218206,0.975498,-27.016969,-27.264680
5,L3,0.305768,0.000000,2.307009,1.242481,-15.972242,-50.000000,10.000000,239.218206,0.000000,-15.726730,-14.426516
6,L4,0.408606,0.000000,2.307009,2.079536,-23.812767,-50.000000,10.000000,239.218206,1.000000,-23.812767,-23.835958
7,L5,0.900667,0.000000,2.307009,0.138857,-20.157447,-50.000000,10.000000,239.218206,0.381401,-27.077787,-26.870377
8,Mi1,1.212506,0.000000,2.307009,1.536176,-22.548730,-50.000000,10.000000,239.218206,0.000000,-27.431318,-26.716429
9,Tm3,0.292299,0.000000,2.307009,2.914524,-32.766251,-50.000000,10.000000,239.218206,0.000000,-21.823531,-20.828394
10,Mi4,0.630540,0.000000,2.307009,2.792581,-15.904436,-50.000000,10.000000,239.218206,0.000000,-12.479494,-12.262663
11,Mi9,0.811636,0.000000,2.307009,3.867527,-30.047854,-50.000000,10.000000,239.218206,0.000000,0.205707,0.471251
12,T4a,1.018522,0.000000,2.307009,3.370119,-13.766175,-50.000000,10.000000,239.218206,0.000000,-27.164298,-26.737296
13,T4b,0.977574,0.000000,2.307009,8.175989,-18.923084,-50.000000,10.000000,239.218206,0.000000,-28.435142,-26.649985
14,T4c,0.963318,0.000000,2.307009,5.201261,-23.270937,-50.000000,10.000000,239.218206,0.000000,-48.894031,-48.431167
15,T4d,0.960234,0.000000,2.307009,4.810225,-20.292072,-50.000000,10.000000,239.218206,0.000000,-27.906556,-27.386272
16,Tm1,1.540571,0.000000,2.307009,1.845208,-23.764298,-50.000000,10.000000,239.218206,0.000000,4.331847,4.163349
17,Tm2,0.606773,0.000000,2.307009,3.569550,-9.955219,-50.000000,10.000000,239.218206,0.000000,-17.751504,-17.813662
18,Tm4,0.766204,0.000000,2.307009,4.322437,-15.525321,-50.000000,10.000000,239.218206,0.000000,-11.671256,-12.435070
19,Tm9,0.224717,0.000000,2.307009,8.368398,-6.453138,-50.000000,10.000000,239.218206,0.000000,-16.171601,-16.409911
20,T5a,0.992348,0.000000,2.307009,4.685686,-30.552947,-50.000000,10.000000,239.218206,0.000000,37.607878,36.940650
21,T5b,0.954050,0.000000,2.307009,7.233082,-17.447665,-50.000000,10.000000,239.218206,0.000000,-12.631745,-13.007694
22,T5c,0.998813,0.000000,2.307009,4.116645,-17.303491,-50.000000,10.000000,239.218206,0.000000,164.286455,163.575803
23,T5d,1.020266,0.000000,2.307009,9.260868,-27.244283,-50.000000,10.000000,239.218206,0.000000,14.139091,13.638944
24,T1,0.999078,0.000000,2.307009,0.796007,-20.172693,-50.000000,10.000000,239.218206,0.000000,-17.248422,-17.030288
25,T2,1.000432,0.000000,2.307009,2.433695,-30.465263,-50.000000,10.000000,239.218206,0.000000,69.799385,70.628470
26,T2a,1.003822,0.000000,2.307009,7.286752,-30.160040,-50.000000,10.000000,239.218206,0.000000,42.106935,42.355018
27,T3,0.969041,0.000000,2.307009,3.341868,-29.240856,-50.000000,10.000000,239.218206,0.000000,85.152445,87.255153
28,C2,0.959287,0.000000,2.307009,1.405585,-21.638516,-50.000000,10.000000,239.218206,0.000000,-31.877409,-31.731917
29,C3,0.960484,0.000000,2.307009,2.143497,-20.042887,-50.000000,10.000000,239.218206,0.000000,-11.384155,-10.887278
30,Lawf1,0.993842,0.000000,2.307009,2.195725,-30.670603,-50.000000,10.000000,239.218206,0.000000,21.619470,27.648581
31,Lawf2,0.988077,0.000000,2.307009,1.747215,-20.838728,-50.000000,10.000000,239.218206,0.000000,-12.564415,-11.566600
32,Dm3v,0.973095,0.000000,2.307009,4.165805,-25.313724,-50.000000,10.000000,239.218206,0.000000,46.649545,47.373100
33,Lai,0.953967,0.000000,2.307009,3.240733,-15.245061,-50.000000,10.000000,239.218206,0.000000,-33.765934,-32.957006
34,Mi10,1.003747,0.000000,2.307009,3.086896,-39.950527,-50.000000,10.000000,239.218206,0.000000,-35.163084,-33.537945
35,Mi13,0.959267,0.000000,2.307009,1.768597,-23.911703,-50.000000,10.000000,239.218206,0.000000,-17.459754,-16.633123
36,Mi14,0.976659,0.000000,2.307009,2.062478,-29.015231,-50.000000,10.000000,239.218206,0.000000,9.110110,9.739167
37,Mi15,0.979245,0.000000,2.307009,4.738233,-16.099597,-50.000000,10.000000,239.218206,0.000000,-18.612563,-18.431703
38,Mi2,0.979699,0.000000,2.307009,5.633437,-20.239899,-50.000000,10.000000,239.218206,0.000000,-0.469055,0.620661
39,Tm16,1.043771,0.000000,2.307009,7.634641,-14.955655,-50.000000,10.000000,239.218206,0.000000,-37.303868,-37.629143
40,Tm20,0.995637,0.000000,2.307009,3.739096,-16.719048,-50.000000,10.000000,239.218206,0.000000,-20.044530,-20.293909
41,Tm21,0.985592,0.000000,2.307009,5.742732,-26.192629,-50.000000,10.000000,239.218206,0.000000,115.843087,139.485304
42,Tm27,1.023469,0.000000,2.307009,7.800222,-22.483454,-50.000000,10.000000,239.218206,0.000000,-33.155684,-33.736236
43,Tm5a,0.968521,0.000000,2.307009,8.651916,-14.220529,-50.000000,10.000000,239.218206,0.000000,-31.132046,-31.551127
44,Tm5b,1.015550,0.000000,2.307009,4.716384,-20.782742,-50.000000,10.000000,239.218206,0.000000,-23.639062,-23.573051
45,Tm5c,0.993435,0.000000,2.307009,3.239163,-21.638377,-50.000000,10.000000,239.218206,0.000000,-1.693093,-1.180001
46,Tm5f,1.023083,0.000000,2.307009,4.982627,-23.165721,-50.000000,10.000000,239.218206,0.000000,59.502448,58.563251
47,TmY10,0.982798,0.000000,2.307009,9.212267,-13.350046,-50.000000,10.000000,239.218206,0.000000,-36.780059,-37.310634
48,TmY11,0.955812,0.000000,2.307009,7.199493,-16.931280,-50.000000,10.000000,239.218206,0.000000,-28.322204,-28.718708
49,TmY14,1.017895,0.000000,2.307009,4.973853,-15.692771,-50.000000,10.000000,239.218206,0.000000,-31.328133,-33.674497
50,TmY15,0.980619,0.000000,2.307009,2.157197,-31.419739,-50.000000,10.000000,239.218206,0.000000,106.025500,109.996932
51,TmY3,0.988440,0.000000,2.307009,4.420196,-27.879044,-50.000000,10.000000,239.218206,0.000000,81.018198,81.448848
52,TmY4,0.962231,0.000000,2.307009,7.733047,-17.487147,-50.000000,10.000000,239.218206,0.000000,-13.218225,-12.616972
53,TmY5a,1.042658,0.000000,2.307009,2.565546,-40.643815,-50.000000,10.000000,239.218206,0.000000,8.126803,12.014825
54,TmY9q,0.979349,0.000000,2.307009,2.833284,-33.141566,-50.000000,10.000000,239.218206,0.000000,53.753726,54.292176
55,TmY9q__perp,0.961260,0.000000,2.307009,4.408379,-36.920420,-50.000000,10.000000,239.218206,0.000000,46.329190,47.606551
