column_id,p,q,u,v
1,12,1,-12,11
2,9,-7,-9,16
3,-12,0,12,-12
4,-6,-15,6,9
5,9,7,-9,2
6,0,-4,0,4
7,3,-9,-3,12
8,17,9,-17,8
9,0,9,0,-9
10,-13,-2,13,-11
11,-14,0,14,-14
12,11,-2,-11,13
13,-12,-14,12,2
14,-14,-13,14,-1
15,-4,1,4,-5
16,-6,-10,6,4
17,-4,-1,4,-3
18,-13,-3,13,-10
19,15,2,-15,13
20,-9,-2,9,-7
21,11,8,-11,3
22,2,1,-2,1
23,-5,-11,5,6
24,-4,-6,4,2
25,10,-7,-10,17
26,-3,0,3,-3
27,-13,-12,13,-1
28,-2,8,2,-10
29,-1,-2,1,1
30,2,14,-2,-12
31,8,8,-8,0
32,6,6,-6,0
33,6,12,-6,-6
34,3,15,-3,-12
35,-13,-11,13,-2
36,-2,10,2,-12
37,1,4,-1,-3
38,-1,-1,1,0
39,10,10,-10,0
40,-1,-5,1,4
41,17,11,-17,6
42,8,6,-8,2
43,14,4,-14,10
44,-10,0,10,-10
45,4,-5,-4,9
46,12,3,-12,9
47,8,-9,-8,17
48,-7,-15,7,8
49,-6,2,6,-8
50,12,9,-12,3
51,-10,-9,10,-1
52,-10,-12,10,2
53,2,12,-2,-10
54,5,-2,-5,7
55,-2,-9,2,7
56,-8,-5,8,-3
57,-12,1,12,-13
58,3,9,-3,-6
59,3,-1,-3,4
60,12,-4,-12,16
61,2,-6,-2,8
62,-15,-14,15,-1
63,2,10,-2,-8
64,-16,-7,16,-9
65,15,13,-15,2
66,5,10,-5,-5
67,-5,-8,5,3
68,5,11,-5,-6
69,3,5,-3,-2
70,14,7,-14,7
71,0,-3,0,3
72,-14,-14,14,0
73,-1,3,1,-4
74,-4,-5,4,1
75,13,1,-13,12
76,1,-5,-1,6
77,-5,0,5,-5
78,8,12,-8,-4
79,-2,3,2,-5
80,2,11,-2,-9
81,-7,5,7,-12
82,10,-3,-10,13
83,-13,-8,13,-5
84,8,4,-8,4
85,-15,-7,15,-8
86,1,-8,-1,9
87,4,7,-4,-3
88,-5,9,5,-14
89,-11,-8,11,-3
90,6,-1,-6,7
91,4,2,-4,2
92,4,5,-4,-1
93,7,-4,-7,11
94,4,14,-4,-10
95,-15,-6,15,-9
96,-6,-4,6,-2
97,6,-4,-6,10
98,-5,-7,5,2
99,3,12,-3,-9
100,-7,-3,7,-4
101,10,-4,-10,14
102,3,10,-3,-7
103,-3,12,3,-15
104,-13,-14,13,1
105,8,14,-8,-6
106,12,-1,-12,13
107,-9,7,9,-16
108,-3,-9,3,6
109,-7,2,7,-9
110,7,-7,-7,14
111,-14,-10,14,-4
112,6,-5,-6,11
113,4,0,-4,4
114,-9,-4,9,-5
115,5,-3,-5,8
116,-3,-5,3,2
117,7,-9,-7,16
118,-3,4,3,-7
119,5,1,-5,4
120,0,-1,0,1
121,10,-6,-10,16
122,9,0,-9,9
123,13,-3,-13,16
124,-5,-2,5,-3
125,-1,10,1,-11
126,2,9,-2,-7
127,7,8,-7,-1
128,-14,-8,14,-6
129,-7,-6,7,-1
130,4,8,-4,-4
131,16,4,-16,12
132,0,4,0,-4
133,13,7,-13,6
134,-4,-14,4,10
135,-8,-14,8,6
136,1,2,-1,-1
137,-9,2,9,-11
138,13,14,-13,-1
139,-8,-6,8,-2
140,1,7,-1,-6
141,-17,-6,17,-11
142,-7,-11,7,4
143,12,4,-12,8
144,-13,2,13,-15
145,2,2,-2,0
146,-4,-2,4,-2
147,9,12,-9,-3
148,1,-12,-1,13
