cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,112.865562,2.394281,1.536259,-8.115222,-99.506294,20.574022,206.339890,0.000000,-100.000000,1.010703,352.320007,11.641287,11.677323,15.716412,4.039088,112.864929,112.901985,116.983482,4.081497,112.864929,112.865540,113.036011,0.170471
1,R7,0.995050,33.286480,2.394281,5.863326,-19.312290,-98.060013,10.000000,193.214462,0.000000,-100.000000,1.025997,349.303345,-69.729523,-70.657082,-67.894157,2.762924,33.298222,32.619717,35.227364,2.607647,33.298222,33.286476,33.390057,0.103580
2,R8,0.961918,84.843300,2.394281,4.778480,-25.506510,-99.594315,25.948336,203.002640,0.000000,-100.000000,0.973246,351.104584,-12.828090,-12.592628,-8.915112,3.677517,84.839706,85.068863,88.647995,3.579132,84.839706,84.843292,85.002457,0.159164
3,L1,2.000000,70.418221,2.394281,2.106789,-30.066200,-99.109062,10.000000,228.865250,1.000000,-100.000000,1.006945,358.172729,-30.066195,-30.182249,-41.567646,-11.385397,70.419533,70.302673,58.838192,-11.464481,70.419533,70.418221,70.040604,-0.377617
4,L2,2.000000,75.788376,2.394281,1.470173,-32.757153,-98.516380,10.000000,231.753418,1.000000,-98.444870,1.153789,348.930450,-32.757153,-32.858040,-40.369747,-7.511707,75.789734,75.673340,67.006416,-8.666924,75.789734,75.788376,75.504234,-0.284142
5,L3,2.000000,9.403426,2.394281,0.354773,-2.731924,-99.770721,11.098925,194.926773,0.000000,-100.000000,0.100000,343.926270,-5.964394,-6.045202,-6.330691,-0.285489,9.403560,9.395479,9.366931,-0.028548,9.403560,9.403424,9.401993,-0.001431
6,L4,0.903675,77.705063,2.394281,0.125923,-3.603404,-99.867378,10.000000,225.036682,1.000000,-98.760162,0.816601,358.967041,-3.603404,-3.612435,-5.357793,-1.745358,77.705124,77.697746,76.272476,-1.425270,77.705124,77.705063,77.671165,-0.033897
7,L5,2.000000,74.774429,2.394281,1.476195,-24.674854,-99.143654,10.000000,202.293747,0.992944,-99.320862,1.007209,356.778442,-25.081905,-25.050653,-16.972986,8.077667,74.774178,74.805649,82.941559,8.135910,74.774178,74.774429,74.972672,0.198242
8,Mi1,2.000000,7.836441,2.394281,0.968093,-18.902264,-98.856598,10.000000,197.708511,0.000000,-99.653419,0.100000,346.247498,-21.289032,-21.286884,-20.111853,1.175032,7.836439,7.836655,7.954157,0.117502,7.836439,7.836440,7.839189,0.002749
9,Tm3,2.000000,10.880373,2.394281,2.340939,0.185618,-98.954330,10.000000,194.660294,0.000000,-96.672829,0.100000,345.515717,12.130192,12.169906,12.949835,0.779929,10.880301,10.884274,10.962267,0.077993,10.880301,10.880373,10.882408,0.002035
10,Mi4,2.000000,9.545472,2.394281,1.081379,-8.509947,-99.735069,10.000000,196.798126,0.000000,-100.000000,0.100700,345.913544,-5.284830,-5.181136,-4.987659,0.193477,9.545269,9.557572,9.578669,0.021096,9.545269,9.545471,9.546977,0.001506
11,Mi9,2.000000,51.806816,2.394281,0.112233,-39.983860,-97.990425,18.220663,207.951675,0.000000,-99.982391,0.842078,352.218018,-38.459423,-38.486938,-38.631413,-0.144474,51.807144,51.783970,51.662315,-0.121655,51.807144,51.806816,51.802151,-0.004665
