type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm1,720575940633656801,21,6,6,142,7.0,7,7,4.0,4,4,4.0,4.0,4.0,9.0,9.0,9.0
Tm1,720575940636726117,20,4,4,143,-12.0,-12,-12,8.0,8,8,8.0,8.0,8.0,-8.0,-8.0,-8.0
Tm1,720575940626951769,16,4,4,144,13.0,13,13,-15.0,-15,-15,-15.0,-15.0,-15.0,5.5,5.5,5.5
Tm1,720575940647708468,26,5,5,145,-2.0,-2,-2,0.0,0,0,0.0,0.0,0.0,-2.0,-2.0,-2.0
Tm1,720575940607489970,27,4,4,146,4.0,4,4,-2.0,-2,-2,-2.0,-2.0,-2.0,3.0,3.0,3.0
Tm1,720575940623389162,20,3,3,147,-9.0,-9,-9,-3.0,-3,-3,-3.0,-3.0,-3.0,-10.5,-10.5,-10.5
Tm1,720575940616149249,19,4,4,148,-1.0,-1,-1,13.0,13,13,13.0,13.0,13.0,5.5,5.5,5.5
Tm1,720575940617601570,26,4,4,149,13.0,13,13,-12.0,-12,-12,-12.0,-12.0,-12.0,7.0,7.0,7.0
Tm1,720575940638839529,21,5,5,150,-10.0,-10,-10,15.0,15,15,15.0,15.0,15.0,-2.5,-2.5,-2.5
Tm1,720575940630138368,23,6,"5, 1",151,3.833,4,3,6.167,7,6,6.167,7.0,6.0,6.917,7.0,6.5
Tm1,720575940621815462,18,4,4,152,11.0,11,11,-7.0,-7,-7,-7.0,-7.0,-7.0,7.5,7.5,7.5
Tm1,720575940634740335,11,4,4,153,8.0,8,8,-16.0,-16,-16,-16.0,-16.0,-16.0,0.0,0.0,0.0
Tm1,720575940626100313,25,7,"6, 1",154,-7.857,-7,-8,16.0,16,16,16.0,16.0,16.0,0.143,1.0,0.0
Tm1,720575940617430356,19,4,4,155,-14.0,-14,-14,15.0,15,15,15.0,15.0,15.0,-6.5,-6.5,-6.5
Tm1,720575940621958977,26,6,6,156,-9.0,-9,-9,17.0,17,17,17.0,17.0,17.0,-0.5,-0.5,-0.5
Tm1,720575940622329769,28,4,4,157,3.0,3,3,1.0,1,1,1.0,1.0,1.0,3.5,3.5,3.5
Tm1,720575940612429938,30,7,7,158,6.0,6,6,-7.0,-7,-7,-7.0,-7.0,-7.0,2.5,2.5,2.5
Tm1,720575940630046684,25,5,5,160,-12.0,-12,-12,4.0,4,4,4.0,4.0,4.0,-10.0,-10.0,-10.0
Tm1,720575940646602548,22,4,4,161,11.0,11,11,-8.0,-8,-8,-8.0,-8.0,-8.0,7.0,7.0,7.0
Tm1,720575940619273419,25,8,"7, 1",162,-3.125,-3,-4,8.25,10,8,8.25,10.0,8.0,1.0,1.0,1.0
Tm1,720575940615923942,16,3,3,163,-12.0,-12,-12,17.0,17,17,17.0,17.0,17.0,-3.5,-3.5,-3.5
Tm1,720575940630103759,28,7,7,164,0.0,0,0,2.0,2,2,2.0,2.0,2.0,1.0,1.0,1.0
Tm1,720575940624448338,25,5,5,165,-4.0,-4,-4,-8.0,-8,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
Tm1,720575940625361552,25,4,4,166,-9.0,-9,-9,0.0,0,0,0.0,0.0,0.0,-9.0,-9.0,-9.0
Tm1,720575940638947910,23,5,5,167,9.0,9,9,-1.0,-1,-1,-1.0,-1.0,-1.0,8.5,8.5,8.5
Tm1,720575940629933532,22,6,6,168,-9.0,-9,-9,1.0,1,1,1.0,1.0,1.0,-8.5,-8.5,-8.5
Tm1,720575940629431399,30,6,6,169,9.0,9,9,0.0,0,0,0.0,0.0,0.0,9.0,9.0,9.0
Tm1,720575940629476683,27,6,6,170,-5.0,-5,-5,9.0,9,9,9.0,9.0,9.0,-0.5,-0.5,-0.5
Tm1,720575940627070991,17,4,4,171,16.0,16,16,-12.0,-12,-12,-12.0,-12.0,-12.0,10.0,10.0,10.0
Tm1,720575940611880666,21,6,6,172,-10.0,-10,-10,-2.0,-2,-2,-2.0,-2.0,-2.0,-11.0,-11.0,-11.0
Tm1,720575940621015888,17,3,3,173,15.0,15,15,-5.0,-5,-5,-5.0,-5.0,-5.0,12.5,12.5,12.5
Tm1,720575940618745839,24,5,5,174,12.0,12,12,-9.0,-9,-9,-9.0,-9.0,-9.0,7.5,7.5,7.5
Tm1,720575940610791026,24,4,4,175,-2.0,-2,-2,11.0,11,11,11.0,11.0,11.0,3.5,3.5,3.5
Tm1,720575940611401109,22,6,6,176,-8.0,-8,-8,3.0,3,3,3.0,3.0,3.0,-6.5,-6.5,-6.5
Tm1,720575940634248639,26,5,5,177,-1.0,-1,-1,3.0,3,3,3.0,3.0,3.0,0.5,0.5,0.5
Tm1,720575940622998822,22,5,5,178,-3.0,-3,-3,-5.0,-5,-5,-5.0,-5.0,-5.0,-5.5,-5.5,-5.5
Tm1,720575940627666462,19,4,4,179,3.0,3,3,10.0,10,10,10.0,10.0,10.0,8.0,8.0,8.0
Tm1,720575940629842882,11,3,3,180,16.0,16,16,-5.0,-5,-5,-5.0,-5.0,-5.0,13.5,13.5,13.5
Tm1,720575940621249445,26,5,5,181,3.0,3,3,-2.0,-2,-2,-2.0,-2.0,-2.0,2.0,2.0,2.0
Tm1,720575940636138853,27,4,4,182,12.0,12,12,-14.0,-14,-14,-14.0,-14.0,-14.0,5.0,5.0,5.0
Tm1,720575940627430994,19,6,6,183,3.0,3,3,9.0,9,9,9.0,9.0,9.0,7.5,7.5,7.5
Tm1,720575940640994805,27,7,"6, 1",184,-3.143,-3,-4,10.857,11,10,10.857,11.0,10.0,2.286,2.5,1.0
Tm1,720575940630559788,24,6,6,185,8.0,8,8,-5.0,-5,-5,-5.0,-5.0,-5.0,5.5,5.5,5.5
Tm1,720575940626245932,18,6,"5, 1",186,-14.167,-14,-15,2.167,3,2,2.167,3.0,2.0,-13.083,-13.0,-13.5
Tm1,720575940612194201,20,4,4,187,-7.0,-7,-7,-7.0,-7,-7,-7.0,-7.0,-7.0,-10.5,-10.5,-10.5
Tm1,720575940635066798,21,4,4,188,-13.0,-13,-13,9.0,9,9,9.0,9.0,9.0,-8.5,-8.5,-8.5
Tm1,720575940623670212,16,5,5,189,0.0,0,0,-13.0,-13,-13,-13.0,-13.0,-13.0,-6.5,-6.5,-6.5
Tm1,720575940632810721,17,5,5,190,0.0,0,0,5.0,5,5,5.0,5.0,5.0,2.5,2.5,2.5
Tm1,720575940641655515,24,5,5,191,5.0,5,5,1.0,1,1,1.0,1.0,1.0,5.5,5.5,5.5
Tm1,720575940632072729,26,6,6,193,-7.0,-7,-7,10.0,10,10,10.0,10.0,10.0,-2.0,-2.0,-2.0
Tm1,720575940636527790,25,6,6,194,3.0,3,3,-1.0,-1,-1,-1.0,-1.0,-1.0,2.5,2.5,2.5
Tm1,720575940623462804,26,5,5,195,-2.0,-2,-2,5.0,5,5,5.0,5.0,5.0,0.5,0.5,0.5
Tm1,720575940604885350,29,6,"5, 1",196,-5.0,-5,-5,1.833,2,1,1.833,2.0,1.0,-4.083,-4.0,-4.5
Tm1,720575940630085676,21,6,6,197,10.0,10,10,0.0,0,0,0.0,0.0,0.0,10.0,10.0,10.0
Tm1,720575940612923955,20,4,4,198,5.0,5,5,-12.0,-12,-12,-12.0,-12.0,-12.0,-1.0,-1.0,-1.0
Tm1,720575940639382717,28,4,4,199,6.0,6,6,0.0,0,0,0.0,0.0,0.0,6.0,6.0,6.0
Tm1,720575940609156188,20,4,4,200,-11.0,-11,-11,10.0,10,10,10.0,10.0,10.0,-6.0,-6.0,-6.0
Tm1,720575940617189755,17,4,4,201,-12.0,-12,-12,15.0,15,15,15.0,15.0,15.0,-4.5,-4.5,-4.5
Tm1,720575940631403794,21,4,4,202,-14.0,-14,-14,1.0,1,1,1.0,1.0,1.0,-13.5,-13.5,-13.5
Tm1,720575940608148489,28,4,4,203,4.0,4,4,-7.0,-7,-7,-7.0,-7.0,-7.0,0.5,0.5,0.5
Tm1,720575940644061294,27,6,6,204,6.0,6,6,-10.0,-10,-10,-10.0,-10.0,-10.0,1.0,1.0,1.0
Tm1,720575940637587172,24,5,5,205,8.0,8,8,-10.0,-10,-10,-10.0,-10.0,-10.0,3.0,3.0,3.0
Tm1,720575940630149719,29,6,6,206,-5.0,-5,-5,5.0,5,5,5.0,5.0,5.0,-2.5,-2.5,-2.5
Tm1,720575940619723643,10,3,3,207,-13.0,-13,-13,-3.0,-3,-3,-3.0,-3.0,-3.0,-14.5,-14.5,-14.5
Tm1,720575940623469448,19,6,"5, 1",208,16.0,16,16,-10.833,-10,-11,-10.833,-10.0,-11.0,10.583,11.0,10.5
Tm1,720575940636861808,23,5,5,209,1.0,1,1,6.0,6,6,6.0,6.0,6.0,4.0,4.0,4.0
Tm1,720575940624016688,22,4,4,210,-10.0,-10,-10,12.0,12,12,12.0,12.0,12.0,-4.0,-4.0,-4.0
Tm1,720575940621966294,28,5,5,211,-6.0,-6,-6,13.0,13,13,13.0,13.0,13.0,0.5,0.5,0.5
Tm1,720575940629939516,26,4,4,212,10.0,10,10,-4.0,-4,-4,-4.0,-4.0,-4.0,8.0,8.0,8.0
Tm1,720575940640460173,28,6,6,213,5.0,5,5,-6.0,-6,-6,-6.0,-6.0,-6.0,2.0,2.0,2.0
Tm1,720575940608361737,19,5,5,214,-6.0,-6,-6,9.0,9,9,9.0,9.0,9.0,-1.5,-1.5,-1.5
Tm1,720575940610094126,15,4,4,215,3.0,3,3,-13.0,-13,-13,-13.0,-13.0,-13.0,-3.5,-3.5,-3.5
Tm1,720575940620993968,22,5,5,216,-7.0,-7,-7,-5.0,-5,-5,-5.0,-5.0,-5.0,-9.5,-9.5,-9.5
Tm1,720575940625349680,26,7,7,219,8.0,8,8,-12.0,-12,-12,-12.0,-12.0,-12.0,2.0,2.0,2.0
Tm1,720575940637607565,29,5,5,220,5.0,5,5,-4.0,-4,-4,-4.0,-4.0,-4.0,3.0,3.0,3.0
Tm1,720575940631875147,30,4,"3, 1",221,-8.0,-8,-8,13.25,14,13,13.25,14.0,13.0,-1.375,-1.0,-1.5
Tm1,720575940629931642,20,5,5,222,-16.0,-16,-16,6.0,6,6,6.0,6.0,6.0,-13.0,-13.0,-13.0
Tm1,720575940626649602,19,5,5,223,-15.0,-15,-15,4.0,4,4,4.0,4.0,4.0,-13.0,-13.0,-13.0
Tm1,720575940636381040,17,4,4,224,-2.0,-2,-2,-1.0,-1,-1,-1.0,-1.0,-1.0,-2.5,-2.5,-2.5
Tm1,720575940634090210,19,3,3,225,15.0,15,15,-4.0,-4,-4,-4.0,-4.0,-4.0,13.0,13.0,13.0
Tm1,720575940624478695,18,5,5,226,-4.0,-4,-4,-11.0,-11,-11,-11.0,-11.0,-11.0,-9.5,-9.5,-9.5
Tm1,720575940612222760,29,6,"5, 1",227,-8.833,-8,-9,13.0,13,13,13.0,13.0,13.0,-2.333,-1.5,-2.5
Tm1,720575940620473921,27,6,6,228,-7.0,-7,-7,13.0,13,13,13.0,13.0,13.0,-0.5,-0.5,-0.5
Tm1,720575940615077171,26,5,5,229,4.0,4,4,-10.0,-10,-10,-10.0,-10.0,-10.0,-1.0,-1.0,-1.0
Tm1,720575940620386725,13,3,"2, 1",230,-2.333,-2,-3,-4.667,-4,-5,-4.667,-4.0,-5.0,-4.667,-4.5,-5.0
Tm1,720575940624437799,27,5,5,231,10.0,10,10,-8.0,-8,-8,-8.0,-8.0,-8.0,6.0,6.0,6.0
Tm1,720575940627043627,18,4,4,232,-10.0,-10,-10,7.0,7,7,7.0,7.0,7.0,-6.5,-6.5,-6.5
Tm1,720575940640413757,29,6,6,233,11.0,11,11,-9.0,-9,-9,-9.0,-9.0,-9.0,6.5,6.5,6.5
Tm1,720575940632227501,22,3,3,234,0.0,0,0,-3.0,-3,-3,-3.0,-3.0,-3.0,-1.5,-1.5,-1.5
Tm1,720575940634286999,19,3,3,235,-1.0,-1,-1,-9.0,-9,-9,-9.0,-9.0,-9.0,-5.5,-5.5,-5.5
Tm1,720575940613266984,23,6,6,236,-3.0,-3,-3,2.0,2,2,2.0,2.0,2.0,-2.0,-2.0,-2.0
Tm1,720575940616361740,14,4,4,237,-15.0,-15,-15,3.0,3,3,3.0,3.0,3.0,-13.5,-13.5,-13.5
Tm1,720575940631428945,26,5,5,238,-6.0,-6,-6,15.0,15,15,15.0,15.0,15.0,1.5,1.5,1.5
Tm1,720575940610395354,27,6,"4, 1, 1",239,-8.833,-8,-9,12.167,13,12,12.167,13.0,12.0,-2.75,-2.0,-3.0
Tm1,720575940630787287,27,7,7,240,-2.0,-2,-2,7.0,7,7,7.0,7.0,7.0,1.5,1.5,1.5
Tm1,720575940618542539,20,4,4,241,11.0,11,11,-5.0,-5,-5,-5.0,-5.0,-5.0,8.5,8.5,8.5
Tm1,720575940621852554,24,7,7,242,-7.0,-7,-7,8.0,8,8,8.0,8.0,8.0,-3.0,-3.0,-3.0
Tm1,720575940630238927,22,5,5,243,10.0,10,10,1.0,1,1,1.0,1.0,1.0,10.5,10.5,10.5
Tm1,720575940610116654,27,5,5,244,2.0,2,2,8.0,8,8,8.0,8.0,8.0,6.0,6.0,6.0
Tm1,720575940639466328,26,6,6,245,-3.0,-3,-3,9.0,9,9,9.0,9.0,9.0,1.5,1.5,1.5
Tm1,720575940623788779,23,5,5,246,-11.0,-11,-11,7.0,7,7,7.0,7.0,7.0,-7.5,-7.5,-7.5
Tm1,720575940612398515,21,5,5,247,4.0,4,4,7.0,7,7,7.0,7.0,7.0,7.5,7.5,7.5
Tm1,720575940639939547,24,5,5,248,-6.0,-6,-6,12.0,12,12,12.0,12.0,12.0,0.0,0.0,0.0
Tm1,720575940617982438,24,4,4,249,8.0,8,8,-4.0,-4,-4,-4.0,-4.0,-4.0,6.0,6.0,6.0
Tm1,720575940634127770,34,5,5,250,-1.0,-1,-1,1.0,1,1,1.0,1.0,1.0,-0.5,-0.5,-0.5
Tm1,720575940620417377,24,5,5,251,6.0,6,6,2.0,2,2,2.0,2.0,2.0,7.0,7.0,7.0
Tm1,720575940612394035,21,5,5,252,-8.0,-8,-8,-7.0,-7,-7,-7.0,-7.0,-7.0,-11.5,-11.5,-11.5
Tm1,720575940622329309,20,4,4,253,-3.0,-3,-3,-10.0,-10,-10,-10.0,-10.0,-10.0,-8.0,-8.0,-8.0
Tm1,720575940630769879,17,4,4,254,15.0,15,15,-6.0,-6,-6,-6.0,-6.0,-6.0,12.0,12.0,12.0
Tm1,720575940605706086,20,5,5,255,1.0,1,1,11.0,11,11,11.0,11.0,11.0,6.5,6.5,6.5
Tm1,720575940638623046,21,4,4,256,15.0,15,15,-10.0,-10,-10,-10.0,-10.0,-10.0,10.0,10.0,10.0
Tm1,720575940626899987,22,6,6,257,-8.0,-8,-8,-5.0,-5,-5,-5.0,-5.0,-5.0,-10.5,-10.5,-10.5
Tm1,720575940617969053,20,5,5,258,5.0,5,5,7.0,7,7,7.0,7.0,7.0,8.5,8.5,8.5
Tm1,720575940622509773,26,7,7,259,-4.0,-4,-4,13.0,13,13,13.0,13.0,13.0,2.5,2.5,2.5
Tm1,720575940622170582,20,5,5,260,-12.0,-12,-12,5.0,5,5,5.0,5.0,5.0,-9.5,-9.5,-9.5
Tm1,720575940643040292,24,6,6,261,-7.0,-7,-7,1.0,1,1,1.0,1.0,1.0,-6.5,-6.5,-6.5
Tm1,720575940623882825,27,4,4,262,7.0,7,7,-3.0,-3,-3,-3.0,-3.0,-3.0,5.5,5.5,5.5
Tm1,720575940630358124,22,6,6,263,-5.0,-5,-5,6.0,6,6,6.0,6.0,6.0,-2.0,-2.0,-2.0
Tm1,720575940628606658,25,4,4,264,2.0,2,2,2.0,2,2,2.0,2.0,2.0,3.0,3.0,3.0
Tm1,720575940633516825,27,6,6,265,-5.0,-5,-5,11.0,11,11,11.0,11.0,11.0,0.5,0.5,0.5
Tm1,720575940616230815,20,5,5,266,12.0,12,12,1.0,1,1,1.0,1.0,1.0,12.5,12.5,12.5
Tm1,720575940613942695,25,5,5,267,-7.0,-7,-7,12.0,12,12,12.0,12.0,12.0,-1.0,-1.0,-1.0
Tm1,720575940627019944,23,4,4,268,10.0,10,10,-14.0,-14,-14,-14.0,-14.0,-14.0,3.0,3.0,3.0
Tm1,720575940617190517,24,5,5,269,12.0,12,12,-5.0,-5,-5,-5.0,-5.0,-5.0,9.5,9.5,9.5
Tm1,720575940630227820,30,7,7,270,5.0,5,5,-2.0,-2,-2,-2.0,-2.0,-2.0,4.0,4.0,4.0
Tm1,720575940629143546,28,7,7,272,4.0,4,4,-6.0,-6,-6,-6.0,-6.0,-6.0,1.0,1.0,1.0
Tm1,720575940628096680,18,6,6,273,-17.0,-17,-17,11.0,11,11,11.0,11.0,11.0,-11.5,-11.5,-11.5
