type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC21,720575940620517492,42,20,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",7,-3.4,0,-6,11.9,15,9,11.9,15.0,9.0,2.55,4.5,0.5
LC21,720575940625813912,74,32,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",21,-10.812,-8,-14,3.312,6,0,3.312,6.0,0.0,-9.156,-6.0,-11.5
LC21,720575940622805431,50,21,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",29,1.238,4,-2,1.381,4,-1,1.381,4.0,-1.0,1.929,4.0,-0.5
LC21,720575940635586222,84,39,"3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",52,10.179,15,6,2.359,7,-2,2.359,7.0,-2.0,11.359,14.5,8.5
LC21,720575940635722597,68,24,"3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",55,1.667,5,-2,7.208,11,4,7.208,11.0,4.0,5.271,7.5,2.0
LC21,720575940627871081,53,21,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",61,-1.524,2,-6,7.762,12,5,7.762,12.0,5.0,2.357,5.0,-1.5
LC21,720575940620682049,61,25,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",87,-3.56,-1,-7,-2.68,1,-5,-2.68,1.0,-5.0,-4.9,-3.0,-6.5
LC21,720575940621730525,69,26,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",102,-2.654,1,-6,-7.269,-3,-10,-7.269,-3.0,-10.0,-6.288,-3.5,-9.0
LC21,720575940616980381,61,27,"2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",105,-8.407,-6,-12,-6.407,-3,-10,-6.407,-3.0,-10.0,-11.611,-9.0,-14.0
LC21,720575940621597679,86,27,"3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",118,3.0,6,0,-6.778,-5,-9,-6.778,-5.0,-9.0,-0.389,2.0,-3.0
LC21,720575940635554958,112,44,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",137,9.386,14,6,-11.477,-8,-14,-11.477,-8.0,-14.0,3.648,7.0,0.5
LC21,720575940615097100,60,29,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",150,-10.172,-7,-13,14.966,18,12,14.966,18.0,12.0,-2.69,1.0,-6.5
LC21,720575940630786242,83,32,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",158,6.281,10,2,-7.094,-2,-10,-7.094,-2.0,-10.0,2.734,6.5,-2.0
LC21,720575940620113268,75,28,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",190,0.214,3,-3,4.5,7,1,4.5,7.0,1.0,2.464,5.5,0.5
LC21,720575940612125923,91,40,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",233,10.925,14,7,-9.35,-6,-12,-9.35,-6.0,-12.0,6.25,8.5,3.5
LC21,720575940638463395,72,28,"3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",234,-0.286,2,-4,-3.179,-1,-6,-3.179,-1.0,-6.0,-1.875,0.0,-4.5
LC21,720575940613268531,77,36,"3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",258,5.361,10,1,7.028,11,3,7.028,11.0,3.0,8.875,12.0,5.5
LC21,720575940629778179,71,31,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",263,-5.484,-2,-9,6.484,9,4,6.484,9.0,4.0,-2.242,0.0,-6.0
LC21,720575940625956989,70,29,"3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",265,-4.931,-1,-8,10.586,13,8,10.586,13.0,8.0,0.362,3.0,-3.5
LC21,720575940634785460,62,19,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",274,3.895,6,0,-12.158,-9,-15,-12.158,-9.0,-15.0,-2.184,-0.5,-5.0
LC21,720575940609222921,58,27,"3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",275,-6.593,-4,-9,14.704,17,12,14.704,17.0,12.0,0.759,3.0,-1.5
LC21,720575940634721272,66,35,"2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",282,-13.057,-9,-17,-0.229,5,-6,-0.229,5.0,-6.0,-13.171,-10.0,-15.0
LC21,720575940629118508,49,27,"3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",283,-6.444,-4,-9,8.407,11,5,8.407,11.0,5.0,-2.241,0.0,-5.0
LC21,720575940644713838,77,33,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1",287,-11.242,-9,-14,9.03,11,7,9.03,11.0,7.0,-6.727,-4.5,-9.0
