column_id,LC18,LC21,LC11,LC15,sum
total,89,62,61,48,260
390,0,1,1,1,3
150,1,1,1,0,3
318,0,1,1,1,3
522,0,1,0,1,2
29,1,1,0,0,2
263,0,1,0,1,2
621,0,1,1,0,2
766,1,0,0,1,2
625,0,1,1,0,2
105,0,1,1,0,2
278,1,0,1,0,2
512,1,0,0,1,2
98,1,0,1,0,2
550,0,1,1,0,2
753,1,1,0,0,2
236,1,0,1,0,2
228,1,0,1,0,2
655,0,1,1,0,2
672,1,0,0,1,2
136,1,0,1,0,2
386,1,0,1,0,2
599,0,1,1,0,2
137,0,1,1,0,2
292,1,0,0,1,2
311,0,1,1,0,2
460,1,0,1,0,2
607,1,1,0,0,2
700,1,0,1,0,2
21,0,1,1,0,2
216,1,0,0,0,1
549,0,1,0,0,1
190,0,1,0,0,1
653,0,1,0,0,1
654,0,0,0,1,1
670,0,0,1,0,1
563,1,0,0,0,1
147,0,0,0,1,1
193,0,0,0,1,1
356,0,0,1,0,1
668,0,0,1,0,1
195,0,0,1,0,1
196,0,0,0,1,1
186,1,0,0,0,1
146,0,0,1,0,1
552,0,1,0,0,1
364,0,0,1,0,1
200,1,0,0,0,1
556,0,0,0,1,1
698,0,0,0,1,1
557,0,0,1,0,1
658,1,0,0,0,1
540,0,1,0,0,1
541,0,0,1,0,1
161,0,0,1,0,1
687,0,0,1,0,1
379,1,0,0,0,1
165,1,0,0,0,1
158,0,1,0,0,1
382,0,0,1,0,1
377,1,0,0,0,1
167,1,0,0,0,1
683,1,0,0,0,1
169,1,0,0,0,1
170,0,0,1,0,1
649,0,1,0,0,1
174,0,0,0,1,1
545,0,1,0,0,1
679,0,1,0,0,1
373,0,1,0,0,1
178,0,0,1,0,1
546,0,0,0,1,1
676,0,0,0,1,1
181,0,0,0,1,1
371,1,0,0,0,1
547,0,1,0,0,1
184,0,0,0,1,1
149,0,0,0,1,1
185,0,0,1,0,1
172,0,0,0,1,1
260,1,0,0,0,1
330,1,0,0,0,1
265,0,1,0,0,1
266,1,0,0,0,1
577,1,0,0,0,1
327,1,0,0,0,1
270,0,0,0,1,1
272,0,0,0,1,1
273,0,0,0,1,1
274,0,1,0,0,1
275,0,1,0,0,1
324,1,0,0,0,1
613,1,0,0,0,1
581,0,0,0,1,1
282,0,1,0,0,1
346,1,0,0,0,1
610,0,0,1,0,1
609,0,1,0,0,1
608,0,0,1,0,1
287,0,1,0,0,1
291,1,0,0,0,1
604,1,0,0,0,1
603,0,0,0,1,1
602,0,0,1,0,1
584,0,0,0,1,1
585,0,0,1,0,1
301,0,0,1,0,1
302,0,1,0,0,1
306,0,1,0,0,1
593,1,0,0,0,1
309,0,1,0,0,1
283,0,1,0,0,1
219,0,0,0,1,1
647,0,0,0,1,1
564,1,0,0,0,1
223,0,0,1,0,1
348,1,0,0,0,1
347,1,0,0,0,1
534,0,0,0,1,1
567,1,0,0,0,1
232,1,0,0,0,1
233,0,1,0,0,1
234,0,1,0,0,1
235,0,0,1,0,1
237,0,0,0,1,1
239,1,0,0,0,1
571,0,1,0,0,1
259,1,0,0,0,1
635,1,0,0,0,1
340,0,1,0,0,1
572,0,0,0,1,1
245,1,0,0,0,1
337,1,0,0,0,1
630,1,0,0,0,1
336,1,0,0,0,1
628,0,1,0,0,1
335,1,0,0,0,1
334,0,0,0,1,1
333,1,0,0,0,1
255,0,0,1,0,1
256,1,0,0,0,1
574,0,0,1,0,1
258,0,1,0,0,1
241,0,0,1,0,1
15,1,0,0,0,1
446,0,1,0,0,1
75,1,0,0,0,1
503,0,0,1,0,1
32,1,0,0,0,1
79,0,0,1,0,1
506,1,0,0,0,1
741,0,1,0,0,1
31,1,0,0,0,1
10,1,0,0,0,1
82,0,0,0,1,1
96,0,0,1,0,1
84,1,0,0,0,1
739,0,0,1,0,1
738,0,0,1,0,1
87,0,1,0,0,1
421,0,1,0,0,1
451,1,0,0,0,1
7,0,1,0,0,1
89,0,0,0,1,1
492,1,0,0,0,1
509,0,1,0,0,1
732,0,0,1,0,1
422,0,0,1,0,1
440,0,0,0,1,1
