cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.027974,50.000000,1.570040,1.557521,0.392635,-100.000000,-100.000000,0.955570,348.005371,10.000000,200.661591,0.000000,20.124878,20.187307,31.788166,11.600859,114.787697,114.847351,125.932762,11.085411,114.787697,114.788765,115.311676,0.522911
1,R7,1.005258,50.000000,1.570040,1.932749,0.542935,-100.000000,-100.000000,0.969443,350.801147,10.000000,200.661591,0.000000,17.384167,17.429924,28.922003,11.492079,113.797211,113.841560,124.982483,11.140923,113.797211,113.798004,114.321289,0.523285
2,R8,0.954678,50.000000,1.570040,1.953584,0.673620,-100.000000,-100.000000,0.969633,348.398254,10.000000,200.661591,0.000000,20.244352,20.305740,31.992731,11.686991,116.592850,116.652367,127.984467,11.332100,116.592850,116.593903,117.127922,0.534019
3,L1,1.948575,5.099169,1.570040,1.930934,-1.044053,-100.000000,-100.000000,0.100000,350.787048,10.000000,200.661591,0.401824,-49.003571,-49.275955,-54.373287,-5.097332,5.099643,5.072404,4.562671,-0.509733,5.099643,5.099169,5.080570,-0.018599
4,L2,2.000000,0.079065,1.570040,0.100000,-0.778075,-100.000000,-100.000000,0.100000,347.458923,10.000000,200.661591,0.000000,-209.459869,-210.475830,-220.865204,-10.389374,0.079095,0.077413,0.067611,-0.009802,0.079095,0.079065,0.078614,-0.000452
5,L3,1.991370,4.054358,1.570040,0.100000,-0.828642,-100.000000,-100.000000,0.100000,351.446045,10.000000,200.661591,0.000000,-60.731590,-61.071384,-65.262253,-4.190868,4.054827,4.028016,3.709564,-0.318452,4.054827,4.054358,4.041980,-0.012379
6,L4,1.934712,9.882904,1.570040,0.100000,-1.052578,-100.000000,-100.000000,0.100000,350.874756,10.000000,200.661591,0.964536,-1.170951,-1.171946,-1.175363,-0.003417,9.882905,9.882806,9.882464,-0.000341,9.882905,9.882905,9.882887,-0.000018
7,L5,1.918168,3.742920,1.570040,0.100000,-1.144957,-100.000000,-100.000000,0.100000,345.713715,10.000000,200.661591,0.002647,-62.596333,-62.009373,-59.263588,2.745785,3.741912,3.800521,4.074205,0.273684,3.741912,3.742920,3.754418,0.011498
8,Mi1,1.918898,4.296999,1.570040,0.100000,-1.091690,-100.000000,-100.000000,0.100000,345.696289,10.000000,200.661591,0.000000,-57.039474,-56.489059,-54.488949,2.000111,4.296052,4.351094,4.551105,0.200012,4.296052,4.296998,4.305920,0.008922
9,Tm3,1.934077,7.071344,1.570040,0.100000,-0.550099,-100.000000,-100.000000,0.100000,347.739197,10.000000,200.661591,0.000000,-29.294388,-28.838457,-26.921022,1.917435,7.070561,7.116154,7.307898,0.191744,7.070561,7.071344,7.079710,0.008367
