idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,2.538771,1.775076,1.007192,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
1,C3,0.396160,6.209173,1.021364,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
2,L1,1.267304,3.658745,21.244195,54.997227,42.741986,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
3,L2,1.070529,5.488695,15.499387,50.465532,50.591225,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
4,L3,1.020994,0.903429,0.531088,8.115287,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
5,L4,0.100000,2.218201,0.100000,51.181819,47.435663,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
6,L5,0.837167,2.267430,0.100000,50.484864,49.804113,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
7,Mi1,0.502971,0.794882,0.100000,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
8,Mi4,0.137398,8.516912,4.138942,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
9,Mi9,0.589766,1.007370,0.662300,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
10,R1-6,1.291563,1.211548,0.917634,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
11,R7,1.054287,1.208328,0.970303,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
12,R8,0.903693,0.961712,1.084373,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
13,T1,0.663394,0.671449,0.965971,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
14,T2,4.361924,0.900681,0.932860,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
15,T2a,1.058469,0.828424,1.032247,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
16,T3,5.052472,0.501531,0.945264,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
17,T4a,1.462676,0.185532,0.251100,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
18,T4b,1.812847,0.372242,0.222924,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
19,T4c,1.691818,0.345397,0.239679,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
20,T4d,1.607238,0.621573,0.259341,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
21,T5a,1.135238,0.311812,0.164463,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
22,T5b,1.242982,0.424202,0.162220,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
23,T5c,1.204858,0.873181,0.158413,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
24,T5d,1.286178,0.196183,0.146868,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
25,Tm1,0.414859,1.188849,0.541477,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
26,Tm2,3.495759,1.867559,0.213775,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
27,Tm20,3.482058,0.466816,1.021129,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
28,Tm21,0.718923,0.718406,1.030853,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
29,Tm3,3.270578,1.169255,1.624257,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
30,Tm4,7.611767,3.241191,0.369867,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
31,Tm9,1.824261,0.194267,0.758256,0.000000,0.000000,-50.383629,-0.388681,-55.428934,-49.647338,-0.400000,-56.886423
