cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.029325,50.000000,0.075677,0.100000,-1.233600,-48.930809,11.141639,199.443710,0.000000,-50.000000,1.008694,352.241943,18.662731,18.722162,20.588024,1.865862,69.259651,69.319595,71.201691,1.882095,69.259651,69.260689,69.349785,0.089096
1,R7,1.048186,50.000000,0.075677,0.154851,-1.348968,-49.081024,11.309010,190.024918,0.000000,-50.000000,0.987342,348.944244,18.255552,18.312357,20.167255,1.854898,67.391563,67.447647,69.279060,1.831413,67.391563,67.392555,67.479729,0.087173
2,R8,1.040601,50.000000,0.075677,1.215199,0.037764,-50.182095,10.000000,195.396912,0.000000,-50.000000,1.025342,349.603760,19.930817,19.994118,21.856119,1.862001,71.703033,71.767944,73.677124,1.909180,71.703033,71.704193,71.797386,0.093193
3,L1,1.738190,11.237035,0.075677,0.459691,-0.148293,-49.468491,11.638620,204.228149,1.000000,-51.417866,0.219176,348.859863,-0.148293,-0.148307,-0.149130,-0.000824,11.237036,11.237030,11.236851,-0.000179,11.237036,11.237036,11.237030,-0.000006
4,L2,2.000000,5.095089,0.075677,0.376995,-0.198292,-49.396439,11.131573,206.446915,0.456345,-51.641098,0.100000,350.531128,-0.690173,-0.691986,-0.695723,-0.003737,5.095093,5.094911,5.094538,-0.000373,5.095093,5.095089,5.095064,-0.000025
5,L3,1.863930,4.900203,0.075677,0.369574,-0.416142,-49.380054,10.812809,207.851715,0.000000,-49.246655,0.100000,349.788239,-0.244630,-0.244150,-0.244074,0.000076,4.900203,4.900250,4.900259,0.000008,4.900203,4.900203,4.900207,0.000004
6,L4,1.800331,4.839932,0.075677,0.394564,-1.047622,-49.373089,10.000000,192.811966,1.000000,-49.446949,0.100000,349.197296,-1.047623,-1.047623,-1.047623,-0.000000,4.839933,4.839933,4.839933,0.000000,4.839933,4.839933,4.839933,0.000000
7,L5,1.862075,4.845447,0.075677,0.248710,-0.985598,-49.236813,11.379358,205.840485,1.000000,-49.440067,0.100000,352.536346,-0.985598,-0.985598,-0.985595,0.000002,4.845447,4.845447,4.845448,0.000000,4.845447,4.845447,4.845447,0.000000
8,Mi1,1.957280,4.738711,0.075677,0.172459,-1.146730,-49.172100,12.169527,202.716980,0.000000,-48.425831,0.100000,352.346466,-1.038720,-1.038440,-1.038395,0.000046,4.738711,4.738739,4.738744,0.000004,4.738711,4.738711,4.738711,0.000000
9,Tm3,1.907876,17.985256,0.075677,0.453918,-0.310322,-49.419769,10.933108,191.773331,0.000000,-49.403511,0.367718,352.468811,-0.493075,-0.493623,-0.493964,-0.000341,17.985254,17.985054,17.984930,-0.000124,17.985254,17.985254,17.985241,-0.000013
