idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,1.000000,0.443992,1.005799,46.063644,209.959852,-0.579912,0.000000
1,C3,1.000000,0.266846,1.011487,54.962587,199.322393,-0.609862,0.000000
2,L1,1.000000,3.209818,11.435476,61.046221,206.241835,2.000000,1.367060
3,L2,1.000000,3.253083,7.361779,74.417146,206.332030,1.716982,4.485697
4,L3,1.000000,6.014840,23.547308,53.067274,188.695051,1.777760,0.875050
5,L4,1.000000,0.100000,8.871105,69.651569,205.447308,-2.000000,4.995052
6,L5,1.000000,5.784695,9.652804,33.676436,193.275719,2.000000,0.235443
7,Mi1,1.000000,0.536786,4.571916,58.807954,203.175206,1.300289,3.729607
8,Mi4,1.000000,0.364735,0.420162,47.106805,207.976392,-0.597768,0.000000
9,Mi9,1.000000,1.342886,5.094202,47.729835,203.403964,-2.000000,3.395521
10,R1-6,1.000000,0.959816,0.988525,52.816956,195.405657,-0.002781,0.000000
11,R7,1.000000,0.501297,1.004278,51.702228,197.107783,-0.582198,0.000000
12,R8,1.000000,1.062493,1.038095,54.302860,207.770188,-0.032146,0.032278
13,T1,1.000000,1.031686,0.999369,54.180684,199.398580,-0.017999,0.000000
14,T2,1.000000,4.465058,0.965209,39.808809,201.055245,0.077999,4.011153
15,T2a,1.000000,0.558986,1.045429,49.985069,204.150683,-0.557279,0.131697
16,T3,1.000000,3.911484,0.989083,28.610712,182.405922,-0.240223,4.343697
17,T4a,1.000000,3.058472,1.002308,50.848324,203.853186,1.147587,0.000000
18,T4b,1.000000,4.242947,0.998255,49.047792,189.585929,2.000000,0.784079
19,T4c,1.000000,1.019098,0.978494,46.285541,204.069581,-0.033164,0.042125
20,T4d,1.000000,0.939692,0.986818,54.969206,204.736174,-0.324953,0.022644
21,T5a,1.000000,0.927850,1.036229,47.716479,200.848827,-0.325538,0.000000
22,T5b,1.000000,9.655362,0.969376,43.846384,196.968253,-2.000000,3.562367
23,T5c,1.000000,0.971059,0.955555,54.560799,190.637490,-0.362709,0.000000
24,T5d,1.000000,0.962592,0.984262,49.209835,202.726191,-0.214683,0.000000
25,Tm1,1.000000,0.139370,5.226549,66.584527,213.572022,2.000000,1.699634
26,Tm2,1.000000,4.841906,8.942565,37.079505,183.016293,2.000000,0.398856
27,Tm20,1.000000,10.077805,0.981362,37.970635,192.367393,2.000000,1.005966
28,Tm21,1.000000,1.046937,0.995230,54.881845,198.531519,-0.404531,0.002325
29,Tm3,1.000000,0.428433,6.962548,63.507592,206.997401,1.928684,4.207516
30,Tm4,1.000000,0.227970,4.810275,58.557503,209.273674,2.000000,4.060185
31,Tm9,1.000000,2.938475,7.206098,57.528697,203.292883,2.000000,5.000000
