,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,3.183266,1.253525,1.044724,10.000000,,,,,1.051834,,,,,,,,,,,,,,,,,,,0.982119,0.100000,,
R7,,,10.000000,9.122392,,2.516129,,,0.100000,0.100000,9.439276,,,,,,,,,,,,,,,10.000000,,,,,,0.100000,9.981069,
R8,,0.100000,0.100000,10.000000,0.100000,1.272501,,0.100000,0.100000,0.100000,9.973291,0.698171,,,,,,,,,,,,,,10.000000,0.986306,,,,1.002251,0.100000,0.100000,0.100000
L1,0.100000,0.100000,0.100000,0.100000,5.219913,6.081542,0.100000,4.106772,7.036780,0.100000,,2.315217,0.963120,10.000000,,,,,,,,,,0.100000,4.581940,,,9.061050,,,0.432893,1.420313,,0.951739
L2,10.000000,,0.100000,1.542124,4.376729,0.100000,4.275581,0.100000,0.100000,0.100000,0.100000,0.183630,0.968059,1.004935,,,,,,,,,,0.781491,1.703715,0.100000,,0.100000,4.312247,,1.047779,0.209582,,
L3,,1.568941,1.830803,0.100000,0.100000,,,,5.441899,0.100000,0.837333,0.100000,,,,,,,,,,,,0.100000,10.000000,0.100000,1.040400,,10.000000,0.100000,1.026031,10.000000,0.100000,
L4,0.977402,,,0.100000,9.932882,10.000000,0.142143,1.027204,1.027277,,6.445395,,1.026159,,,,,,,,,,,1.114045,9.992335,,,,9.992590,0.102949,,0.111583,0.956943,1.044026
L5,,,,10.000000,7.392936,,,9.993481,0.100000,0.100000,1.257511,2.601182,1.400028,0.100000,,,,,,,,,,0.100000,0.100000,3.230688,0.695240,0.102005,0.100000,,0.401547,0.100000,0.953600,0.100000
Mi1,,0.100000,10.000000,3.878290,0.100000,,,0.368000,2.049341,10.000000,0.100000,2.217150,1.078578,3.120427,1.378681,2.403335,3.766502,0.407092,0.100000,,,,,0.100000,0.100000,5.279173,0.675934,0.100000,0.100000,,0.433776,0.100000,5.829807,4.091065
Mi4,,,,,0.100000,10.000000,,0.100000,0.100000,10.000000,2.197457,0.823023,,10.000000,,0.100000,0.100000,1.033587,10.000000,,,,,10.000000,0.100000,6.320012,,3.955552,8.245930,6.523505,1.027034,0.100000,0.100000,2.173982
