idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,2.051497,1.045836,27.155295,10000.000000,-18.204683,1.000000
1,R7,1.000000,5.000000,0.988513,10.000000,10000.000000,-19.352415,1.000000
2,R8,1.000000,3.442599,1.010896,25.816614,10000.000000,-19.355016,1.000000
3,L1,1.000000,5.000000,1.729533,10.000000,221.101011,5.146164,1.335750
4,L2,1.000000,1.460912,0.767071,23.110222,192.761608,-0.052227,1.093614
5,L3,1.000000,4.818948,1.659230,37.447101,10000.000000,2.264543,1.000000
6,L4,1.000000,0.890474,4.001347,75.392023,244.349765,7.694872,3.340947
7,L5,1.000000,2.107327,0.695380,11.776885,190.333730,0.200303,3.103231
8,Mi1,1.000000,3.214912,0.817500,28.039968,10000.000000,-4.006797,1.000000
9,Mi4,1.000000,4.547670,1.114639,10.000000,10000.000000,2.486092,1.000000
10,Mi9,1.000000,5.000000,1.955752,30.028382,9990.855930,2.238644,1.000000
11,T1,1.000000,5.000000,0.993438,19.734985,10000.000000,-7.920438,1.000000
12,T2,1.000000,5.000000,0.987623,62.666051,9988.094642,-0.581622,1.000000
13,T2a,1.000000,0.500000,1.019173,46.792007,10000.000000,8.137931,1.000000
14,T3,1.000000,5.000000,1.028785,94.797797,9962.040385,20.000000,1.000000
15,T4a,1.000000,5.000000,1.042307,10.000000,9975.164206,0.947622,1.000000
16,T4b,1.000000,5.000000,0.975492,10.000000,9965.923823,0.771177,1.000000
17,T4c,1.000000,4.386260,0.985309,10.202304,9977.807894,12.376006,1.000000
18,T4d,1.000000,0.500000,1.041107,51.209952,9999.999594,-0.695436,1.000000
19,T5a,1.000000,5.000000,0.975710,30.652254,10000.000000,20.000000,1.000000
20,T5b,1.000000,0.500000,0.969401,52.880369,9999.513786,5.919416,1.000000
21,T5c,1.000000,4.818302,0.959446,72.395301,9998.395929,19.995685,1.000000
22,T5d,1.000000,1.118064,1.022412,51.419085,9994.420409,-1.951596,1.000000
23,Tm1,1.000000,3.147908,2.092959,12.029077,9970.247546,-0.847916,1.000000
24,Tm2,1.000000,2.031381,1.633515,33.320490,9957.334927,-3.385835,1.000000
25,Tm20,1.000000,0.500000,0.967844,52.135761,9995.583872,-1.383815,1.000000
26,Tm21,1.000000,5.000000,1.005959,20.293126,10000.000000,20.000000,1.000000
27,Tm3,1.000000,5.000000,5.000000,10.000000,10000.000000,12.538416,1.000000
28,Tm4,1.000000,1.888622,3.849614,10.000000,9946.054121,18.010023,1.000000
29,Tm9,1.000000,3.610871,4.052602,38.179559,9961.690130,20.000000,1.000000
30,C2,1.000000,0.500000,0.977394,60.800841,9993.573148,-3.256643,1.000000
31,C3,1.000000,4.898110,0.993519,10.000000,9994.934895,9.134190,1.000000
32,Lawf1,1.000000,5.000000,1.039151,10.000000,9958.165489,-1.654179,1.000000
33,Lawf2,1.000000,5.000000,1.022003,78.720363,9977.970939,20.000000,1.000000
