,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.000000,,,1.187914,1.749338,1.120925,0.618813,,,,,5.000000,,,,,,,,,,,,,,,,,,,0.977795,0.955031,,
R7,,,5.000000,4.824672,,4.412179,,,3.435197,0.500000,3.052436,,,,,,,,,,,,,,,1.013431,,,,,,0.500000,5.000000,
R8,,2.841831,5.000000,5.000000,0.500000,4.346361,,0.500000,0.500000,0.500000,4.361796,2.077230,,,,,,,,,,,,,,0.975156,0.996746,,,,0.989033,0.500000,0.500000,0.500000
L1,5.000000,0.500000,4.682822,0.500000,5.000000,5.000000,0.500000,2.699655,2.964337,4.526386,,2.060014,5.000000,0.641497,,,,,,,,,,0.500000,0.500000,,,2.065971,,,0.500000,5.000000,,0.500000
L2,5.000000,,5.000000,0.500000,0.500000,0.500000,4.126763,3.589233,0.500000,1.602990,0.500000,1.524892,5.000000,0.985537,,,,,,,,,,0.765642,1.473329,0.500000,,0.500000,2.573135,,0.955664,5.000000,,
L3,,0.500000,0.500000,3.229537,0.500000,,,,0.500000,0.500000,2.619523,5.000000,,,,,,,,,,,,0.500000,4.706366,0.500000,0.974232,,5.000000,5.000000,1.011923,4.988141,5.000000,
L4,0.500000,,,5.000000,0.500000,0.500000,4.999824,4.916684,0.500000,,5.000000,,0.500000,,,,,,,,,,,0.500000,0.500000,,,,0.500000,0.500000,,0.500000,0.500000,5.000000
L5,,,,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,1.061029,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,2.407039,0.500000,,0.500000,0.500000,5.000000,0.500000
Mi1,,4.877457,1.778238,5.000000,5.000000,,,0.500000,5.000000,3.478957,0.500000,1.010265,5.000000,0.500000,0.500000,4.596068,5.000000,5.000000,0.979903,,,,,0.500000,0.500000,0.969832,5.000000,0.500000,4.631185,,0.500000,0.500000,5.000000,5.000000
Mi4,,,,,2.922717,1.077051,,0.500000,0.500000,0.677141,0.748460,4.855734,,0.500000,,0.500000,0.500000,0.500000,0.998317,,,,,5.000000,5.000000,0.500000,,1.891399,0.500000,2.233924,0.951912,1.903908,0.500000,0.500000
Mi9,,,,,,0.584239,0.500000,,0.500000,5.000000,,,0.500000,0.758981,0.500000,5.000000,3.821537,5.000000,2.542854,,,,,0.500000,0.500000,0.975506,0.500000,0.500000,1.255823,1.046028,1.020219,,2.467833,5.000000
T1,1.005081,0.967280,1.406498,,5.000000,5.000000,,0.500000,,,0.856862,,,,,,,,,,,,,3.219789,1.551492,1.033961,,,0.500000,,,,,
T2,,,,,,,,5.000000,5.000000,,2.355105,,5.000000,1.045468,0.500000,,,,,,,,,0.500000,4.990956,,5.000000,0.500000,0.500000,,,,,5.000000
T2a,,,,,,,,,0.500000,,,,0.500000,0.500000,5.000000,,,,,,,,,4.567242,,0.533889,1.046718,4.933408,2.887808,,0.998617,,,5.000000
T3,,,,,,,,,,,,,1.513595,1.046787,1.003964,,,,0.953666,,,,,1.529548,,,5.000000,5.000000,,,,3.716726,,5.000000
T4a,,,,,,,,,,,5.000000,,,,,1.225371,0.992028,1.018286,0.964421,0.953139,,,,,,,,,,,,0.500000,,
