idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,1.831344,1.550733,-50.000000,1.033837,0.000000,40.000000,200.000000,-50.000000,0.000000,-30.144400,-30.122169
1,R7,1.831344,1.996737,-50.000000,1.035604,0.000000,40.000000,200.000000,-50.000000,0.000000,-30.376987,-30.355904
2,R8,1.831344,0.455585,-50.000000,0.994437,0.000000,40.000000,200.000000,-50.000000,0.000000,-31.810841,-31.799389
3,L1,1.831344,1.813014,-50.000000,0.560393,0.000000,40.000000,200.000000,-20.000000,0.361649,-32.076752,-32.168648
4,L2,1.831344,1.544726,-50.000000,0.510921,0.000000,40.000000,200.000000,-20.000000,0.740379,-26.661949,-26.708099
5,L3,1.831344,0.343616,-50.000000,1.535167,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.649368,-50.670971
6,L4,1.831344,0.764772,-50.000000,0.162138,0.000000,40.000000,200.000000,-50.000000,1.000000,-50.000000,-50.000401
7,L5,1.831344,1.638012,-50.000000,1.281578,0.000000,40.000000,200.000000,-50.000000,0.198380,-69.549103,-69.322197
8,Mi1,1.831344,1.005107,-50.000000,1.317445,0.000000,40.000000,200.000000,-50.000000,0.000000,-52.978161,-52.945278
9,Tm3,1.831344,0.511952,-50.000000,0.677566,0.000000,40.000000,200.000000,-50.000000,0.000000,-78.529884,-78.199692
10,Mi4,1.831344,0.772925,-50.000000,1.151139,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.188145,-50.191017
11,Mi9,1.831344,3.413621,-50.000000,0.539265,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.233337,-49.234699
12,T4a,1.831344,1.328913,-50.000000,1.005915,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.085472,-50.086994
13,T4b,1.831344,0.216490,-50.000000,1.002019,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.213299,-50.217361
14,T4c,1.831344,1.265656,-50.000000,1.043859,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.007145,-50.007206
15,T4d,1.831344,9.977992,-50.000000,0.966827,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.096069,-50.098335
16,Tm1,1.831344,0.428926,-50.000000,0.692976,0.000000,40.000000,200.000000,-50.000000,0.000000,-45.508911,-45.526814
17,Tm2,1.831344,0.646794,-50.000000,0.457460,0.000000,40.000000,200.000000,-50.000000,0.000000,-27.092823,-27.182795
18,Tm4,1.831344,0.548681,-50.000000,0.274251,0.000000,40.000000,200.000000,-50.000000,0.000000,-13.202475,-13.346561
19,Tm9,1.831344,1.134938,-50.000000,1.046282,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.899986,-49.900742
20,T5a,1.831344,0.507609,-50.000000,0.991695,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.336540,-49.342510
21,T5b,1.831344,6.277004,-50.000000,1.046611,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.173046,-49.180119
22,T5c,1.831344,2.696974,-50.000000,0.986347,0.000000,40.000000,200.000000,-50.000000,0.000000,-46.176441,-46.182781
23,T5d,1.831344,3.082570,-50.000000,1.026332,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.935284,-49.937328
24,T1,1.831344,1.410407,-50.000000,1.045718,0.000000,40.000000,200.000000,-50.000000,0.000000,-47.992744,-48.000729
25,T2,1.831344,1.705336,-50.000000,1.017889,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.788017,-49.787910
26,T2a,1.831344,0.715879,-50.000000,1.007971,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.967182,-49.967312
27,T3,1.831344,1.479260,-50.000000,0.984082,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.934887,-49.935436
28,C2,1.831344,0.297929,-50.000000,1.046315,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.242092,-50.238796
29,C3,1.831344,0.680101,-50.000000,1.021313,0.000000,40.000000,200.000000,-50.000000,0.000000,-51.580498,-51.570438
30,Lawf1,1.831344,1.287561,-50.000000,1.049608,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.895046,-49.893105
31,Lawf2,1.831344,1.300752,-50.000000,1.018677,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.401070,-49.401676
32,Dm3v,1.831344,4.526688,-50.000000,1.026375,0.000000,40.000000,200.000000,-50.000000,0.000000,-48.145279,-48.148941
33,Lai,1.831344,3.188514,-50.000000,1.020905,0.000000,40.000000,200.000000,-50.000000,0.000000,-69.169418,-69.303566
34,Mi10,1.831344,1.136314,-50.000000,0.985424,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.395061,-50.398998
35,Mi13,1.831344,1.987634,-50.000000,1.044371,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.798264,-49.798565
36,Mi14,1.831344,7.657510,-50.000000,1.028407,0.000000,40.000000,200.000000,-50.000000,0.000000,-48.832829,-48.837055
37,Mi15,1.831344,0.597447,-50.000000,1.045406,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.317535,-50.319607
38,Mi2,1.831344,1.055381,-50.000000,0.988049,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.477978,-49.479343
39,Tm16,1.831344,5.281370,-50.000000,1.032114,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.006718,-50.006466
40,Tm20,1.831344,1.180766,-50.000000,1.027942,0.000000,40.000000,200.000000,-50.000000,0.000000,-48.527126,-48.533764
41,Tm21,1.831344,3.930030,-50.000000,1.019548,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.376663,-49.383450
42,Tm27,1.831344,2.696705,-50.000000,1.043296,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.116241,-50.118195
43,Tm5a,1.831344,9.820349,-50.000000,0.985820,0.000000,40.000000,200.000000,-50.000000,0.000000,-52.958084,-52.977180
44,Tm5b,1.831344,2.622499,-50.000000,0.971509,0.000000,40.000000,200.000000,-50.000000,0.000000,-52.958488,-52.977703
45,Tm5c,1.831344,1.527219,-50.000000,0.961171,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.520851,-50.530251
46,Tm5f,1.831344,0.979786,-50.000000,1.005959,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.020786,-50.021317
47,TmY10,1.831344,1.196765,-50.000000,1.013820,0.000000,40.000000,200.000000,-50.000000,0.000000,-49.985176,-49.985584
48,TmY11,1.831344,7.143978,-50.000000,1.032158,0.000000,40.000000,200.000000,-50.000000,0.000000,-48.171730,-48.174881
49,TmY14,1.831344,5.150554,-50.000000,1.044062,0.000000,40.000000,200.000000,-50.000000,0.000000,-44.405315,-44.469906
50,TmY15,1.831344,3.104594,-50.000000,1.036237,0.000000,40.000000,200.000000,-50.000000,0.000000,-47.270138,-47.249786
51,TmY3,1.831344,3.675979,-50.000000,0.987045,0.000000,40.000000,200.000000,-50.000000,0.000000,-43.133583,-43.162930
52,TmY4,1.831344,6.250048,-50.000000,1.006494,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.529888,-50.539921
53,TmY5a,1.831344,3.774090,-50.000000,0.987945,0.000000,40.000000,200.000000,-50.000000,0.000000,-48.531704,-48.530132
