idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,2.539648,-0.555062,1.015288,-0.465927,30.147237,976.562327,0.000000,1.000000
1,R7,1.000000,8.300123,-1.342635,0.957417,-0.177478,38.229802,1003.906987,0.000000,1.000000
2,R8,1.000000,8.540567,-0.185322,1.032919,-0.165294,24.267116,972.402748,0.000000,1.000000
3,L1,1.000000,4.473970,3.836659,0.872417,0.266367,28.873098,187.360518,0.000000,0.849268
4,L2,1.000000,3.855089,4.038403,0.812970,0.352617,30.161524,188.055668,0.000000,0.613966
5,L3,1.000000,2.933449,0.881862,0.716186,-0.207707,42.163609,1027.703710,0.000000,1.000000
6,L4,1.000000,10.000000,-3.366028,0.503916,0.359385,26.299518,225.041698,0.000000,0.919600
7,L5,1.000000,5.288383,0.626579,1.641913,-0.642254,30.795742,201.289472,0.000000,1.000000
8,Mi1,1.000000,6.384625,-0.926169,3.487542,-2.061198,26.111125,983.876656,0.000000,0.773675
9,Mi4,1.000000,9.009496,0.220455,1.327723,-0.095526,24.151832,988.557232,0.000000,1.000000
10,Mi9,1.000000,7.075037,3.944500,0.678386,-0.173439,30.322764,1016.662244,0.000000,0.773925
11,T1,1.000000,4.759534,6.144585,0.989977,-0.441359,50.700597,988.744870,0.000000,0.127195
12,T2,1.000000,0.925632,-1.086353,1.016730,0.135118,50.387227,1007.353924,0.000000,0.010000
13,T2a,1.000000,4.983306,1.581544,1.017721,-0.270356,25.604532,979.385793,0.000000,1.000000
14,T3,1.000000,0.435366,-1.085571,0.975826,0.481548,50.791034,999.108374,0.000000,0.010000
15,T4a,1.000000,0.634006,-1.239825,1.000206,0.091418,51.715443,1002.346511,0.000000,0.010000
16,T4b,1.000000,3.395821,2.165522,1.001963,0.443941,30.981768,982.901216,0.000000,0.795920
17,T4c,1.000000,0.995611,-0.967099,0.996674,-0.489436,51.742660,1009.816545,0.000000,0.010000
18,T4d,1.000000,10.000000,14.056471,0.996897,-0.373616,45.864174,1015.300185,0.000000,1.000000
19,T5a,1.000000,0.561586,-0.570500,0.960242,0.187693,51.505614,992.665394,0.000000,0.474564
20,T5b,1.000000,0.986824,-0.282035,0.991837,0.260498,50.284750,1009.781569,0.000000,0.520910
21,T5c,1.000000,1.039657,0.056113,0.950256,0.063696,49.296870,1003.482542,0.000000,0.509988
22,T5d,1.000000,0.971608,-0.494589,1.022108,-0.451613,49.525634,996.328027,0.000000,0.506423
23,Tm1,1.000000,3.181479,-1.630700,0.932670,1.129125,22.863532,990.989070,0.000000,0.659367
24,Tm2,1.000000,3.996274,-1.467154,0.969878,1.011732,20.245119,987.056626,0.000000,0.762440
25,Tm20,1.000000,0.172605,-1.170294,1.011982,-0.277696,51.472109,1008.106561,0.000000,0.010000
26,Tm21,1.000000,10.000000,0.239983,1.011501,-0.298185,26.353483,1006.365485,0.000000,1.000000
27,Tm3,1.000000,9.417032,-1.861775,0.488154,-1.814283,23.792010,978.380915,0.000000,0.982353
28,Tm4,1.000000,9.154255,0.810413,0.253740,1.186580,24.600009,978.622842,0.000000,0.638347
29,Tm9,1.000000,0.100000,-4.541475,1.741770,0.968395,27.902481,1004.192328,0.000000,0.845727
30,C2,1.000000,5.344322,2.296025,1.034141,-0.388810,39.093632,994.098590,0.000000,0.965626
31,C3,1.000000,0.337022,-1.099059,0.976544,-0.422475,48.622805,1006.259625,0.000000,0.010000
32,Lawf1,1.000000,9.981944,0.781063,1.010039,0.317299,13.324595,974.071666,0.000000,0.982124
33,Lawf2,1.000000,0.895770,-0.629334,1.028058,-0.237104,50.833984,990.564379,0.000000,0.010000
