cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.951718,65.849030,0.338654,0.286415,-1.097904,-49.346821,10.816130,198.034393,0.000000,-50.000000,0.957173,348.791382,18.794273,18.854750,20.735233,1.880484,65.848000,65.905891,67.705841,1.799950,65.848000,65.849030,65.935585,0.086555
1,R7,1.021178,69.684914,0.338654,0.212296,-0.348704,-49.289196,10.787148,205.406464,0.000000,-50.000000,1.005759,347.849945,19.284874,19.343515,21.222628,1.879112,69.683876,69.742844,71.632790,1.889946,69.683876,69.684914,69.776024,0.091110
2,R8,1.006459,68.694817,0.338654,0.270044,-0.229694,-49.310295,10.000000,201.044373,0.000000,-50.000000,0.986920,351.950195,19.604153,19.666996,21.527588,1.860592,68.693726,68.755745,70.592003,1.836258,68.693726,68.694817,68.783859,0.089043
3,L1,1.617890,17.849792,0.338654,0.100000,-1.256263,-49.095848,10.828039,208.744675,1.000000,-49.672207,0.368676,349.325836,-1.256263,-1.256432,-1.266872,-0.010440,17.849792,17.849730,17.845881,-0.003849,17.849792,17.849792,17.849670,-0.000122
4,L2,1.623344,20.508472,0.338654,0.219545,-1.143819,-49.251865,10.779255,193.652481,1.000000,-50.718124,0.413692,347.918396,-1.143819,-1.143999,-1.154967,-0.010968,20.508471,20.508398,20.503862,-0.004536,20.508471,20.508471,20.508326,-0.000145
5,L3,1.646478,13.162854,0.338654,0.260825,-1.082854,-49.269981,11.020893,205.298080,0.000000,-50.909672,0.261867,350.275665,-0.644262,-0.643998,-0.648771,-0.004774,13.162853,13.162923,13.161672,-0.001251,13.162853,13.162854,13.162820,-0.000034
6,L4,1.619545,13.934229,0.338654,0.333054,-0.383970,-49.315479,10.000000,200.987198,1.000000,-49.923492,0.281275,348.508789,-0.383970,-0.383970,-0.383972,-0.000002,13.934228,13.934228,13.934228,0.000000,13.934228,13.934228,13.934228,0.000000
7,L5,1.624034,15.714022,0.338654,0.360385,-0.267645,-49.362309,10.789248,201.154037,1.000000,-50.882542,0.310462,349.787201,-0.267645,-0.267644,-0.267643,0.000001,15.714022,15.714022,15.714022,0.000000,15.714022,15.714022,15.714022,0.000000
8,Mi1,1.727684,11.679822,0.338654,0.417856,-1.031260,-49.404312,11.589925,199.658783,0.000000,-49.291195,0.240222,351.062317,-0.670349,-0.669288,-0.668966,0.000322,11.679818,11.680074,11.680151,0.000077,11.679818,11.679821,11.679844,0.000023
9,Tm3,1.680066,15.897729,0.338654,0.259852,-0.862555,-49.313538,10.000000,207.913239,0.000000,-49.493561,0.325567,348.859497,-0.662673,-0.662009,-0.661612,0.000397,15.897725,15.897941,15.898069,0.000129,15.897725,15.897729,15.897749,0.000020
10,Mi4,1.701748,11.804356,0.338654,0.402927,-0.770464,-49.369308,10.000000,207.020081,0.000000,-48.952572,0.244161,351.982300,-0.606016,-0.605639,-0.606154,-0.000516,11.804355,11.804446,11.804321,-0.000125,11.804355,11.804356,11.804356,0.000000
11,Mi9,1.703521,13.443261,0.338654,0.418677,-0.442282,-49.409325,10.725463,205.879089,0.000000,-50.102661,0.272688,349.708160,-0.803522,-0.804687,-0.805640,-0.000953,13.443266,13.442947,13.442689,-0.000258,13.443266,13.443261,13.443229,-0.000032
12,T4a,0.967362,49.276562,0.338654,0.280727,-0.477580,-49.296719,10.992657,193.629730,0.000000,-50.000000,0.996342,351.356689,-0.542498,-0.542669,-0.542772,-0.000103,49.276562,49.276390,49.276287,-0.000103,49.276562,49.276562,49.276543,-0.000019
13,T4b,1.016683,47.428848,0.338654,0.145519,-0.896884,-49.208000,11.549391,194.764542,0.000000,-50.000000,0.968470,348.990143,-1.027045,-1.027407,-1.027644,-0.000237,47.428848,47.428497,47.428268,-0.000229,47.428848,47.428848,47.428814,-0.000034
14,T4c,1.001829,50.394733,0.338654,0.269772,-1.016387,-49.264202,10.724683,206.937012,0.000000,-50.000000,1.029888,351.743164,-1.067776,-1.067914,-1.067995,-0.000081,50.394722,50.394592,50.394501,-0.000092,50.394722,50.394722,50.394711,-0.000011
15,T4d,1.009698,54.221294,0.338654,1.934713,1.022303,-51.022087,10.000000,208.794708,0.000000,-50.000000,1.047368,351.073761,1.769068,1.771547,1.772958,0.001411,54.221241,54.223839,54.225319,0.001480,54.221241,54.221294,54.221527,0.000233
16,Tm1,1.658943,13.175449,0.338654,0.259269,-0.754090,-49.303204,10.793892,196.312195,0.000000,-50.068443,0.267201,347.131958,-0.759384,-0.759400,-0.759439,-0.000039,13.175449,13.175446,13.175434,-0.000011,13.175449,13.175449,13.175449,0.000000
17,Tm2,1.676868,13.427383,0.338654,0.354832,-0.637538,-49.342976,11.496714,190.927383,0.000000,-50.409622,0.269132,347.698273,-0.518219,-0.517861,-0.517643,0.000219,13.427383,13.427479,13.427539,0.000060,13.427383,13.427383,13.427388,0.000005
