idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,1.211375,0.100000,1.034826,46.553923,-50.482431,-0.204794,-49.973058
1,C3,0.103190,1.198035,1.079856,45.654923,-49.197368,-0.208015,-47.295093
2,L1,1.564473,0.100000,0.953487,46.202522,-51.353272,-0.400000,-50.790214
3,L2,0.100000,0.100000,0.955955,48.104271,-49.900333,-0.200000,-53.437520
4,L3,0.728156,0.100000,1.060046,53.862160,-49.923890,-0.200000,-49.878764
5,L4,1.411688,0.100000,0.977633,52.223891,-47.831946,-0.400000,-50.911514
6,L5,0.103190,1.198035,1.053247,45.654923,-49.197368,-0.208015,-47.295093
7,Mi1,0.363966,0.100000,1.086697,54.183213,-47.379195,-0.203383,-49.447797
8,Mi4,0.363966,0.100000,1.037970,54.183213,-47.379195,-0.203383,-49.447797
9,Mi9,0.100000,0.100278,1.025238,48.550129,-51.135638,-0.400000,-49.659736
10,R1-6,1.381039,0.100000,0.948386,50.789694,-47.600113,-0.400000,-50.516730
11,R7,0.100000,0.100000,1.076823,53.000877,-47.611590,-0.200000,-48.228177
12,R8,0.100000,0.100000,1.071972,53.040115,-49.507101,-0.231193,-50.621931
13,T1,0.100000,1.582448,1.012143,48.684589,-49.677795,-0.200000,-51.978214
14,T2,0.100000,0.100000,0.970648,51.730333,-50.969758,-0.400000,-50.976081
15,T2a,0.100000,0.100000,1.000519,51.360486,-49.649831,-0.296176,-49.231955
16,T3,0.100000,0.100000,1.098657,51.360486,-49.649831,-0.296176,-49.231955
17,T4a,0.100000,1.417552,0.100000,54.002858,-47.398463,-0.200000,-52.665303
18,T4b,0.100000,0.100000,0.100000,46.922066,-47.692362,-0.200000,-50.666434
19,T4c,1.389163,0.100000,0.100000,46.598160,-53.237482,-0.231565,-50.511804
20,T4d,1.157062,0.100015,0.100000,0.613473,-50.720487,-0.400000,-48.796043
21,T5a,0.100000,0.100000,0.100000,53.000877,-47.611590,-0.200000,-48.228177
22,T5b,1.614510,0.100000,0.100000,52.552131,-51.094603,-0.363180,-48.846318
23,T5c,1.381039,0.100000,0.100000,50.789694,-47.600113,-0.400000,-50.516730
24,T5d,0.100000,0.100000,0.100000,53.000877,-47.611590,-0.200000,-48.228177
25,Tm1,0.100000,0.100000,0.998172,46.267132,-50.333316,-0.200675,-49.805926
26,Tm2,1.564473,0.100000,0.931639,46.202522,-51.353272,-0.400000,-50.790214
27,Tm20,0.100000,0.100000,1.014774,51.730333,-50.969758,-0.400000,-50.976081
28,Tm21,1.154883,0.100000,0.922499,0.680628,-50.813217,-0.253314,-48.648970
29,Tm3,1.307156,0.100000,1.082132,54.903269,-46.914273,-0.200000,-52.306513
30,Tm4,0.100000,0.100000,1.028570,51.730333,-50.969758,-0.400000,-50.976081
31,Tm9,0.728156,0.100000,1.034097,53.862160,-49.923890,-0.200000,-49.878764
