,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
Tm9,,,,,,3.780232,,,,,4.757733,8.279498,,,,,4.946949,3.728803,5.832179,2.994219,0.160908,4.046626,0.126017,0.293234,,0.100000,2.109254,,,,,,1.206125,,,,,,,,0.109328,10.000000,,,,5.114597,8.937982,,,5.446354,3.348605,,2.977027,,3.960268,4.829543
T5a,,,,,,,,,,,,,0.100000,,,,,3.669891,,,0.100060,0.100000,,,,1.896287,,,,,,,,,,,,,,,,,0.142428,,,,,,,3.710757,,,,0.598614,4.834509,6.144459
T5b,,,,,,,,,,,,,,2.812293,,,,,,,2.252309,0.520236,,,,7.512817,,,,,,,,,,,,,,,,,,,,,,,0.145649,1.358311,2.903991,,,0.593887,,
T5c,,,,,,,,,,,,,,,3.171989,,,,,,,1.010496,3.381914,4.596475,,2.193554,,,,,,,,,,,,,,,,,,,,,,,,5.061476,0.100000,,3.731143,4.787923,,
T5d,,,,,,,,,,,,,,,2.817674,1.013169,,,,,,,,0.100401,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,3.306087,0.100000,,4.096151,3.853817,,
T1,1.456037,10.000000,9.822559,,2.527578,8.512202,,1.367725,,,,0.100000,,,,,5.726324,0.517097,1.666480,,,,,,,,,,,,,,,1.345375,,,,,,,0.100000,,,,,,,,,,,,0.959844,,,
T2,,,,,,,,5.238223,0.927423,4.428095,,4.373752,,,,,5.517112,3.745568,1.886573,,,,,,,0.100000,0.100000,5.699832,,,,0.191392,,,,,0.100000,,,,,0.106001,2.052809,,1.767359,7.619485,,,2.289479,0.100000,0.823680,0.295872,,3.115329,0.956469,4.823559
T2a,,,,,,,,,3.078500,2.699776,,,,,,,5.113254,,2.791287,,,,,,,2.899656,1.032576,1.407945,0.264432,,,0.769835,2.976644,,2.391142,2.569946,,,,,0.374237,0.702632,,4.820596,4.555929,,5.200583,,,0.547021,2.796127,,3.518205,3.299144,2.975248,3.493656
T3,,,,,,,,,,2.217290,,,,,,1.021430,4.723232,,,,,,,,,2.034123,2.006257,3.226738,,4.534352,,0.100000,,,,,,,0.226215,,,0.100000,,,,,0.100000,,,,,,,0.624548,,3.144385
C2,3.269153,2.759936,3.762762,1.616587,3.530995,5.693932,6.047422,2.439995,2.137564,,0.100000,,,,,,6.523672,,,0.100000,,,,,5.183027,2.485417,2.375939,1.828588,2.287534,0.100000,,,,1.083285,,,,6.523925,0.100000,5.321391,,,2.806161,,,,,,,,,,,,,
C3,7.606803,,,1.214540,0.962711,0.100000,4.328905,2.119238,0.924347,1.443633,0.105798,3.260055,1.862429,1.413770,0.182732,0.100000,2.452794,0.582417,1.014034,0.100000,,,,,2.201856,2.695898,2.114908,0.416881,2.951455,,,,,1.971365,,0.101678,,0.100000,8.794489,,0.100000,8.547126,3.166786,,,,,,,0.100000,,,,,,
Lawf1,6.307614,,,0.343577,0.576983,0.100000,,2.366070,,0.100000,,8.391665,,,,,,,,,,,,,7.055499,,,,,,0.100000,,,1.955588,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.100000,,,2.301179,4.891523,3.268254,,0.207412,,,,,,,,,0.100006,4.115073,,0.100000,,,,,0.114650,,,,0.150988,0.118882,1.985249,,,0.295618,,1.648637,1.325292,,,,,,,,,,,,,0.216012,,,,2.181201,,
Dm3v,,,,,,,,,,,3.184324,0.189738,,,,,0.103041,0.839844,,,,,,,,,2.124187,,,,,,2.974462,,,,,,,,0.122972,10.000000,,,,,0.423792,,,,,,0.468021,1.996045,0.690989,5.516103
Lai,0.316905,,,2.558532,3.573149,0.675556,,2.018566,,,,,,,,,,,,,,,,,0.449687,,,,,1.848851,,,,1.443889,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,0.100000,,,,,6.228474,0.106264,1.644723,,2.584888,0.986653,,9.942045,0.111784,,,,,,,0.245394,,,,,2.589225,,,,1.552075,,1.478245,4.346153,,2.874003,,,3.040307,,2.606161,,,,5.862897,,,,,,,
Mi13,,,,,,,0.466821,4.378481,0.318098,0.100000,,2.606325,,,,,0.116611,2.613132,0.836584,8.473020,,,,,3.270438,3.914595,0.100000,,,,,,,,,,,,,,5.900300,,,,0.100000,,,,,,,,,0.989992,,
