,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
Tm9,,,,,,4.100596,,,,,6.603329,8.401468,,,,,0.100000,0.119766,10.000000,2.548593,0.407078,1.554408,9.696643,3.025611,,0.100000,0.100000,,,,,,6.077654,,,,,,,,0.100000,1.825308,,,,0.100000,0.407270,,,1.023190,8.559343,,8.824583,,1.325169,2.521775
T5a,,,,,,,,,,,,,0.100000,,,,,2.566540,,,3.319009,0.100000,,,,0.100001,,,,,,,,,,,,,,,,,0.100000,,,,,,,3.710190,,,,0.100000,1.208097,0.100000
T5b,,,,,,,,,,,,,,2.286073,,,,,,,3.059176,0.123766,,,,1.894919,,,,,,,,,,,,,,,,,,,,,,,6.812855,0.679472,1.705966,,,0.100000,,
T5c,,,,,,,,,,,,,,,0.100000,,,,,,,0.966940,6.105989,0.111304,,0.401672,,,,,,,,,,,,,,,,,,,,,,,,0.100000,5.520062,,8.523967,0.577431,,
T5d,,,,,,,,,,,,,,,9.720401,1.043706,,,,,,,,0.966166,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,6.925275,0.473532,,10.000000,1.387933,,
T1,0.203679,0.100000,4.627450,,1.513981,0.100000,,8.517029,,,,0.100000,,,,,2.753805,3.545311,0.100000,,,,,,,,,,,,,,,2.950529,,,,,,,1.112034,,,,,,,,,,,,1.040330,,,
T2,,,,,,,,0.120034,2.530041,0.100000,,10.000000,,,,,0.100000,0.100000,4.649457,,,,,,,0.101411,0.100000,0.100000,,,,0.648740,,,,,0.100000,,,,,2.002479,7.073739,,0.167842,9.962935,,,8.723873,8.490139,3.886794,0.280629,,0.100000,1.003652,10.000000
T2a,,,,,,,,,3.544025,0.986476,,,,,,,4.968297,,3.735886,,,,,,,0.100000,1.257439,0.100000,0.100000,,,3.083668,0.462602,,0.100000,4.893852,,,,,0.100000,0.100000,,1.980255,0.100000,,0.168862,,,0.667126,6.420315,,8.760707,2.377439,0.100000,0.100000
T3,,,,,,,,,,5.456048,,,,,,0.963906,0.189127,,,,,,,,,0.100000,2.902303,0.100000,,3.608146,,2.673836,,,,,,,0.100000,,,10.000000,,,,,0.292759,,,,,,,7.406156,,0.100000
C2,6.065996,9.651418,0.100000,0.100000,3.198454,0.100000,6.281445,1.473215,2.140134,,8.101095,,,,,,6.989129,,,10.000000,,,,,3.812753,3.127687,10.000000,5.827902,0.100000,5.769160,,,,2.467325,,,,2.028489,0.100000,0.100000,,,2.836686,,,,,,,,,,,,,
C3,0.100000,,,0.100000,2.976150,0.100000,0.858905,3.993009,7.450143,9.258269,0.100000,0.889880,0.100000,0.100000,10.000000,0.100000,0.931184,5.574777,1.965796,0.408362,,,,,2.730229,2.179598,2.154534,0.100000,6.715958,,,,,3.512044,,10.000000,,0.100000,8.045847,,1.753345,1.201999,10.000000,,,,,,,0.776924,,,,,,
Lawf1,2.790876,,,2.212237,2.092447,4.061079,,0.100000,,6.982006,,0.952978,,,,,,,,,,,,,0.660841,,,,,,0.100000,,,3.482713,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.277854,,,4.227265,2.211756,1.102965,,0.434541,,,,,,,,,5.965419,2.270743,,0.100006,,,,,1.969164,,,,0.464212,0.610784,0.114420,,,0.305121,,0.100000,0.245230,,,,,,,,,,,,,0.100000,,,,7.095650,,
Dm3v,,,,,,,,,,,10.000000,3.990496,,,,,1.669940,3.288249,,,,,,,,,5.451377,,,,,,1.024462,,,,,,,,3.231236,6.392803,,,,,10.000000,,,,,,0.399195,0.129678,2.019092,9.905089
Lai,0.509585,,,7.294914,0.400627,5.356669,,0.100000,,,,,,,,,,,,,,,,,3.912352,,,,,0.100000,,,,0.118916,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,0.100000,,,,,0.937260,0.100000,4.828460,,0.100000,0.957211,,0.858366,0.100000,,,,,,,9.213527,,,,,2.732921,,,,6.941746,,5.742836,6.797723,,0.100000,,,0.100000,,6.175072,,,,0.100000,,,,,,,
Mi13,,,,,,,0.323163,0.100000,2.246627,3.103641,,4.907920,,,,,0.597818,3.198132,0.100000,7.293329,,,,,2.080571,1.057154,8.433839,,,,,,,,,,,,,,10.000000,,,,0.100000,,,,,,,,,1.013665,,
Mi14,,,,,0.100000,,,3.641115,,,,0.100000,,,,,3.620813,1.979648,2.060705,,,,,,0.100000,0.100000,,0.100000,,,,,,,,0.100000,,,,,0.966212,,8.120586,,,,,,,,,4.439699,,6.754537,,
Mi15,,,,,,,,,,,2.272476,,,,,,,,0.105314,,,,,,0.100055,,6.416729,,,3.084001,1.304312,,,,7.001275,,10.000000,2.173139,0.100000,,,8.157619,0.977300,8.358908,,7.938657,,,,,,,,0.397035,,
Mi2,,,,,,,,,0.988022,,,,,,,,0.100000,,0.100000,,,,,,,6.889853,0.769821,10.000000,,,,,,,,,2.111592,,,,0.311506,2.189673,0.688319,,,,,0.207994,,,,,,0.984065,,
Tm16,,,,,,,,,0.100355,,0.100000,4.232143,,,,,0.876095,0.195006,6.048042,7.621610,,,,,,0.100000,,,,4.562372,2.574327,1.312161,,,7.244270,,,,,,8.676795,10.000000,7.377014,,,8.617472,10.000000,6.165630,10.000000,2.288003,0.110589,,,1.695415,,6.672942
Tm20,,,,,,,,,,,0.100000,5.794079,,,,,8.402964,4.767816,,3.531174,,,,,1.229586,1.642114,0.740068,,,0.100000,,,,,,,,,6.979301,9.679669,5.885763,0.814366,0.966095,1.441225,,0.100000,3.781877,6.198800,0.808046,,,8.542112,2.998743,6.570888,1.011540,
Tm21,,,,,,,,,0.103369,,,,,,,,0.100000,,,,,,,,,8.745445,0.100000,,,,,,,,,,0.950852,,2.582852,,,9.260842,,,,,,,,,5.662713,,,9.964596,,
Tm27,,,,,,,,,,,4.384326,1.474945,,,,,,,4.340494,,,,,,,2.524521,,,,,,,,,0.100000,,,,,,,6.656071,0.396863,,,,,,,,3.900467,,,1.492261,,
Tm5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.371152,,,5.272022,,0.100000,8.737348,,,,,,,1.060126,,
Tm5b,,,,,,,,,,,5.717005,,,,,,0.100000,,,,,,,,,,,,,,,,,,7.450744,,,6.077348,,0.100000,0.100000,,,0.100000,4.131027,6.497805,0.105520,,8.440616,,,0.100000,,0.419718,,
Tm5c,,,,,,,,0.100000,,,9.376866,,,,,,3.555225,,,,,,,,,,0.100000,,,,,,,,,6.263406,1.028548,2.081795,0.100000,,9.998343,3.263125,7.277045,2.453713,0.174327,2.364241,0.100000,2.330886,,,,2.007456,3.271795,10.000000,0.272561,
Tm5f,,,,,,,,,,,0.705216,,,,,,,,4.603281,,,,,,,,,0.100000,,,,,,,1.015345,,,,,,2.805321,,,6.918746,8.345387,,0.866014,9.958169,9.595333,,0.601956,,0.995444,3.341328,,
TmY10,,,,,,,,,,,0.100000,,,,,,,,,0.100000,,,,,,,0.104887,,,,0.100000,0.326481,3.231750,,,,,,4.084575,10.000000,8.106621,,,6.681114,,8.215634,4.823082,4.394256,5.310433,,,,1.723609,,6.308770,7.926210
TmY11,,,,,,,,,,,9.993611,0.114485,,,,,,,,,,,,,,4.595958,9.296728,,,,,,,,0.100000,0.327636,0.675292,,,6.555599,,,,,,0.841525,2.441123,,8.172152,9.615974,0.305305,,10.000000,5.286185,7.156556,1.919097
TmY14,,,,,,,,,,,,,,,4.887184,,3.377155,,,7.139044,,,,,,3.493393,,,,2.291787,,1.429666,,,,1.604856,,,,8.419104,,,,,,,,,,,,,,0.248427,,
TmY15,,,,,,,,,,,4.612194,,1.049822,1.667122,0.174022,0.100000,,,0.100000,0.608347,3.463412,1.990108,0.100909,0.100000,,0.100000,0.106449,5.068101,0.100000,,,,,,,,7.518233,,,0.275846,,,0.100000,,,,,,0.100000,0.895465,,9.819112,,10.000000,,
TmY3,,,,,,,0.100000,,0.100000,0.100000,0.100000,4.812470,,,1.004772,,,,0.131740,,,,,,,4.379096,0.100000,,,,0.100000,,,,,,3.936999,,,,,,0.759057,,,,,10.000000,3.616238,4.768799,0.100000,7.898460,,1.914436,,7.590757
TmY4,,,,,,,,,,,,,,,,,,,8.296200,,,,,,,,,,,,,,1.310480,,,10.000000,,,,,6.501533,,,,,,,,,,4.381751,,7.074189,6.561079,0.141980,10.000000
TmY5a,,,,,,,,,4.100264,6.349279,0.100000,,,,,0.100000,0.100000,0.100000,1.302991,,,,,6.994637,,0.100000,7.065245,2.568429,,,,1.081840,,,0.751687,,,,6.381082,0.830812,,0.100000,6.970646,0.964398,,,4.090983,1.376147,3.246164,3.668004,3.974976,0.100000,,,,
TmY9q,,,,,,,,,,,2.069653,,,,,,,,,,,,,,,,,,,,,,,,,0.113023,,,,,,5.046710,,,,,,,,3.128441,,,0.508303,0.100000,1.323394,0.190963
TmY9q__perp,,,,,,,,,,0.100000,2.267503,,,,,,,,,,,,,,,,,,,,,2.689758,10.000000,,,0.100000,,,0.100000,,,,,,,,,,,,,,9.687332,0.100000,,6.259705
