idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,13.314072,1.025665,10.000000,9954.258654,-0.617491,1.000000
1,R7,1.000000,33.855866,1.028513,10.000000,10000.000000,-0.497109,1.000000
2,R8,1.000000,32.451203,1.029805,10.000000,9966.387011,-0.559487,1.000000
3,L1,1.000000,2.812639,0.974462,23.965632,375.625864,8.659361,1.951748
4,L2,1.000000,1.885542,1.012567,16.213599,400.131688,10.611219,1.365324
5,L3,1.000000,18.238057,1.006877,43.487944,10000.000000,-2.701991,1.000000
6,L4,1.000000,1.908359,1.034032,10.220847,167.261018,-11.028330,4.990629
7,L5,1.000000,2.933560,1.025424,11.462660,173.666084,-2.882651,2.012579
8,Mi1,1.000000,5.536965,0.986655,20.289605,10000.000000,-2.937906,1.000000
9,Mi4,1.000000,4.947607,0.958010,10.000000,10000.000000,4.282189,1.000000
10,Mi9,1.000000,3.373554,0.978144,36.055868,10000.000000,3.926305,1.000000
11,T1,1.000000,0.108360,0.956214,46.341340,9998.866573,-1.331860,1.000000
12,T2,1.000000,3.684612,1.025129,13.235481,9962.352970,-12.493128,1.000000
13,T2a,1.000000,14.891113,1.006626,90.508791,9908.453380,-4.812116,1.000000
14,T3,1.000000,10.106846,0.984033,100.000000,10000.000000,14.103965,1.000000
15,T4a,1.000000,3.289451,1.045895,10.000000,10000.000000,-0.178366,1.000000
16,T4b,1.000000,8.128769,0.990556,38.236650,10000.000000,2.379078,1.000000
17,T4c,1.000000,9.477400,0.995282,52.407519,10000.000000,-0.785591,1.000000
18,T4d,1.000000,0.307740,0.963868,54.478401,10000.000000,-0.899735,1.000000
19,T5a,1.000000,25.295394,0.966175,72.964947,10000.000000,20.000000,1.000000
20,T5b,1.000000,18.313605,0.960864,99.272966,9979.738856,-19.378854,1.000000
21,T5c,1.000000,10.572999,0.977069,100.000000,10000.000000,-5.177607,1.000000
22,T5d,1.000000,12.068948,0.952019,80.013543,9978.515439,-8.455948,1.000000
23,Tm1,1.000000,0.530884,0.989725,12.169640,10000.000000,12.276854,1.000000
24,Tm2,1.000000,1.117054,0.963411,10.000000,9759.003269,12.102754,1.000000
25,Tm20,1.000000,20.743443,0.950938,72.885221,10000.000000,0.745270,1.000000
26,Tm21,1.000000,10.897247,1.025668,100.000000,10000.000000,9.508956,1.000000
27,Tm3,1.000000,0.532209,0.963260,10.000000,10000.000000,20.000000,1.000000
28,Tm4,1.000000,1.246168,0.951514,10.000000,10000.000000,-14.212960,1.000000
29,Tm9,1.000000,0.703898,1.020185,37.528796,10000.000000,20.000000,1.000000
30,C2,1.000000,1.089467,0.957290,10.000000,10000.000000,2.600369,1.000000
31,C3,1.000000,7.846997,0.994289,28.506475,9999.544296,0.065176,1.000000
