,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,2.256854,,,0.100000,0.100000,0.100000,0.100000,,,,,0.100000,,,,,,,,,,,,,,,,,,,2.120692,2.090287,,
R7,,,2.131410,0.100000,,0.100000,,,0.226368,1.878636,0.502963,,,,,,,,,,,,,,,0.136097,,,,,,2.423849,0.987534,
R8,,0.465367,1.626100,0.100000,0.125184,0.106519,,0.100000,0.100000,1.956537,0.101962,0.740810,,,,,,,,,,,,,,0.100055,0.370738,,,,2.171890,2.043926,0.101136,1.785331
L1,0.100000,0.100000,1.079473,0.100000,0.155522,9.123114,0.100000,0.100000,1.721278,10.000000,,0.109580,4.370439,10.000000,,,,,,,,,,5.102009,1.018720,,,0.571815,,,0.100000,0.100000,,0.100000
L2,3.531778,,2.497137,10.000000,2.687455,6.841576,2.459429,10.000000,6.208877,4.045967,4.549855,1.454261,1.211615,0.985241,,,,,,,,,,1.035676,4.134540,0.100000,,7.059384,0.163971,,0.485076,0.100197,,
L3,,0.103688,0.195255,10.000000,4.953903,,,,2.832040,0.587049,1.677940,3.950001,,,,,,,,,,,,2.285731,2.702546,2.276369,0.989755,,3.260447,1.756021,0.100000,0.102770,1.008608,
L4,0.100000,,,10.000000,10.000000,1.147979,10.000000,4.848195,0.100000,,3.800111,,6.478710,,,,,,,,,,,0.519813,1.414480,,,,2.454299,8.484741,,7.462272,10.000000,0.100000
L5,,,,10.000000,8.017670,,,10.000000,0.957182,0.308952,0.143274,3.104655,4.279830,0.100000,,,,,,,,,,0.732329,3.180728,0.100000,0.675486,3.569249,0.100000,,3.162978,0.977682,0.100000,9.159382
Mi1,,0.100000,0.463669,10.000000,7.883882,,,10.000000,2.199119,0.600595,2.247711,3.635503,2.102799,2.058906,1.789764,1.073781,2.070200,2.049544,1.761969,,,,,2.740905,1.823139,2.173108,2.316444,2.044663,3.108028,,0.101497,0.100420,0.100000,1.358839
Mi4,,,,,0.100000,0.100000,,0.100000,0.100000,6.604713,1.154545,0.100000,,0.100000,,0.137572,0.100000,0.130147,0.100000,,,,,3.552433,0.860051,0.100000,,0.100000,9.506913,0.100000,1.372389,1.688946,10.000000,0.100000
Mi9,,,,,,0.293192,0.100000,,0.111425,1.916572,,,0.100000,0.100650,0.286278,1.327668,0.101291,0.101151,0.100000,,,,,0.224975,0.164046,0.104676,0.100179,0.100000,0.504198,0.100000,2.194956,,0.100035,2.104618
T1,0.394204,1.849209,0.381853,,6.155577,0.100000,,9.654384,,,0.965113,,,,,,,,,,,,,1.587478,1.384083,3.664948,,,1.568288,,,,,
T2,,,,,,,,9.062375,2.061593,,1.806673,,1.915203,1.000159,1.662944,,,,,,,,,2.660952,2.072633,,2.219533,1.813398,2.671975,,,,,1.056625
T2a,,,,,,,,,2.251657,,,,2.123587,1.677699,1.757502,,,,,,,,,1.995145,,2.222567,1.007889,1.829103,1.699457,,0.100134,,,1.670872
T3,,,,,,,,,,,,,1.904194,0.983261,1.026871,,,,1.041393,,,,,2.354388,,,2.187941,1.785767,,,,0.100005,,0.662361
T4a,,,,,,,,,,,1.980634,,,,,0.722839,0.999036,0.991975,1.022871,1.007793,,,,,,,,,,,,0.100029,,
T4b,,,,,,,,,2.414090,2.029596,2.068068,,,,,0.321508,1.879621,,0.953298,,1.760258,,,,,,,,,,,,,
T4c,,,,,,,,,,,2.003989,,1.043473,,,,,1.781641,,,,0.970674,1.035044,,,,,,,,,,,
T4d,,,,,,,,,1.887908,,,,,,,,,1.033866,1.736309,,,,0.979529,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.948439,,,0.100000,,,,1.783105,1.014129,,,,2.604782,,,,,,,,,
T5b,,,,,,,,,,,,,2.173431,,,,1.750619,,,0.100000,1.805280,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.728224,,,,,1.892617,,,1.002550,1.679335,1.040185,,,,,,,,,,,
T5d,,,,,,,,,,,,,2.191553,,,,,0.100000,0.985419,,,,2.004764,,,,,,,,,,,
Tm1,,,,,9.774591,,,10.000000,5.627712,0.866813,0.609590,2.819348,2.300780,2.271619,2.186089,,,0.961674,,2.470918,1.831050,1.740461,2.510163,0.362111,3.376162,2.737021,2.236815,2.184621,1.203910,1.084724,0.204766,0.130836,,2.267371
Tm2,,,,10.000000,8.602180,,,10.000000,0.100000,1.421462,1.261912,2.740384,2.299426,1.906393,1.728863,0.979788,,0.100000,,2.363754,2.165155,1.577536,1.938717,3.166586,,,1.902611,8.502232,0.713345,0.709335,,0.311831,0.100000,6.991988
Tm20,,,,,,,,,,0.605769,2.189134,2.580008,1.678658,2.082582,,,,,,,,,,2.660318,2.447553,2.209732,0.953412,,,2.208448,,0.101692,,
Tm21,,,,,,,,,2.371879,,,,2.261832,1.022575,,,,,,,,,,3.049521,,,1.913688,,,,,,,
Tm3,,,,10.000000,9.877061,,,,2.109229,0.380205,1.725466,,1.913886,1.941449,1.715812,0.399544,1.974717,1.861864,1.614830,,0.967286,,0.979837,,,,,1.877306,1.040122,,0.100172,0.100848,2.241988,1.957349
Tm4,,,,,9.503165,,,,6.012169,1.582279,,5.417028,2.632700,1.908865,2.021325,,,,,2.936513,1.813414,2.040400,1.618631,2.740175,3.147463,,2.350365,2.283150,2.944082,,0.193052,0.193408,,3.485530
Tm9,,,,,,2.034732,,,,2.376887,1.692395,,1.760079,2.287797,,,,,,2.114512,2.064649,1.711591,2.082403,2.714541,2.932988,2.283569,1.424214,,2.216864,0.978222,,,,
C2,2.091349,2.172965,1.705942,0.100000,1.066004,0.278753,0.100000,0.100000,0.122175,0.155832,,0.100000,0.100000,1.825414,0.314349,,,,,,,,,1.376665,,,,,,0.535689,0.725574,0.102613,,
C3,1.998927,,,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,1.911311,0.110329,0.100000,0.100005,0.100000,2.109070,1.599206,0.100230,0.100156,0.970252,,,,,0.135709,1.402666,0.100000,0.340095,1.826034,0.202964,0.148120,2.086586,,,
Lawf1,0.106101,,,10.000000,6.012269,1.851895,,10.000000,,,0.976954,3.307146,,,,,,,,,,,,,,,,1.896965,,,,,0.308855,
Lawf2,0.158575,,,10.000000,5.190176,2.039551,,10.000000,,,,3.156337,,,,,,,,,,,,1.858590,2.185041,,,,,0.100000,0.100550,0.100757,2.191512,
