idx,cell,in_gain,out_gain,v_th,gt_scale,gt_bias,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1-6,1.000000,0.100000,-50.000000,1.008991,-0.357000,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
1,R7,1.000000,1.353619,-50.000000,1.000753,-0.272958,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
2,R8,1.000000,0.106329,-50.000000,1.008954,0.057777,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
3,L1,1.000000,0.392296,-50.000000,3.687436,-5.697340,52.149634,39.314074,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
4,L2,1.000000,5.620186,-50.000000,4.156904,-7.254815,52.639090,40.920308,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
5,L3,1.000000,2.131343,-50.000000,2.643995,-2.553514,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
6,L4,1.000000,9.138924,-50.000000,4.372213,-7.422872,55.257682,35.803159,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
7,L5,1.000000,10.000000,-50.000000,3.506194,-4.654049,52.772751,32.534000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
8,Mi1,1.000000,3.189827,-50.000000,2.125675,-0.564500,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
9,Mi4,1.000000,0.894027,-50.000000,2.728843,-0.703473,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
10,Mi9,1.000000,0.292006,-50.000000,2.142906,-0.071874,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
11,T1,1.000000,6.218193,-50.000000,0.987271,-0.107883,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
12,T2,1.000000,2.065481,-50.000000,1.013017,0.004581,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
13,T2a,1.000000,2.203618,-50.000000,1.019140,0.092860,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
14,T3,1.000000,1.886747,-50.000000,1.024254,0.136020,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
15,T4a,1.000000,0.672611,-50.000000,0.953600,0.162405,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
16,T4b,1.000000,2.047414,-50.000000,1.031532,0.339783,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
17,T4c,1.000000,2.017670,-50.000000,1.003109,0.228443,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
18,T4d,1.000000,1.812673,-50.000000,0.953944,-0.076607,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
19,T5a,1.000000,2.624988,-50.000000,1.033108,-0.344137,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
20,T5b,1.000000,2.048381,-50.000000,0.995949,-0.451758,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
21,T5c,1.000000,1.726390,-50.000000,0.984058,-0.483037,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
22,T5d,1.000000,2.166321,-50.000000,1.020646,-0.217414,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
23,Tm1,1.000000,7.449337,-50.000000,2.717276,0.117650,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
24,Tm2,1.000000,8.636138,-50.000000,2.865490,-0.050054,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
25,Tm20,1.000000,2.174994,-50.000000,1.026812,-0.105697,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
26,Tm21,1.000000,2.366241,-50.000000,0.975716,0.005019,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
27,Tm3,1.000000,2.151544,-50.000000,2.464557,3.600419,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
28,Tm4,1.000000,2.634499,-50.000000,2.743438,0.190208,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
29,Tm9,1.000000,2.235518,-50.000000,2.679507,-0.881131,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
30,C2,1.000000,0.280241,-50.000000,0.961907,0.171502,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
31,C3,1.000000,0.111620,-50.000000,1.042128,-0.262407,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
32,Lawf1,1.000000,1.879725,-50.000000,0.987959,-0.306374,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
33,Lawf2,1.000000,2.034423,-50.000000,0.976939,-0.019450,0.000000,0.000000,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700,-46.664721,-0.200000,-44.572474,-47.152254,-0.200000,-45.626700
