idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,2.327123,-0.587938,0.961641,-0.321174,10.000000,974.653060,0.000000,1.000000
1,R7,1.000000,6.506861,-2.358001,0.995374,0.027025,27.666206,1000.447731,0.000000,0.964704
2,R8,1.000000,4.422649,-2.868300,0.958517,-0.422213,10.000000,1004.244377,0.000000,0.966686
3,L1,1.000000,4.602681,8.064265,0.400300,0.111008,38.745849,235.940161,0.000000,0.992310
4,L2,1.000000,8.598904,13.063306,1.099228,0.630110,13.473047,196.274815,0.000000,1.000000
5,L3,1.000000,2.340520,9.174123,0.572586,-0.425304,39.983454,1008.837645,0.000000,0.000000
6,L4,1.000000,6.815066,0.134918,1.120213,1.507639,68.377398,224.312213,0.000000,0.933738
7,L5,1.000000,9.399292,-9.070493,0.845589,-0.194532,10.000000,191.255127,0.000000,0.998949
8,Mi1,1.000000,3.712017,-2.670696,2.151678,-0.589743,10.000000,1025.916176,0.000000,0.994606
9,Tm3,1.000000,6.708890,0.516305,0.227949,-0.269655,10.000000,951.381492,0.000000,1.000000
10,Mi4,1.000000,10.000000,0.120027,1.106376,0.819714,10.000000,989.686779,0.000000,0.000000
11,Mi9,1.000000,4.089432,12.149077,0.799561,-0.183043,18.577327,1031.914179,0.000000,1.000000
12,T4a,1.000000,0.831158,-1.643315,1.048579,0.270056,49.832134,993.584280,0.000000,0.036785
13,T4b,1.000000,7.543900,0.961227,0.996637,0.233472,10.000000,984.690626,0.000000,0.419584
14,T4c,1.000000,0.529611,-1.284706,1.047100,-0.320997,48.239186,1004.429263,0.000000,0.000000
15,T4d,1.000000,10.000000,5.076787,0.980420,0.179067,19.543730,1016.779361,0.000000,0.000000
16,Tm1,1.000000,7.235589,-4.218954,2.916480,1.519106,10.906893,978.993713,0.000000,0.992822
17,Tm2,1.000000,1.401413,8.316295,1.666159,0.434109,10.000000,928.454795,0.000000,1.000000
18,Tm4,1.000000,2.570050,0.715954,1.382312,1.448742,10.000000,954.204369,0.000000,1.000000
19,Tm9,1.000000,9.784781,4.571261,1.630641,1.034533,34.060428,1004.149108,0.000000,0.000000
20,T5a,1.000000,0.211509,-1.407785,0.951665,0.135364,50.275777,1005.508333,0.000000,1.000000
21,T5b,1.000000,8.686093,2.325923,1.034628,-0.155595,79.958434,1029.901209,0.000000,0.285439
22,T5c,1.000000,0.100000,-1.163531,0.951875,0.343486,49.195155,1008.469039,0.000000,1.000000
23,T5d,1.000000,0.529754,-1.041907,1.046786,-0.252156,48.218723,1001.381271,0.000000,0.657375
24,T1,1.000000,10.000000,-2.491362,1.030828,-0.393681,24.597695,1014.344244,0.000000,0.362629
25,T2,1.000000,8.750698,2.258217,1.021570,0.420464,10.000000,972.489883,0.000000,1.000000
26,T2a,1.000000,10.000000,0.849919,1.021095,-0.408648,10.000000,942.671139,0.000000,1.000000
27,T3,1.000000,7.924041,-1.656095,1.041823,-0.350172,31.917495,1003.081705,0.000000,0.000000
28,C2,1.000000,0.392024,-0.364137,0.974671,0.496551,51.122204,1002.428821,0.000000,0.063533
29,C3,1.000000,5.003132,5.037833,0.990628,0.483758,39.459183,973.514369,0.000000,1.000000
30,Lawf1,1.000000,9.718924,0.231461,1.002788,0.357029,10.000000,937.767548,0.000000,1.000000
31,Lawf2,1.000000,10.000000,-12.648850,1.011799,-0.039129,56.095079,968.515975,0.000000,1.000000
32,Dm3v,1.000000,10.000000,-1.017049,0.965206,0.096867,55.698632,1015.205929,0.000000,0.000000
33,Lai,1.000000,9.998227,0.328582,0.994788,-0.056081,21.591738,1008.635403,0.000000,0.853844
34,Mi10,1.000000,0.655182,-1.871996,0.988103,-0.245695,51.618307,996.739094,0.000000,0.000000
35,Mi13,1.000000,10.000000,2.752414,1.010444,0.041017,30.673306,1005.576899,0.000000,0.000000
36,Mi14,1.000000,0.625545,-1.317751,0.982435,0.393970,51.158202,1007.748743,0.000000,1.000000
37,Mi15,1.000000,0.100000,-0.753984,1.042884,0.343105,48.971895,1004.171097,0.000000,0.000000
38,Mi2,1.000000,10.000000,2.863582,1.005222,-0.192959,10.000000,977.653089,0.000000,1.000000
39,Tm16,1.000000,0.944623,-1.004640,0.967345,-0.306757,49.011718,995.990984,0.000000,0.000000
40,Tm20,1.000000,5.459712,6.850016,1.015149,0.499663,91.905368,1015.848871,0.000000,0.000000
41,Tm21,1.000000,9.841988,1.809096,0.986979,0.281698,36.457003,1003.717264,0.000000,1.000000
42,Tm27,1.000000,10.000000,-0.082925,1.028058,0.290332,94.733347,1009.277282,0.000000,0.000000
43,Tm5a,1.000000,0.997643,-0.843840,1.001372,0.335476,49.841508,994.600066,0.000000,1.000000
44,Tm5b,1.000000,0.421798,-0.590725,1.013384,0.173257,49.487712,1002.307626,0.000000,0.000000
45,Tm5c,1.000000,10.000000,-0.176655,0.973764,0.495459,10.000000,1045.899889,0.000000,0.948648
46,Tm5f,1.000000,1.015851,-0.854596,0.975580,0.092488,48.890630,1008.065460,0.000000,0.802882
47,TmY10,1.000000,0.100000,-0.820649,0.969994,-0.387668,50.534315,997.895202,0.000000,1.000000
48,TmY11,1.000000,0.989202,-0.372775,0.976447,0.468437,49.939927,1009.821719,0.000000,0.490417
49,TmY14,1.000000,10.000000,-0.544745,0.973351,0.392643,46.728354,997.323002,0.000000,0.000000
50,TmY15,1.000000,10.000000,-0.727872,0.994932,0.487913,29.478288,983.296630,0.000000,1.000000
51,TmY3,1.000000,10.000000,12.955341,1.032117,-0.335638,10.000000,983.697702,0.000000,1.000000
52,TmY4,1.000000,10.000000,0.706760,0.979289,-0.469646,48.980962,999.554455,0.000000,0.000000
53,TmY5a,1.000000,9.992865,-4.421542,0.959313,0.003190,55.056713,1022.049377,0.000000,0.158513
54,TmY9q,1.000000,0.134681,-1.002528,1.021806,-0.065276,49.564018,1007.355125,0.000000,1.000000
55,TmY9q__perp,1.000000,0.100000,-0.807266,0.980568,-0.291703,49.342208,996.571691,0.000000,1.000000
