idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,3.683315,3.539658,-50.000000,1.020643,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-30.120492,-30.905948
1,R7,3.683315,4.426618,-50.000000,0.987676,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-32.816933,-32.523710
2,R8,3.683315,0.291565,-50.000000,1.009719,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-53.988746,-53.961152
3,L1,3.683315,5.835693,-50.000000,0.410447,0.000000,48.602933,46.106100,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-41.198971,-51.794024
4,L2,3.683315,1.484052,-50.000000,0.716860,0.000000,38.415051,55.077537,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-36.987025,-65.951370
5,L3,3.683315,1.139932,-50.000000,0.100000,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-68.409123,-69.378422
6,L4,3.683315,5.758569,-50.000000,0.306992,0.000000,57.127748,48.202871,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-142.536096,-47.846515
7,L5,3.683315,0.582688,-50.000000,1.046375,0.000000,41.478785,56.149512,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,4.777724,-47.919923
8,Mi1,3.683315,2.901907,-50.000000,1.140453,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-6.766496,-4.089686
9,Tm3,3.683315,3.327419,-50.000000,0.975494,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,3.201178,6.890386
10,Mi4,3.683315,0.375257,-50.000000,3.583469,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-6.502003,-4.907776
11,Mi9,3.683315,1.625159,-50.000000,3.377461,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-18.479756,-48.356168
12,T4a,3.683315,0.665888,-50.000000,0.985760,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,0.722123,-2.242053
13,T4b,3.683315,1.146413,-50.000000,1.029999,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,2.556098,4.552002
14,T4c,3.683315,2.321379,-50.000000,1.036805,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,2.693004,2.411082
15,T4d,3.683315,3.966404,-50.000000,0.981756,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,5.582374,6.415121
16,Tm1,3.683315,1.583663,-50.000000,3.672927,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,-27.911231,-56.062554
17,Tm2,3.683315,1.302998,-50.000000,5.784712,0.000000,0.000000,0.000000,-48.757513,-0.389421,-48.433251,-47.929835,-0.368851,-46.084255,2.943396,-7.269895
