,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,15.880347,0.100000,0.100000,0.142258,25.425693,0.975133,0.421165,0.100000,,0.100000,0.358708,0.100000,0.100000,1.965609,24.344727,4.272104,,,,,,,,,1.880444,,,,,,1.364246
C3,0.100000,,0.100000,0.100000,1.135062,0.100000,13.214272,1.562170,3.035598,0.117930,2.060563,,,0.100000,0.289989,11.182798,4.440709,1.311042,2.658958,2.217460,4.903675,,,,,2.526280,1.397594,0.100000,4.865157,2.697047,3.011878,0.100000
L1,0.100000,0.100000,1.504756,14.938107,3.652157,0.100000,8.925692,4.837258,0.100000,,24.646806,20.989982,2.266692,8.591787,13.001025,0.100000,,,,,,,,,,3.451732,0.725885,,,5.446380,,
L2,0.100000,2.286956,0.601009,2.988822,4.009205,26.141485,1.688292,0.100000,0.100000,2.847188,1.833062,,0.100000,3.582421,0.653709,0.953772,,,,,,,,,,0.996661,2.072604,5.952539,,0.100000,5.112209,
L3,0.100000,3.885899,3.639425,0.100000,,,,1.187208,0.237022,0.300925,,0.100000,0.141419,4.292255,,,,,,,,,,,,0.100000,0.100000,0.100000,1.006992,,1.589337,1.192276
L4,,26.929717,0.100000,1.212075,5.821606,0.154731,4.616225,0.100000,,0.767861,1.990514,,,,0.100000,,,,,,,,,,,12.461958,0.100000,,,,0.275181,0.276839
L5,2.692709,2.281489,7.416287,11.751738,,,22.355872,3.493181,4.267493,0.100000,,,,7.304081,1.849040,12.868549,,,,,,,,,,0.100000,0.347773,9.774445,7.384580,0.245778,0.100000,
Mi1,0.830962,0.100000,4.146063,5.167011,,,11.864791,1.573758,2.758561,0.100000,,3.538059,8.940523,0.100000,2.389085,1.421842,2.845753,0.933936,1.123522,0.935177,1.158722,,,,,0.100000,0.721259,7.390084,3.705320,2.236016,0.100000,
Mi4,0.100000,0.100000,,3.679883,0.100000,,4.027108,1.895844,1.051104,0.100000,,,,3.032703,,28.783394,,0.236746,0.276528,0.100000,0.357538,,,,,1.674258,0.100000,0.100000,,3.717902,6.191724,0.893610
Mi9,0.100000,,,,1.004547,16.568330,,0.100000,4.200652,,,,,,0.100000,0.100000,0.509724,0.171545,0.268272,0.104455,0.419550,,,,,1.764116,3.330105,0.100000,1.466264,0.100000,1.663656,0.100000
R1-6,0.100000,0.564108,4.376942,3.448386,0.162646,12.841193,,,,,0.186417,,,0.205817,,,,,,,,,,,,,,,,,,
R7,,0.100000,29.518422,,0.449803,,,0.100000,0.100000,0.307491,,,0.206143,,,,,,,,,,,,,,,2.653961,,,,
R8,0.100000,0.100000,21.094290,0.100000,0.711350,,0.100000,0.100000,0.100000,0.376061,,0.100000,2.204177,9.940692,,,,,,,,,,,,,,6.066274,0.843776,,,
T1,,,,0.100000,0.810809,,0.100000,,,0.543349,5.995543,0.100000,1.056939,,,,,,,,,,,,,0.752871,0.100000,0.100000,,,0.100000,
T2,,,,,,,10.693299,0.502104,,14.531176,,,,,2.069668,1.044776,5.681852,,,,,,,,,0.100000,0.642113,,4.047999,0.100000,0.100000,
T2a,0.100000,,,,,,,0.307032,,,,,,,2.493407,0.100000,0.100000,,,,,,,,,5.541333,,0.938650,1.028823,3.317389,2.591610,
T3,,0.100000,,,,,,,,,,,,,1.559742,1.004625,0.992309,,,,11.655427,,,,,0.100000,,,3.951029,0.100000,,
T4a,,0.650569,,,,,,,,0.422777,,,,,,,,1.001008,1.890867,0.100000,8.615526,0.100000,,,,,,,,,,
T4b,,,,,,,,3.912987,6.780631,0.100000,,,,,,,,0.100000,0.259719,,1.764382,,0.100000,,,,,,,,,
T4c,,,,,,,,,,0.223173,,,,,0.973162,,,,,2.061949,,,,1.777157,0.100000,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,0.894179,0.614245,,,,0.100000,,,,,,,
T5a,,,,,,,,,,,,,,,3.392306,,,0.102370,,,,0.100000,0.100000,,,,0.565512,,,,,
T5b,,,,,,,,,,,,,,,0.100000,,,,0.100000,,,0.100000,0.100000,,,,,,,,,
T5c,,,,,,,,,,,,,,,5.799812,,,,,0.100000,,,1.419346,0.100000,0.100000,,,,,,,
T5d,,,,,,,,,,,,,,,4.361637,,,,,0.527399,0.416867,,,,1.676115,,,,,,,
Tm1,5.108018,4.478347,,0.100000,,,1.008039,1.709502,0.100000,1.312542,,,,1.028379,0.436278,0.100000,0.325910,,,0.100000,,1.837488,1.755734,1.953984,1.577880,2.515481,1.373023,0.100000,1.780366,0.100000,1.067374,7.429413
Tm2,,0.386253,9.827134,0.100000,,,3.498841,13.417299,3.212594,0.100000,,,,5.130609,0.110010,0.100000,0.346760,0.211226,,0.100000,,1.447689,1.416484,1.341178,1.442361,0.100000,,,3.445926,0.100000,1.053392,0.869064
Tm20,,1.058061,,,,,,,1.281427,0.867752,,,,7.652504,0.100000,8.607744,,,,,,,,,,0.100000,2.046824,2.498276,1.040681,,,2.231726
Tm21,,,,,,,,0.100000,,,,,,,2.938979,1.005553,,,,,,,,,,6.551323,,,1.057451,,,
Tm3,4.051069,8.827811,0.100000,0.100000,,,,1.549523,0.100000,0.343984,,,,,2.331849,1.001305,1.737289,0.555274,0.605249,0.456584,0.629944,,0.100000,,2.979651,,,,,7.402800,3.220531,
Tm4,2.722045,0.100000,,5.393038,,,,0.100000,6.180787,,,,,2.456321,3.020009,0.100000,0.959740,,,,,3.545265,3.016676,2.045240,3.154972,1.920465,0.100000,,0.148478,0.100000,11.253432,
Tm9,,,,,2.179389,,,,0.100000,0.100000,,,,,3.363227,0.100000,,,,,,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,1.042083,,0.790032,0.439413
